754.1.1={holder=1000265000} #Kuwaana[1000253072]
765.1.1={liege=k_kanem}
779.07.13={holder=1000265005} #Ghana[1000253072]
812.07.21={holder=1000265006} #Abdulraham[1000253072]
842.06.12={holder=1000265009} #Baram[1000253072]
874.12.06={holder=1000265011} #Galrima[1000253072]
888.11.10={holder=1000265022} #Mamane[1000253072]
944.05.09={holder=1000265023} #Dunama[1000253072]
957.06.06={holder=1000265025} #Ali[1000253072]
996.10.31={holder=1000265030} #Ahmed[1000253072]
1023.07.19={holder=1000265031} #Idris[1000253072]
1032.12.12={holder=1000265035} #Baram[1000253072]
1055.07.05={holder=1000265039} #Galrima[1000253072]
1089.06.18={holder=1000265042} #Alooma[1000253072]
1122.09.14={holder=1000265043} #Mahmoud[1000253072]
1166.03.04={holder=1000265045} #Sani[1000253072]
1166.07.12={holder=1000265052} #Dala[1000253072]
1208.09.30={holder=1000265055} #Abdulraham[1000253072]
1207.06.08={holder=1000265060} #Kura[1000253072]
1245.10.07={holder=1000265064} #Abdallah[1000253072]
1277.03.01={holder=1000265066} #Salmama[1000253072]
1310.04.16={holder=1000265070} #Sani[1000253072]
