755.1.1={holder=1000264838} #Abasama[1000253049]
794.12.28={holder=1000264842} #Yaqub[1000253049]
842.10.14={holder=1000264846} #Salim[1000253049]
847.02.08={holder=1000264848} #Faruk[1000253049]
880.03.24={holder=1000264852} #Yamusa[1000253049]
898.02.25={holder=1000264858} #Yakubu[1000253049]
964.09.14={holder=1000264863} #Sambo[1000253049]
1005.09.08={holder=1000264869} #Habib[1000253049]
1022.11.26={holder=1000264872} #Kamil[1000253049]
1052.07.09={holder=1000264873} #Karbagari[1000253049]
1091.01.10={holder=1000264876} #Gobir[1000253049]
1114.02.08={holder=1000264883} #Nazaki[1000253049]
1149.12.03={holder=1000264886} #Kandala[1000253049]
1157.05.02={holder=1000264889} #Faisal[1000253049]
1182.09.08={holder=1000264891} #Rashidi[1000253049]
1219.05.29={holder=1000264896} #Nabil[1000253049]
1232.11.24={holder=1000264901} #Rano[1000253049]
1285.06.07={holder=1000264912} #Korau[1000253049]
1304.02.11={holder=1000264915} #Kukuna[1000253049]
1325.01.19={holder=1000264914} #Khadijah[1000253049]
