755.1.1={holder=1000264429} #Sanda[1000253068]
776.05.20={holder=1000264430} #Gazali[1000253068]
798.01.12={holder=1000264434} #Amr[1000253068]
842.12.17={holder=1000264438} #Abubakar[1000253068]
876.10.06={holder=1000264443} #Katur[1000253068]
883.04.16={holder=1000264447} #Musa[1000253068]
918.03.29={holder=1000264451} #Abdul[1000253068]
962.09.20={holder=1000264459} #Kuwaana[1000253068]
967.12.31={holder=1000264463} #Kuri[1000253068]
1014.04.07={holder=1000264467} #Salmama[1000253068]
1033.02.01={holder=1000264471} #Dabbalemi[1000253068]
1050.05.27={holder=1000264473} #Ibrahim[1000253068]
1065.05.11={holder=1000264476} #Dunama[1000253068]
1069.06.25={holder=1000264477} #Baram[1000253068]
1105.05.21={holder=1000264478} #Katur[1000253068]
1139.09.14={holder=1000264480} #Amr[1000253068]
1154.05.02={holder=1000264482} #Dabbalemi[1000253068]
1186.05.29={holder=1000264484} #Ghana[1000253068]
1220.07.06={holder=1000264490} #Hummay[1000253068]
1245.06.28={holder=1000264496} #Modu[1000253068]
1269.12.18={holder=1000264498} #Ghana[1000253068]
1277.02.13={holder=1000264501} #Nikale[1000253068]
1298.06.06={holder=1000264504} #Kashim[1000253068]
1335.07.04={holder=1000264510} #Gazali[1000253068]
