755.1.1={holder=1000265230} #Kuri[1000253067]
765.1.1 = { liege = k_kanem }
783.02.11={holder=1000265232} #Ghana[1000253067]
829.02.22={holder=1000265236} #Kanemi[1000253067]
829.07.12={holder=1000265241} #Hummay[1000253067]
871.10.10={holder=1000265246} #Alooma[1000253067]
890.01.17={holder=1000265250} #Hummay[1000253067]
936.02.05={holder=1000265258} #Daoud[1000253067]
1001.05.01={holder=1000265259} #Musa[1000253067]
1002.06.22={holder=1000265262} #Biri[1000253067]
1040.03.23={holder=1000265266} #Gazi[1000253067]
1062.4.10={holder=1000265273} #Hummay[1000253067]
1104.06.11={holder=1000265274} #Salmama[1000253067]
1138.02.06={holder=1000265277} #Ghana[1000253067]
1138.12.29={holder=1000265281} #Suleyman[1000253067]
1164.09.23={holder=1000265286} #Modu[1000253067]
1194.12.24={holder=1000265290} #Bukar[1000253067]
1236.11.09={holder=1000265297} #Tandja[1000253067]
1240.08.20={holder=1000265302} #Bulu[1000253067]
1287.06.24={holder=1000265305} #Murama[1000253067]
1294.10.04={holder=1000265307} #Alhaji[1000253067]
1324.08.25={holder=1000265310} #Dala[1000253067]
