754.1.1={holder=1000264916} #Hammada[1000253055]
785.12.27={holder=1000264918} #Yakubu[1000253055]
829.01.30={holder=1000264924} #Kumbari[1000253055]
848.04.14={holder=1000264926} #Mahdi[1000253055]
880.10.01={holder=1000264928} #Habib[1000253055]
919.04.28={holder=1000264930} #Yamusa[1000253055]
924.10.20={holder=1000264935} #Faruq[1000253055]
961.08.06={holder=1000264938} #Kumbari[1000253055]
987.01.06={holder=1000264940} #Yusa[1000253055]
994.05.07={holder=1000264945} #Rashidi[1000253055]
1021.06.19={holder=1000264950} #Danladi[1000253055]
1060.3.26={holder=1000264951} #Mohammed[1000253055]
1106.04.20={holder=1000264952} #Bilal[1000253055]
1138.05.08={holder=1000264963} #Yunusa[1000253055]
1206.04.20={holder=1000264967} #Bilal[1000253055]
1211.07.17={holder=1000264971} #Umar[1000253055]
1241.12.04={holder=1000264973} #Imam[1000253055]
1246.10.06={holder=1000264978} #Ahmed[1000253055]
1290.02.11={holder=1000264984} #Tsaraki[1000253055]
1302.03.11={holder=1000264991} #Mahmoud[1000253055]
1346.03.26={holder=1000264993} #Ado[1000253055]
