# CK2RELIGION;EU4RELIGION;Custom Defined;Comment

# Pagan

pagan;animism;0;Generic Pagan
norse_pagan;animism;0;Norse
norse_pagan_reformed;norse_pagan_reformed;0;Reformed Norse
tengri_pagan;tengri_pagan_reformed;0;Tengri
tengri_pagan_reformed;tengri_pagan_reformed;0;Reformed Tengri
baltic_pagan;animism;0;Romuva
baltic_pagan_reformed;baltic_pagan_reformed;1;Reformed Romuva
finnish_pagan;animism;0;Suomenusko
finnish_pagan_reformed;finnish_pagan_reformed;1;Reformed Suomenusko
aztec;nahuatl;0;Nahuatl
aztec_reformed;nahuatl;0;Nahuatl
slavic_pagan;animism;0;Slavic
slavic_pagan_reformed;slavic_pagan_reformed;1;Reformed Slavic
west_african_pagan;shamanism;0;Fetishism
west_african_pagan_reformed;shamanism;0;Fetishism
hellenic_pagan;hellenic_pagan;1;Hellenic
zun_pagan;zoroastrian;0;Zunist
zun_pagan_reformed;zun_pagan_reformed;1;Zunist
bon;bon;1;Bon

# Zoroastrianism

zoroastrian;zoroastrian;0;Zoroastrian
mazdaki;zoroastrian;0;Zoroastrian
manichean;zoroastrian;0;Zoroastrian
khurmazta;zoroastrian;0;Zoroastrian

# Christianity

catholic;catholic;0;Catholic
cathar;catholic;0;Catholic
fraticelli;catholic;0;Catholic
waldensian;catholic;0;Catholic
lollard;catholic;0;Catholic

orthodox;orthodox;0;Orthodox
bogomilist;orthodox;0;Orthodox
monothelite;orthodox;0;Orthodox
iconoclast;orthodox;0;Orthodox
nestorian;nestorian_mod;1;Nestorian
messalian;nestorian_mod;1;Nestorian
paulician;apostolic;1;Paulician

miaphysite;coptic;0;Coptic
apostolic;apostolic;1;Apostolic

# Islam

sunni;sunni;0;Sunni
zikri;sunni;0;Sunni
yazidi;sunni;0;Sunni
ibadi;ibadi;0;Ibadi
kharijite;ibadi;0;Ibadi
shiite;shiite;0;Shiite
druze;shiite;0;Shiite
hurufi;shiite;0;Shiite

# Judaism
jewish;jewish;1;Jewish
samaritan;jewish;1;Jewish
karaite;jewish;1;Jewish

# Indian
buddhist;buddhism;0;Buddhist
hindu;hinduism;0;Hindu
jain;jain;1;Jain

#Jade DLC
taoist;confucianism;0;Confucianism

## CK2Plus Religions
# Pagan
celtic_pagan;animism;0;Celtic
celtic_pagan_reformed;celtic_pagan_reformed;1;Tuatha
egyptian_pagan;egyptian_pagan;1;Kemetic
aten_pagan;egyptian_pagan;1;Atenism
german_pagan;animism;0;Norse
german_pagan_reformed;german_pagan_reformed;1;Reformed Germanic
berber_pagan;berber_pagan;1;Tamazight
jewish_pagan;jewish_pagan;1;Canaanite
arab_pagan;animism;0;Generic Pagan
tibetan_pagan;animism;0;Generic Pagan

# Zoroastrianism
mandaean;mandaean;1;Mandaean
zurvanist;zoroastrian;1;Zoroastrian

# Christian
adoptionist;catholic;0;Catholic
monophysite;Coptic;0;Coptic
tondrakian;apostolic;1;Tondrakian
chalcedonian;chalcedonian;1;Chalcedonian

# Muslim
quranist;sunni;0;Sunni

qarmatian;shiite;0;Shiite
bektashi;shiite;0;Shiite

# Hellenic
promethean_pagan;hellenic_pagan;1;Hellenic
