# CK2TITLE;EU4TAG;EU4FILE;Comment

# CK2+ Start. Must go at the top to prioritize over lower entries
k_iceland;ICE;Iceland;Iceland Kingdom
c_albania;ALB;Albania;Albania County
d_lancaster;LAN;Lancaster;Lancaster Duchy
c_lancaster;LAN;Lancaster;Lancaster County
d_york;YOR;York;York Duchy
c_york;YOR;York;York County
e_common;PLC;Commonwealth;Commonwealth Empire
k_corsica;COR;Corsica;Corsica Kingdom
d_corsica;COR;Corsica;Corsica Duchy
d_aquitaine;GUY;Guyenne;Guyenne Duchy
k_brandenburg;BRA;Brandenburg;Brandenburg Kingdom
k_saxony;SAX;Saxony;Saxony Kingdom
k_grand_saxony;SAX;Saxony;Saxony Kingdom
k_moravia;MVA;Moravia;Moravia Kingdom
k_grand_bavaria;BAV;Bavaria;Bavaria Kingdom
d_swiss;SWI;Switzerland;Switzerland Duchy
c_nassau;NSA;Nassau;Nassau County
c_kempten;AUG;Augsburg;Augsburg County
c_celle;HAN;Hannover;Hannover County
k_lotharingia;LOR;Lorraine;Lorraine Kingdom
d_upper_lorraine;LOR;Lorraine;Lorraine Duchy
d_lower_lorraine;LOR;Lorraine;Lorraine Duchy
c_nurnberg;NUM;Nuremberg;Nuremberg County
k_austria;HAB;Austria;Austria Kingdom
k_arch_austria;HAB;Austria;Austria Kingdom
k_andalusia;ADU;Andalusia;Andalusia Kingdom
e_andalusia;ADU;Andalusia;Andalusia Empire
d_milano;MLO;Milan;Milan
c_monferrato;MFA;Montferrat;Monferrato County
c_lucca;LUC;Lucca;Lucca County
c_malta;JAI;Malta;Malta County
c_firenze;LAN;Florence;Florence County
c_ostfriesland;EFR;EastFrisia;EastFrisia County
d_koln;KOL;Cologne;Cologne Duchy
d_kleve;KLE;Kleves;Kleves Duchy
e_dutch;NED;Netherlands;Netherlands Empire
k_holland;HOL;Holland;Holland Kingdom
e_arabia;ARB;Arabia;Arabia Empire
d_oman;OMA;Oman;Oman Duchy
c_hijaz;HED;Hedjaz;Hedjaz County
d_zab;ALG;Algiers;Algiers Duchy
d_alodia;ALO;Alodia;Alodia Duchy
c_baluchistan;BAL;Baluchistan;Baluchistan County
e_greater_israel;ISR;Israel;Israel Special Case
k_hansa;HSA;Hansa;Hanseatic League
k_rus;KIE;Kiev;Kiev
d_alencon;ALE;Alencon;Alencon Duchy
d_pfalz;PAL;Palatinate;Palatinate Duchy
c_pfalz;PAL;Palatinate;Palatinate Duchy
c_steiermark;STY;Styria;Styria County

#CK2+ End

# Scandinavia

e_scandinavia;SCA;Scandinavia;Scandinavia Empire
k_sweden;SWE;Sweden;Sweden Kingdom
k_denmark;DAN;Denmark;Denmark Kingdom
k_norway;NOR;Norway;Norway Kingdom
k_finland;FIN;Finland;Finland Kingdom
k_sapmi;SMI;Sami;Sápmi Kingdom
d_sapmi;SMI;Sami;Sápmi Duchy
c_lappland;SMI;Sami;Sápmi County
d_kola;SMI;Sami;Kola Sami Duchy
d_finland;FIN;Finland;Finland Duchy
c_finland;FIN;Finland;Finland County
d_holstein;SHL;Holstein;Holstein Duchy
c_holstein;SHL;Holstein;Holstein County
d_gotland;GOT;Gotland;Gotland Duchy
c_gotland;GOT;Gotland;Gotland County
d_karelia;KRL;Karelia;Karelia Duchy
d_iceland;ICE;Iceland;Iceland Duchy

# Balkans

e_byzantium;BYZ;ByzantineEmpire;Byzantium Empire
k_bulgaria;BUL;Bulgaria;Bulgaria Kingdom
k_croatia;CRO;Croatia;Croatia Kingdom
d_croatia;CRO;Croatia;Croatia Duchy
k_byzantium;GRE;Greece;Greece Kingdom
k_serbia;SER;Serbia;Serbia Kingdom
k_hungary;HUN;Hungary;Hungary Kingdom
k_ottoman;TUR;Ottoman Empire;Ottoman Kingdom
d_achaia;ACH;Principality of Achaia;Achaia Duchy
d_athens;ATH;Duchy of Athens;Athens Duchy
c_atheniai;ATH;Duchy of Athens;Athens County
k_bosnia;BOS;Bosnia;Bosnia Kingdom
d_bosnia;BOS;Bosnia;Bosnia Duchy
d_krete;CRT;Crete;Crete Duchy
k_cyprus;CYP;Cyprus;Cyprus Kingdom
d_cyprus;CYP;Cyprus;Cyprus Duchy
d_epirus;EPI;Despotate of Epirus;Epirus Duchy
c_epeiros;EPI;Despotate of Epirus;Epirus County
d_knights_hospitaler;KNI;The Knights;Knights Hospitaler
d_transylvania;TRA;Transylvania;Transylvania Duchy
d_wallachia;WAL;Wallachia;Wallachia Duchy
c_naxos;NAX;Naxos;Naxos County
c_ragusa;RAG;Ragusa;Ragusa County
c_cephalonia;CEP;Corfu;Corfu County
