#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
COMPL_AJAWID;Shaykh;;Schaikh;;;x
COMPL_AJAWID_F;Shaykha;;Shaykha;;;x
COMPL_DAYDREAMER;daydreamer;;Tagträumer;;;x
COMPL_DEFT;deft;;Geschickt;;;x
COMPL_HMYST;great mystic;;großer Mystiker;;;x
COMPL_HONEY_VOICE;honey-voiced;;Honigstimme;;;x
COMPL_IMPOSING;imposing;;imposant;;;x
COMPL_HOLY;holy;;heilig;;;x
COMPL_KNOW;knowledgeable;;kenntnisreich;;;x
COMPL_KOASASA;Koasasa;;Koasasa;;;x
COMPL_MIGHTY_VOICE;mighty-voiced;;machtvoll stimmhaft;;;x
COMPL_SHARP;sharp;;scharf;;;x
COMPL_STATUESQUE;statuesque;;statuenhaft;;;x
COMPL_SWIFT;swift;;flink;;;x
COMPL_TALL;tall;;groß;;;x
INSULT_DEAF;deaf;;taub;;;x
INSULT_DEMONIC;demonic;;dämonisch;;;x
INSULT_DESPICABLE;despicable;;verachtenswert;;;x
INSULT_DISHONORABLE;dishonorable;;unehrenhaft;;;x
INSULT_DOUBLE_HANDED;double-handed;;doppelhändig;;;x
INSULT_DROOLING;wrymouthed;;schiefmäulig;;;x
INSULT_HMYST;blind fool;;blinder Narr;;;x
INSULT_HONORLESS;honorless;;ehrlos;;;x
INSULT_IGNORANT;ignorant;;unwissend;;;x
INSULT_KAFIR;apostate;;abtrünnig;;;x
INSULT_LEFT_HANDED;left-handed;;Linkshänder;;;x
INSULT_OBLIVIOUS;oblivious;;vergesslich;;;x
INSULT_SCARY;frightening;;furchterregend;;;x
INSULT_SILVER_TONGUE;silver-tongued;;silberzüngig;;;x
INSULT_TYRANNICAL;tyrannical;;tyrannisch;;;x
INSULT_TYRANT;tyrant;;Tyrann;;;x
