#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
likes_albanians;Albanians;;;;;;;;;;;;;x
likes_arabs;Arabs;;;;;;;;;;;;;x
likes_assyrians;Assyrians;;;;;;;;;;;;;x
likes_balts;Balts;;;;;;;;;;;;;x
likes_berbers;Berbers;;;;;;;;;;;;;x
likes_brits;Britons;;;;;;;;;;;;;x
likes_caucasians;Caucasian;;;;;;;;;;;;;x
likes_celts;Celts;;;;;;;;;;;;;x
likes_central_africans;Central Africans;;;;;;;;;;;;;x
likes_chinamen;Chinese;;;;;;;;;;;;;x
likes_crusader_cultures;Crusader Cultures;;;;;;;;;;;;;x
likes_dutch;Lowlanders;;;;;;;;;;;;;x
likes_east_slavics;Eastern Slavs;;;;;;;;;;;;;x
likes_egyptians;Egyptians;;;;;;;;;;;;;x
likes_finnics;Finnics;;;;;;;;;;;;;x
likes_franks;Franks;;;;;;;;;;;;;x
likes_frisians;Frisians;;;;;;;;;;;;;x
likes_gallics;Gauls;;;;;;;;;;;;;x
likes_germans;Germans;;;;;;;;;;;;;x
likes_goths;Goths;;;;;;;;;;;;;x
likes_greeks;Greeks;;;;;;;;;;;;;x
likes_horn_africans;Horn Africans;;;;;;;;;;;;;x
likes_iberians;Iberians;;;;;;;;;;;;;x
likes_iranians;Iranians;;;;;;;;;;;;;x
likes_italians;Italians;;;;;;;;;;;;;x
likes_jew_cultures;Jews;;;;;;;;;;;;;x
likes_magyars;Magyars;;;;;;;;;;;;;x
likes_mesoamericans;Mesoamericans;;;;;;;;;;;;;x
likes_mongolians;Mongolians;;;;;;;;;;;;;x
likes_nubians;Nubians;;;;;;;;;;;;;x
likes_vlachs;Vlachs;;;;;;;;;;;;;x
likes_scandis;Scandinavians;;;;;;;;;;;;;x
likes_south_slavics;Southern Slavs;;;;;;;;;;;;;x
likes_tibetans;Tibetans;;;;;;;;;;;;;x
likes_turks;Turks;;;;;;;;;;;;;x
likes_vandals;Vandals;;;;;;;;;;;;;x
likes_west_africans;West Africans;;;;;;;;;;;;;x
likes_west_slavics;Western Slavs;;;;;;;;;;;;;x
likes_arabic_pagans;Arabic Paganism;;;;;;;;;;;;;x
likes_baltic_pagans;Baltic Paganism;;;;;;;;;;;;;x
likes_berber_pagan;Berber Paganism;;;;;;;;;;;;;x
likes_bon;Banpo;;;;;;;;;;;;;x
likes_buddhists;Buddhism;;;;;;;;;;;;;x
likes_celtic_pagans;Celtic Paganism;;;;;;;;;;;;;x
likes_druze;Druze;;;;;;;;;;;;;x
likes_eastern_christianity;Eastern Christianity;;;;;;;;;;;;;x
likes_egyptian_pagans;Egyptian Paganism;;;;;;;;;;;;;x
likes_finnic_pagans;Finnic Paganism;;;;;;;;;;;;;x
likes_germanic_pagans;Germanic Paganism;;;;;;;;;;;;;x
likes_hellenic_pagans;Hellenic Paganism;;;;;;;;;;;;;x
likes_hindus;Hinduism;;;;;;;;;;;;;x
likes_islam_kharijite;Kharijite Islam;;;;;;;;;;;;;x
likes_islam_shia;Shiite Islam;;;;;;;;;;;;;x
likes_islam_sunni;Sunnite Islam;;;;;;;;;;;;;x
likes_jains;Jainism;;;;;;;;;;;;;x
likes_jew_pagans;Canaanite Paganism;;;;;;;;;;;;;x
likes_jews;Judaism;;;;;;;;;;;;;x
likes_manichaeans;Manichaeism;;;;;;;;;;;;;x
likes_mazdans;Mazdeism;;;;;;;;;;;;;x
likes_mesoamerican_pagans;Mesoamerican Paganism;;;;;;;;;;;;;x
likes_slavic_pagans;Slavic Paganism;;;;;;;;;;;;;x
likes_taoism;Taoism;;;;;;;;;;;;;x
likes_tengris;Tengri Paganism;;;;;;;;;;;;;x
likes_west_african_pagans;African Paganism;;;;;;;;;;;;;x
likes_western_christianity;Western Christianity;;;;;;;;;;;;;x
likes_yazidi;Yazidism;;;;;;;;;;;;;x
likes_zunists;Zun Paganism;;;;;;;;;;;;;x
