#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
opinion_abandoned_dynasty;Abandoned Dynasty;;Verlassene Dynastie;;;x
opinion_abuse_power;Abused Power for Friend;;Macht für Freunde missbraucht;;;x
opinion_adopted_hellenic_state_religion;Adopted the Hellenic state religion;;Nahm die hellenische Staatsreligion an;;;x
opinion_aggressive_republic;Aggressor;;;;;x
opinion_appointed_patriarch;Made me the new Ecumenical Patriarch;;Mich zum neuen Ökumenischen Patriarchen ernannt;;;x
opinion_approved_law;Approved proposed law;;Genehmigte den Gesetzesvorschlag;;;x
opinion_approved_succession_law;Approved Succession Law Change;;Genehmigte Änderung des Erbschaftsgesetzes;;;x
opinion_attempt_kidnap;Attempted Kidnapping;;Versuchter Kidnappingversuch;;;x
opinion_attended_ceremony;Attended Coronation;;Teilnahme an der Krönung;;;x
opinion_aunt_fix;Aunt;;Tante;;;x
opinion_bad_succ_law_change;Outraged by Succession Law Change;;Empört über Erbrechtsänderung;;;x
opinion_barbarian;Barbarian;;Barbaren;;;x
opinion_basileus_claimant;Claimed the Imperial Throne;;Erhebt Anspruch auf den Kaiserthron;;;x
opinion_basileus_granting;Let me keep my family lands;;Lasst mich mein Familienland behalten;;;x
opinion_basileus_patr_revoking;Deposed the Patriarch;;Setzte den Patriarchen ab;;;x
opinion_basileus_usurping;Violated Principles of the Theme System;;Verstieß gegen die Prinzipien des Themensystems;;;x
opinion_basileus_weak;Weak Byzantine Ruler;;Schwacher byzantinischer Herrscher;;;x
opinion_battle_duel_target;Opponent in a duel;;Gegner in einem Duell;;;x
opinion_betrayer;Ally tried to Betray Me!;;Verbündeter versuchte, mich zu verraten!;;;x
opinion_broke_peace;Broke the Peace;;Hat den Frieden gebrochen;;;x
opinion_claimant_basileus;Is a Threat to the Imperial Welfare;;Ist eine Bedrohung für das kaiserliche Wohlergehen;;;x
opinion_conspired_against_vassal;Conspired Against Own Vassal;;Hat sich gegen den eigenen Vasallen verschworen;;;x
opinion_conspired_within_realm;Conspired within the Realm;;Hat sich innerhalb des Reiches verschworen;;;x
opinion_converted;Convert;;Konvertierte;;;x
opinion_corrupted;Corrupted;;Korrumpiert;;;x
opinion_cousin;Cousin;;;;;x
opinion_defending_liege;Loyal;;;;;x
opinion_defending_me;Came to my aid;;Kam mir zu Hilfe;;;x
opinion_denied_estates;Denied Estates;;Verweigerte Ländereien;;;x
opinion_dissatisfied_calligrapher;Dissatisfied Calligrapher;;Unzufriedener Kalligraph;;;x
opinion_estates_obj;Fulfilled Wish for Estates;;Erfüllter Wunsch nach Ländereien;;;x
opinion_failed_blackmail;Attempted Blackmail;;Versuchte Erpressung;;;x
opinion_fame_glory;Glorious;;Glorreich;;;x
opinion_father;Father;;Vater;;;x
