#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x;;
action_uncover_plots;Uncover Plots;Desvoiler les complots;intrigieren;;Estratagema;;;;;;;;;x;;
adopt_celtic_rites;You re-institute old pagan traditions;Vous réinstaurez les vieilles traditions païennes;You reinstitute old pagan traditions;;You reinstitute old pagan traditions;;;;;;;;;x;;
adopt_druidism;You become a Celtic pagan;Vous devenez un païen celte;You become a celtic pagan;;You become a celtic pagan;;;;;;;;;x;;
aghlabid_867;Aghlabid Conquest of Sicily;Conqueste Aghlabide de la Sicile;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
aghlabid_867_desc;Aghlabid Conquest of Sicily;Conqueste Aghlabide de la Sicile;Aghlabid Conquest of Sicily;;Aghlabid Conquest of Sicily;;;;;;;;;;;
AIREASON_WILL_NOT_MARRY_INFIDELS;§Y[GetTitledFirstName]§! must not marry an infidel;§Y[GetTitledFirstName]§! ne doit point espouser un infidèle.;§Y[GetTitledFirstName]§! darf einen Ungläubigen nicht heiraten;;§Y[GetTitledFirstName]§! no debe desposarse con un infiel;;;;;;;;;x;;
AMIRJIHAD;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;Emir-ul-Mujahdeen;;Emir-ul-Mujahdeen;;;;;x;;;;;;
APPOINT_REGENTS_OFF;You can no longer wage De Jure wars without a Ducal claim.\n;Vous ne pouvez plus mener de guerres De Jure sans revendication ducale.\n;De Jure-Krieg können nicht ohne Gebietsanspruch erklärt werden\n;;You can no longer wage De Jure wars without a Ducal claim.\n;;;;;;;;;x;;
APPOINT_REGENTS_ON;You can now wage De Jure wars without a Ducal claim.\n;Vous pouvez maintenant mener des guerres De Jure sans revendication ducale.\n;De Jure-Krieg können ohne Gebietsanspruch erklärt werden\n;;You can now wage De Jure wars without a Ducal claim.\n;;;;;;;;;x;;
ARRANGE_BETROTHAL_INTERACTION_5;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;Comme §Y[ActorExtra.GetFirstName]§! est $RELATION$ de §Y[RecipientExtra.GetFirstName]§!, ce seroit une union sacrée, qui ploiroit aulx vassaulx.;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;Since §Y[ActorExtra.GetFirstName]§! is §Y[RecipientExtra.GetFirstName]'s§! $RELATION$, it would be a sacred union, pleasing to vassals.;;;;;;;;;x;;
arrange_prisoner_swap;Arrange an exchange of hostages;Arranger un eschange d'otages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;;;
arrange_prisoner_swap_desc;Arrange an exchange of hostages;Arranger un eschange d'otages;Arrange an exchange of hostages;;Arrange an exchange of hostages;;;;;;;;;;;
