#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#;;;;;;;;;;;;;;
# ADVENTURER MODIFIERS;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
adventurer_recruited;Heavily Recruited;;Starke Rekrutierung;;;x
backed_adventurer;Aided My Cause;;Unterstützte meine Sache;;;x
betrayed_adventurer;Betrayed Me;;Verriet mich;;;x
let_adventurer_stay;Allowed Me To Recruit;;Erlaubte mir zu rekrutieren;;;x
supported_adventurer_against_me;Aided Adventurer Against Me;;Unterstützte Abenteurer gegen mich;;;x
turned_adventurer_away;Turned Me Away;;Hat mich abgewandt;;;x
#;;;;;;;;;;;;;;
# ADVENTURER TOOLTIPS;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
ADVENTURER_ESCAPES;§Y[From.GetTitledFirstNameNoRegnal]§! is not captured and flees your lands\n;;§Y[From.GetTitledFirstNameNoRegnal]§! nicht gefangen genommen wird und aus eurem Land flieht\n;;;x
ADVENTURER_MUST_MOVE_ON;§Y[From.GetTitledFirstNameNoRegnal]§! must leave your lands as soon as possible\n;;§Y[From.GetTitledFirstNameNoRegnal]§! muss Ihr Land so schnell wie möglich verlassen\n;;;x
ADVENTURER_RECRUITS_FROM_MY_LANDS;§Y[From.GetTitledFirstNameNoRegnal]§! may seek support and recruit in your lands\n;;§Y[From.GetTitledFirstNameNoRegnal]§! darf in Eurem Land Unterstützung suchen und rekrutieren\n;;;x
ADVENTURER_STAYS_IN_PRISON;§Y[FromFromFrom.GetTitledFirstNameNoRegnal]§! stays in prison\n;;§Y[FromFromFrom.GetTitledFirstNameNoRegnal]§! bleibt im Gefängnis\n;;;x
OFFER_ADVENTURER_FOR_RANSOM;Send an immediate offer of ransom;;Senden Sie ein sofortiges Lösegeldangebot;;;x
#;;;;;;;;;;;;;;
# ADVENTURER DECISIONS/EVENTS;;;;;;;;;;;;;;
#;;;;;;;;;;;;;;
EVTDESC_adventurerPlus_101;Word has reached me that [From.GetTitledFirstNameNoRegnal] has begun a campaign to take the [target_adventurer_title.GetFullName], a title [From.GetSheHe] claims rightfully belongs to [From.GetHerHim], through force of arms. [From.GetSheHeCap] has begun touring the lands, trying to raise coin to hire mercenaries and drum up support for [From.GetHerHis] cause. Whether [From.GetSheHe] can succeed remains to be seen...;;Mich hat die Nachricht erreicht, dass [From.GetTitledFirstNameNoRegnal] einen Feldzug begonnen hat, um [target_adventurer_title.GetFullName], einen Titel, von dem [From.GetSheHe] behauptet, er gehöre rechtmäßig [From.GetHerHim], mit Waffengewalt zu erobern. [From.GetSheHeCap] hat begonnen, durch die Lande zu reisen, um Münzen zu sammeln, um Söldner anzuheuern und Unterstützung für [From.GetHerHis] Sache zu gewinnen. Ob [From.GetSheHe] erfolgreich sein kann, bleibt abzuwarten...;;;x
EVTOPTA_adventurerPlus_101;Oh dear, I hope [From.GetSheHe] is not prone to... accidents.;Oh l l, j'espère que [From.GetSheHe] n'est pas sujet(te) aux... accidents.;Oh je, ich hoffe, [From.GetSheHe] neigt nicht zu... Unfällen.;;¡Dios mío, espero que [From.GetSheHe] no sea propenso a los... accidentes.;x
EVTDESC_adventurerPlus_115;[From.GetTitledFirstNameNoRegnal] recently arrived in [Root.Capital.GetName], and has formally presented [From.GetHerHim]self at court: 'My [Root.GetLordLady], I am on a campaign to take my rightful titles within the [adventurer_target_title.GetFullName] from [adventurer_target.GetTitledFirstNameNoRegnal]. With your blessing, I wish to raise support here in [Root.PrimaryTitle.GetName] for my growing army.';;[From.GetTitledFirstNameNoRegnal] ist vor kurzem in [Root.Capital.GetName] eingetroffen und hat sich [From.GetHerHim] formell bei Hofe vorgestellt: Meine [Root.GetLordLady], ich bin auf einem Feldzug, um meine rechtmäßigen Titel innerhalb der [adventurer_target_title.GetFullName] von [adventurer_target.GetTitledFirstNameNoRegnal] zu erlangen. Mit Eurem Segen möchte ich hier in [Root.PrimaryTitle.GetName] Unterstützung für meine wachsende Armee sammeln.';;;x
EVTDESC_adventurerPlus_115_vassal;[From.GetTitledFirstNameNoRegnal] recently arrived in [Root.Capital.GetName], and has formally presented [From.GetHerHim]self at court: 'My [Root.GetLordLady], I am on a campaign to take my rightful titles within the [adventurer_target_title.GetFullName] from [adventurer_target.GetTitledFirstNameNoRegnal], and have been given leave by [Root.TopLiege.GetTitledFirstNameNoRegnal] to do so. With your blessing, I wish to raise support here in [Root.PrimaryTitle.GetName] for my growing army.';;[From.GetTitledFirstNameNoRegnal] ist vor kurzem in [Root.Capital.GetName] eingetroffen und hat sich [From.GetHerHim] formell bei Hofe vorgestellt: Meine [Root.GetLordLady], ich bin auf einem Feldzug, um meine rechtmäßigen Titel innerhalb der [adventurer_target_title.GetFullName] von [adventurer_target.GetTitledFirstNameNoRegnal] zu übernehmen, und habe von [Root.TopLiege.GetTitledFirstNameNoRegnal] die Erlaubnis erhalten, dies zu tun. Mit Eurem Segen möchte ich hier in [Root.PrimaryTitle.GetName] Unterstützung für meine wachsende Armee sammeln.';;;x
EVTOPTA_adventurerPlus_115;[From.GetSheHeCap] has my full support;;[From.GetSheHeCap] hat meine volle Unterstützung;;;x
EVTOPTB_adventurerPlus_115;[From.GetSheHeCap] may recruit in [Root.PrimaryTitle.GetName];;[From.GetSheHeCap] kann in [Root.PrimaryTitle.GetName] rekrutieren;;;x
EVTOPTC_adventurerPlus_115;Refuse and send [From.GetHerHim] away;;Ablehnen und [From.GetHerHim] wegschicken;;;x
EVTOPTD_adventurerPlus_115;Perhaps [adventurer_target.GetTitledFirstNameNoRegnal] would pay a ransom for [From.GetHerHim]...?;;Vielleicht würde [adventurer_target.GetTitledFirstNameNoRegnal] ein Lösegeld für [From.GetHerHim] zahlen...?;;;x
EVTDESC_adventurerPlus_116;News regarding [FromFrom.GetTitledFirstNameNoRegnal]: [FromFrom.GetSheHe] continues to seek support in order to raise an army against you, and [FromFrom.GetHerHis] campaign has most recently brought [FromFrom.GetHerHim] to [From.PrimaryTitle.GetName], where [From.GetTitledFirstNameNoRegnal] has declared [From.GetHerHis] full support for [FromFrom.GetTitledFirstNameNoRegnal].;;Neuigkeiten bezüglich [FromFrom.GetTitledFirstNameNoRegnal]: [FromFrom.GetSheHe] sucht weiterhin nach Unterstützung, um eine Armee gegen Euch aufzustellen, und [FromFrom.GetHerHis] Kampagne hat [FromFrom.GetHerHim] zuletzt nach [From.PrimaryTitle.GetName] gebracht, wo [From.GetTitledFirstNameNoRegnal] [From.GetHerHis] volle Unterstützung für [FromFrom.GetTitledFirstNameNoRegnal] erklärt hat.;;;x
EVTOPTA_adventurerPlus_116;How dare [From.GetSheHe]!;;Wie kann [From.GetSheHe] es wagen!;;;x
EVTOPTB_adventurerPlus_116;I don't need to be told [FromFrom.GetTitledFirstNameNoRegnal]'s every movement...;;Ich muss nicht über jede Bewegung von [FromFrom.GetTitledFirstNameNoRegnal] informiert werden...;;;x
EVTDESC_adventurerPlus_117;News regarding [FromFrom.GetTitledFirstNameNoRegnal]: [FromFrom.GetHerHis] campaign recently brought [FromFrom.GetHerHim] to [From.PrimaryTitle.GetName], and while [From.GetTitledFirstNameNoRegnal] did not offer personal support, [From.GetSheHe] did allow [FromFrom.GetTitledFirstNameNoRegnal] to look for recruits in the countryside.;;Neuigkeiten zu [FromFrom.GetTitledFirstNameNoRegnal]: [FromFrom.GetHerHis] Kampagne hat [FromFrom.GetHerHim] kürzlich nach [From.PrimaryTitle.GetName] gebracht, und während [From.GetTitledFirstNameNoRegnal] keine persönliche Unterstützung angeboten hat, hat [From.GetSheHe] [FromFrom.GetTitledFirstNameNoRegnal] erlaubt, auf dem Land nach Rekruten zu suchen.;;;x
EVTOPTA_adventurerPlus_117;We'll see how far [FromFrom.GetSheHe] gets...;;Mal sehen, wie weit [FromFrom.GetSheHe] kommt...;;;x
EVTDESC_adventurerPlus_118;My [Root.GetLordLady],\nAs you may have heard, I have been given leave by [From.GetTitledFirstNameNoRegnal] to seek support in [From.PrimaryTitle.GetName] for my campaign to retake my titles from [adventurer_target.GetTitledFirstNameNoRegnal]. If there is anything you can provide to support my cause, I would be forever grateful.\n\nSigned,\n[FromFrom.GetTitledFirstNameNoRegnal];;Meine [Root.GetLordLady], wie Ihr vielleicht gehört habt, hat mir [From.GetTitledFirstNameNoRegnal] erlaubt, in [From.PrimaryTitle.GetName] Unterstützung für meine Kampagne zu suchen, um meine Titel von [adventurer_target.GetTitledFirstNameNoRegnal] zurückzuerobern. Wenn Ihr irgendetwas zur Unterstützung meiner Sache beitragen könnt, wäre ich Euch sehr dankbar.\n\nGezeichnet,\n[FromFrom.GetTitledFirstNameNoRegnal];;;x
