#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_Plus_2751;The Invasion of Neustria;;Die Invasion von Neustria;;;;;;;;;;;x
EVTDESC_Plus_2751;A Viking warrior by the name of Rollo has collected a rather large band of followers over his years as a raider in the North Sea, and now rumor has it that he has set his sights on the northern coast of Neustria. Already citizens in the city of Rouen are panicking, fearing the imminent arrival of these barbarians.;;Ein Wikingerkrieger namens Rollo hat im Laufe seiner Jahre als Plünderer in der Nordsee eine ziemlich große Schar von Gefolgsleuten um sich geschart, und nun wird gemunkelt, dass er die Nordküste von Neustria ins Visier genommen hat. Die Bürger der Stadt Rouen sind bereits in Panik, da sie die bevorstehende Ankunft dieser Barbaren fürchten.;;;;;;;;;;;x
EVTDESC_Plus_2751_immediate;A Viking warrior by the name of Rollo has collected a rather large band of followers over his years as a raider in the North Sea, and now he has landed upon the northern coast of Neustria and seized several of its castles and cities. Many fear this Norseman will use Rouen as a base from which to launch further raids and thus terrorize the entirety of northern Francia.;;Ein Wikingerkrieger namens Rollo hat im Laufe seiner Jahre als Plünderer in der Nordsee eine recht große Schar von Gefolgsleuten um sich geschart, und nun ist er an der Nordküste von Neustria gelandet und hat mehrere seiner Burgen und Städte in seine Gewalt gebracht. Viele befürchten, dass dieser Nordmann Rouen als Stützpunkt für weitere Raubzüge nutzen und damit ganz Nordfranken in Angst und Schrecken versetzen wird.;;;;;;;;;;;x
EVTOPTA_Plus_2751;Glory for the Gods!;;Ruhm für die Götter!;;;;;;;;;;;x
EVTOPTB_Plus_2751;They're coming *here*?!;;Sie kommen *hierher*?!;;;;;;;;;;;x
EVTDESC_Plus_2753;Ruling in a strange land has been difficult, but the longer you remain in [Root.Capital.GetName] the more you hear about this Christian God and His ways. Considering that, more and more, your court is beginning to take on the language and mannerisms of the Franks, perhaps it would be easier to accept this new religion than fight against it?;;In einem fremden Land zu regieren war schwierig, aber je länger Ihr in [Root.Capital.GetName] bleibt, desto mehr hört Ihr von diesem christlichen Gott und seinen Wegen. Wenn man bedenkt, dass Euer Hof mehr und mehr die Sprache und das Verhalten der Franken annimmt, wäre es vielleicht einfacher, diese neue Religion zu akzeptieren, als sie zu bekämpfen?;;;;;;;;;;;x
EVTOPTA_Plus_2753;I shall embrace this new God;;Ich werde diesen neuen Gott annehmen.;;;;;;;;;;;x
EVTOPTB_Plus_2753;Never! My faith in Odin is absolute!;;Niemals. Mein Glaube an Odin ist absolut!;;;;;;;;;;;x
EVTDESC_Plus_2754;The war is not going well. Those within your war council have uneasily advised that perhaps the best route would be to kneel before [christian_liege.GetTitledFirstNameNoRegnal] and offer to accept the Christian faith. To not do so might mean the loss of everything you've attempted to build in [Root.PrimaryTitle.GetName].;;Der Krieg läuft nicht gut. Diejenigen in Eurem Kriegsrat haben unsicher geraten, dass es vielleicht am besten wäre, vor [christian_liege.GetTitledFirstNameNoRegnal] niederzuknien und anzubieten, den christlichen Glauben anzunehmen. Wenn Sie dies nicht tun, könnte dies den Verlust von allem bedeuten, was Sie in [Root.PrimaryTitle.GetName] aufzubauen versucht haben.;;;;;;;;;;;x
EVTOPTA_Plus_2754;I will bend knee before this [christian_liege.PrimaryTitle.GetRulerTitle];;Ich werde mein Knie vor diesem [christian_liege.PrimaryTitle.GetRulerTitle] beugen.;;;;;;;;;;;x
EVTOPTB_Plus_2754;Bend the knee? Never!;;Das Knie beugen? Niemals!;;;;;;;;;;;x
