#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

demand_kingdom_title;Demand that §Y[Root.Liege.GetTitledFirstName]§W grant §Y[Root.GetTitledFirstName]§W the §Y[Root.Capital.Kingdom.GetFullName]§W;;Forderung, dass §Y[Root.Liege.GetTitledFirstName]§W §Y[Root.GetTitledFirstName]§W das §Y[Root.Capital.Kingdom.GetFullName]§W gewährt;;;;;;;;;;;x

WORSE_EDUCATION;Decreased chance of getting a higher tier education\n;;Verminderte Chance, eine höhere Ausbildung zu erhalten\n;;;;;;;;;;;x
BETTER_EDUCATION;Increased chance of getting a higher tier education\n;;Erhöhte Chance, eine höhere Ausbildung zu erhalten\n;;;;;;;;;;;x
BEST_EDUCATION;[Root.GetBestName] will receive the best education. A superior educator will appear at court if no educator is already appointed.\n;;[Root.GetBestName] wird die beste Ausbildung erhalten. Ein höherer Erzieher wird vor Gericht erscheinen, wenn noch kein Erzieher ernannt wurde.\n;;;;;;;;;;;x
MEDIOCRE_EDUCATION;[Root.GetBestName] will receive a mediocre education. An average educator will appear at court if no educator is already appointed.\n;;[Root.GetBestName] wird eine mittelmäßige Ausbildung erhalten. Ein durchschnittlicher Erzieher wird vor Gericht erscheinen, wenn noch kein Erzieher ernannt wurde.\n;;;;;;;;;;;x
POOR_EDUCATION;[Root.GetBestName] will receive a basic education. An inferior educator will appear at court if no educator is already appointed.\n;;[Root.GetBestName] wird eine grundlegende Ausbildung erhalten. Ein minderwertiger Erzieher wird vor Gericht erscheinen, wenn noch kein Erzieher ernannt wurde.\n;;;;;;;;;;;x
court_educator_tooltip;Must have formal education and sufficiently high main attribute.\n;;Muss eine formale Bildung und ein ausreichend hohes Hauptattribut haben.\n;;;;;;;;;;;x
COURT_EDUCATOR_HAS_DIFFERENT_EDUCATION_FOCUS;Court Educator has different education focus\n;;Hof-Erzieher hat anderen Bildungsschwerpunkt\n;;;;;;;;;;;x
COURT_EDUCATOR_HAS_BETTER_EDUCATION;Court Educator has better education\n;;Gerichtspädagoge hat bessere Ausbildung\n;;;;;;;;;;;x
NO_COURT_EDUCATOR;Court doesn't have an Educator\n;;Gericht hat keinen Erzieher\n;;;;;;;;;;;x
