#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x,,,,
ASSASSINATEFAILURE;The assassination fails\n;L'assassin a échoué.\n;Das Attentat schlägt fehl\n;;The assassination fails\n;;;;;;;;x;,,,,
ASSASSINATEFAILUREDISCOVERED;The assassination fails and is discovered\n;L'assassin a échoué et a été découvert.\n;Das Attentat schlägt fehl und wird entdeckt\n;;The assassination fails and is discovered\n;;;;;;;;x;,,,,
ASSASSINATESUCCESS;The assassination succeeds\n;L'assassin a réussi.\n;Das Attentat gelingt\n;;The assassination succeeds\n;;;;;;;;x;,,,,
ASSASSINATESUCCESSDISCOVERED;The assassination succeeds but is discovered\n;L'assassin a réussi mais a été découvert.\n;Das Attentat gelingt, aber es wird auch entdeckt\n;;The assassination succeeds but is discovered\n;;;;;;;;x;,,,
bastard_chain_tooltip;Legitimization is requested.;La légitimation est requise.;Legitimization is requested.;;Legitimization is requested.;;;;;;;;;x,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
CHARACTER_TOOLTIP_DELAYED;Dynasty: §Y[GetOnlyDynastyName]\n§!Culture: §Y[Culture.GetName]\n§!Religion: §Y[Religion.GetName]\n§![GetStatusInfo];Dynastie : §Y[GetOnlyDynastyName]\n§!Culture : §Y[Culture.GetName]\n§!Religion : §Y[Religion.GetName]\n§![GetStatusInfo];Dynastie: §Y[GetOnlyDynastyName]\n§!Kultur: §Y[Culture.GetName]\n§!Religion: §Y[Religion.GetName]\n§![GetStatusInfo];;Dynasty: §Y[GetOnlyDynastyName]\n§!Culture: §Y[Culture.GetName]\n§!Religion: §Y[Religion.GetName]\n§![GetStatusInfo];;;;;;;;;x,,,,
contested_land_event_expired_tip_basque;Basque Country loses the 'Contested Land' CB;Le Pays Basque perd le CB Territoire Contesté;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_expired_tip_catalan;Catalonia loses the 'Contested Land' CB;La Catalogne perd le CB Territoire Contesté;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_expired_tip_cornish;Cornwall loses the 'Contested Land' CB;La Cornouailles perd le CB Territoire Contesté;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_start_tip_basque;Basque Country has 50 years to reclaim the land;Le Pays Basque a 50 ans pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_start_tip_catalan;Catalonia has 50 years to reclaim the land;La Catalogne a 50 ans pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_start_tip_cornish;Cornwall has 50 years to reclaim the land;La Cornouailles a 50 ans pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_warning_tip_basque;Basque Country has 5 years left to reclaim the land;Il reste 5 ans au Pays Basque pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_warning_tip_catalan;Catalonia has 5 years left to reclaim the land;Il reste 5 ans à la Catalogne pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
contested_land_event_warning_tip_cornish;Cornwall has 5 years left to reclaim the land;Il reste 5 ans à la Cornouailles pour revendiquer le territoire;GERMAN;;SPANISH;;;;;;;;;x,,,,
COURTFACTIONMOODMINUS;The mood of the §YCourt Faction§! is §Rworsened§!\n;L'humeur de la §YFaction Courtisane§! est §Raltérée§!\n;The mood of the §YCourt Faction§! is §Rworsened§!\n;;The mood of the §YCourt Faction§! is §Rworsened§!\n;;;;;;;x;;,,,,
COURTFACTIONMOODPLUS;The mood of the §YCourt Faction§! is §Gimproved§!\n;L'humeur de la §YFaction Courtisane§! est §Gaméliorée§!\n;The mood of the §YCourt Faction§! is §Gimproved§!\n;;The mood of the §YCourt Faction§! is §Gimproved§!\n;;;;;;;x;;,,,,
CUSTOMTOOLTIP10;Will vote on the proposed Succession Law change ([This.PrimaryTitle.GetFullName])\n;Votera sur le changement de loi de succession proposé ([This.PrimaryTitle.GetFullName])\n;Wird über die vorgeschlagene Änderung des Erbrechtes abstimmen. ([This.PrimaryTitle.GetFullName])\n;;Will vote on the proposed Succession Law change ([This.PrimaryTitle.GetFullName])\n;;;;;;;;x;,,,,
CUSTOMTOOLTIP11;Agnatic Succession;Succession Agnatique;Agnatische Nachfolge;;Sucesión agnática;;;;;;;;;x,,,,
CUSTOMTOOLTIP12;Agnatic-Cognatic Succession;Succession Agnatico-cognatique;Agnatisch-kognatische Nachfolge;;Sucesión Agnación-cognación;;;;;;;;;x,,,,
CUSTOMTOOLTIP13;Cognatic Succession;Succession Cognatique;Kognatische Nachfolge;;Sucesión cognática;;;;;;;;;x,,,,
CUSTOMTOOLTIP14;Enatic-Cognatic Succession;Succession Enatico-cognatique;Enatisch-kognatische Nachfolge;;Sucesión Enación-cognación;;;;;;;;;x,,,,
CUSTOMTOOLTIP15;Enatic Succession;Succession Enatique;Enatische Nachfolge;;Sucesión enática;;;;;;;;;x,,,,
CUSTOMTOOLTIP16;You must have a §Yrealm size§! of at least §Y150§! to create an empire (if the title is unavailable despite matching these conditions, wait a year or two and it should become available)\n;La §Ytaille de votre royaume§! doit estre au moins de §Y150§! pour créer un empire (si le titre est indisponible malgré le fait que ces conditions soient remplies, attendez une année ou deux et il devrait devenir disponible)\n;Sie müssen eine §YReichgröße§! von mindestens §Y150§! um ein Kaiserreich zu erschaffen (falls der Titel nicht erschaffbar ist, warte 1-2 Jahre bis es machtbar ist.)\n;;You must have a §Yrealm size§! of at least §Y150§! to create an empire (if the title is unavailable despite matching these conditions, wait a year or two and it should become available)\n;;;;;;;;;x
CUSTOMTOOLTIP17;§Y[Root.GetTitledFirstName]§! and §Yall other attackers§!: Become Independent\n;§Y[Root.GetTitledFirstName]§! et §Ytous les aultres attaquants§!: deviennent indépendants\n;§Y[Root.GetTitledFirstName]§! ond §Yalle andere Angreifer§!: Werden unabhängig\n;;§Y[Root.GetTitledFirstName]§! and §Yall other attackers§!: Become Independent\n;;;;;;;;;x,,,,
CUSTOMTOOLTIP18;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[Root.Liege.GetTitledFirstName]§! in the civil war\n;§Y[Root.GetTitledFirstName]§! soutiendra la cause de §Y[Root.Liege.GetTitledFirstName]§! dans la guerre civile\n;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[Root.Liege.GetTitledFirstName]§! in the civil war\n;;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[Root.Liege.GetTitledFirstName]§! in the civil war\n;;;;;;;;;x,,,,
CUSTOMTOOLTIP19;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[From.GetTitledFirstName]§! in the civil war\n;§Y[Root.GetTitledFirstName]§! soutiendra la cause de §Y[From.GetTitledFirstName]§! dans la guerre civile\n;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[From.GetTitledFirstName]§! in the civil war\n;;§Y[Root.GetTitledFirstName]§! will support the cause of §Y[From.GetTitledFirstName]§! in the civil war\n;;;;;;;;;x,,,,
CUSTOMTOOLTIP1;§Y[Root.GetTitledFirstName]§! §GWILL§! become §Y[FromFrom.GetTitledFirstName]§!'s landed vassal.\n;§Y[Root.GetTitledFirstName]§! §Gva§! devenir votre vassal.\n;§Y[Root.GetTitledFirstName]§! §GWIRD§! §Y[FromFrom.GetTitledFirstName]§!'s Vasall werden\n;;§Y[Root.GetTitledFirstName]§! §GWILL§! become §Y[FromFrom.GetTitledFirstName]§!'s landed vassal.\n;;;;;;;;x;,,,,
CUSTOMTOOLTIP20;§Y[This.PrimaryTitle.GetName]§! will support the cause of §Y[Root.GetTitledFirstName]§! in the civil war\n;§Y[This.PrimaryTitle.GetName]§! soutiendra la cause de §Y[Root.GetTitledFirstName]§! dans la guerre civile\n;§Y[This.PrimaryTitle.GetName]§! will support the cause of §Y[Root.GetTitledFirstName]§! in the civil war\n;;§Y[This.PrimaryTitle.GetName]§! will support the cause of §Y[Root.GetTitledFirstName]§! in the civil war\n;;;;;;;;;x,,,,
CUSTOMTOOLTIP21;§Y[Root.GetTitledFirstName]§! will remain neutral for now\n;§Y[Root.GetTitledFirstName]§! va rester neutre pour l'instant\n;§Y[Root.GetTitledFirstName]§! will remain neutral for now\n;;§Y[Root.GetTitledFirstName]§! will remain neutral for now\n;;;;;;;;;x,,,,
CUSTOMTOOLTIP22;The support of the vassals of §Y[This.PrimaryTitle.GetName]§! will be sought\n;Le soutien des vassaulx de §Y[This.PrimaryTitle.GetName]§! sera recherché\n;The support of the vassals of §Y[This.PrimaryTitle.GetName]§! will be sought\n;;The support of the vassals of §Y[This.PrimaryTitle.GetName]§! will be sought\n;;;;;;;;;,,,,
CUSTOMTOOLTIP23;§Y[Root.GetTitledFirstName]§! and §Yall other rebels§! are imprisoned\n;§Y[Root.GetTitledFirstName]§! et §Ytous les aultres rebelles§! sont emprisonnés\n;§Y[Root.GetTitledFirstName]§! and §Yall other rebels§! are imprisoned\n;;§Y[Root.GetTitledFirstName]§! and §Yall other rebels§! are imprisoned\n;;;;;;;;;,,,,
CUSTOMTOOLTIP24;§Y[From.GetTitledFirstName]§! and §Yall other loyalists§! are imprisoned\n;§Y[From.GetTitledFirstName]§! et §Ytous les aultres loyalistes§! sont emprisonnés\n;§Y[From.GetTitledFirstName]§! and §Yall other loyalists§! are imprisoned\n;;§Y[From.GetTitledFirstName]§! and §Yall other loyalists§! are imprisoned\n;;;;;;;;;,,,,
CUSTOMTOOLTIP25;§Y[Root.GetTitledFirstName]§! seizes the throne of [From.PrimaryTitle.GetName]\n;§Y[Root.GetTitledFirstName]§! prend le trone de [From.PrimaryTitle.GetName]\n;§Y[Root.GetTitledFirstName]§! seizes the throne of [From.PrimaryTitle.GetName]\n;;§Y[Root.GetTitledFirstName]§! seizes the throne of [From.PrimaryTitle.GetName]\n;;;;;;;;;,,,,
CUSTOMTOOLTIP27;§Y[Root.GetTitledFirstName]§!'s vassals will be upset\n;Les vassaulx de §Y[Root.GetTitledFirstName]§! seront bouleversés\n;§Y[Root.GetTitledFirstName]§!'s vassals will be upset\n;;§Y[Root.GetTitledFirstName]§!'s vassals will be upset\n;;;;;;;;;,,,,
CUSTOMTOOLTIP28;becomes a friend of §Y[Root.GetTitledFirstName]§!\n;Devient un ami de §Y[Root.GetTitledFirstName]§!\n;becomes a friend of §Y[Root.GetTitledFirstName]§!\n;;becomes a friend of §Y[Root.GetTitledFirstName]§!\n;;;;;;;;;,,,,
