#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#CHANCELLOR
city_job_chancellor;Ambassador;Ambassadeur;Botschafter;;Embajador;;;;;;;;;x
city_job_chancellor_arabic;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x;;
city_job_chancellor_aztec;Cihuacoatl;Cihuacoatl;Cihuacoatl;;Cihuacoatl;;;;;;;;;x;;
city_job_chancellor_greek;Magistros;Magistros;Magistros;;Magistros;;;;;;;;;x
city_job_chancellor_hellenic_pagan;Magister Officiorum;Magister Officiorum;Magister Officiorum;;Magister Officiorum;;;;;;;;;;;
city_job_chancellor_iranian;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x;;
city_job_chancellor_turkish;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x;;
city_job_chancellor_west_african;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;;;;;;;;;x;;
city_job_chancellor_zoroastrian_group;Astabadh;Astabadh;Astabadh;;Astabadh;;;;;;;;;x;;
job_chancellor_aten_pagan;Vizier;Vizir;Wesir;;Visir;;;;;;;;;x;;
job_chancellor_egyptian_pagan;Vizier;Vizir;Wesir;;Visir;;;;;;;;;x;;
job_chancellor_hellenic_pagan;Magister Officiorum;Magister Officiorum;Magister Officiorum;;Magister Officiorum;;;;;;;;;;;
job_chancellor_zoroastrian_group;Vuzorg Farmadar;Vuzorg Farmadar;Vuzorg Farmadar;;Vuzorg Farmadar;;;;;;;;;x;;
#MARSHAL
city_job_marshal_aztec;Tlacateccatl;Tlacateccatl;Tlacateccatl;;Tlacateccatl;;;;;;;;;x;;
city_job_marshal_greek;Strategos;Strategos;Strategos;;Estratega;;;;;;;;;x
city_job_marshal_hellenic_pagan;Magister Militum;Magister Militum;Magister Militum;;Magister Militum;;;;;;;;;;;
city_job_marshal_hellenic_pagan_byzantine;Stratelates;Stratelates;Stratelates;;Stratelates;;;;;;;;;;;
city_job_marshal_zoroastrian_group;Eran Spahbod;Eran Spahbod;Eran Spahbod;;Eran Spahbod;;;;;;;;;x;;
job_marshal_aten_pagan;Sesemut;Sesemut;Sesemut;;Sesemut;;;;;;;;;x;;
job_marshal_egyptian_pagan;Sesemut;Sesemut;Sesemut;;Sesemut;;;;;;;;;x;;
job_marshal_hellenic_pagan;Magister Militum;Magister Militum;Magister Militum;;Magister Militum;;;;;;;;;;;
job_marshal_hellenic_pagan_byzantine;Stratelates;Stratelates;Stratelates;;Stratelates;;;;;;;;;;;
job_marshal_zoroastrian_group;Eran Spahbod;Eran Spahbod;Eran Spahbod;;Eran Spahbod;;;;;;;;;x;;
