#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_1601;My liege,\nNaturally it is in all our best interests to ensure there is a smooth transition between your rule and that of [liege_heir.GetTitledFirstNameNoRegnal], much as we would all prefer to believe you will never die. When the inevitable comes to pass, of course I will give [liege_heir.GetTitledFirstNameNoRegnal] what support I can.\n\nWith respect,\n[From.GetTitledName];;Mein Lehnsherr,\nNatürlich ist es in unser aller Interesse, einen reibungslosen Übergang zwischen Eurer Herrschaft und der von [liege_heir.GetTitledFirstNameNoRegnal] zu gewährleisten, so sehr wir alle es auch vorziehen würden zu glauben, dass Ihr niemals sterben werdet. Wenn das Unvermeidliche eintritt, werde ich [liege_heir.GetTitledFirstNameNoRegnal] natürlich unterstützen, wo ich kann.\n\nMit Respekt,\n[From.GetTitledName];;;x
EVTDESC_Plus_1602;My liege,\nYour rule is a benevolent one, and while I would prefer to believe you will never die, I know that cannot be. Even so, I cannot offer an oath to [liege_heir.GetTitledFirstNameNoRegnal]. None of us knows what the future will bring, nor what place [liege_heir.GetSheHe] will have in it.\n\nWith respect,\n[From.GetTitledName];;Mein Lehnsherr, Eure Herrschaft ist wohlwollend, und obwohl ich lieber glauben würde, dass Ihr niemals sterben werdet, weiß ich, dass das nicht möglich ist. Dennoch kann ich [liege_heir.GetTitledFirstNameNoRegnal] keinen Eid leisten. Niemand von uns weiß, was die Zukunft bringen wird, noch welchen Platz [liege_heir.GetSheHe] darin einnehmen wird.\n\nMit Respekt,\n[From.GetTitledName];;;x
EVTNAME_Plus_1611;Succession Crisis;;Nachfolgekrise;;;x
EVTDESC_Plus_1611A;No sooner had [Root.GetFirstName] assumed the [Root.PrimaryTitle.GetAdjective] throne, there were murmurs amongst [Root.GetHerHis] vassals that [Root.GetSheHe] was far too young to be [Root.PrimaryTitle.GetRulerTitle]. Fearing a certain civil war, they have called for a gathering in [Root.Capital.GetName] to determine whether [Root.GetFirstName] shall keep the crown or whether it shall be passed to another...and [Root.GetSheHe] lacks the authority to stop them.;;Kaum hatte [Root.GetFirstName] den [Root.PrimaryTitle.GetAdjective]-Thron bestiegen, wurde unter den Vasallen von [Root.GetHerHis] gemurmelt, dass [Root.GetSheHe] viel zu jung sei, um [Root.PrimaryTitle.GetRulerTitle] zu sein. Aus Angst vor einem Bürgerkrieg haben sie eine Versammlung in [Root.Capital.GetName] einberufen, um zu entscheiden, ob [Root.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll ... und [Root.GetSheHe] hat nicht die Macht, sie aufzuhalten.;;;x
EVTDESC_Plus_1611B;No sooner had [Root.GetFirstName] assumed the [Root.PrimaryTitle.GetAdjective] throne, there were murmurs amongst [Root.GetHerHis] vassals that [Root.GetSheHe] was unsuited to be [Root.PrimaryTitle.GetRulerTitle]. Fearing a certain civil war, they have called for a gathering in [Root.Capital.GetName] to determine whether [Root.GetFirstName] shall keep the crown or whether it shall be passed to another...and [Root.GetSheHe] lacks the authority to stop them.;;Kaum hatte [Root.GetFirstName] den [Root.PrimaryTitle.GetAdjective]-Thron bestiegen, wurde unter den Vasallen von [Root.GetHerHis] gemurmelt, dass [Root.GetSheHe] nicht geeignet sei, [Root.PrimaryTitle.GetRulerTitle] zu sein. Aus Angst vor einem Bürgerkrieg haben sie eine Versammlung in [Root.Capital.GetName] einberufen, um zu entscheiden, ob [Root.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll ... und [Root.GetSheHe] hat nicht die Macht, sie aufzuhalten.;;;x
EVTDESC_Plus_1611C;No sooner had [Root.GetFirstName] assumed rulership of [Root.PrimaryTitle.GetName], there were murmurs amongst [Root.GetHerHis] vassals that a woman was unsuited to sit on the throne. Fearing a certain civil war, they have called for a gathering in [Root.Capital.GetName] to determine whether [Root.GetFirstName] shall keep the crown or whether it shall be passed to another...and [Root.GetSheHe] lacks the authority to stop them.;;Kaum hatte [Root.GetFirstName] die Herrschaft über [Root.PrimaryTitle.GetName] angetreten, wurde unter den Vasallen von [Root.GetHerHis] gemurmelt, dass eine Frau nicht geeignet sei, auf dem Thron zu sitzen. Aus Angst vor einem Bürgerkrieg haben sie eine Versammlung in [Root.Capital.GetName] einberufen, um zu entscheiden, ob [Root.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll ... und [Root.GetSheHe] hat nicht die Macht, sie aufzuhalten.;;;x
EVTOPTA_Plus_1611;But...*I* am the [Root.PrimaryTitle.GetRulerTitle]!;;Aber ... *ich* bin der [Root.PrimaryTitle.GetRulerTitle]!;;;x
EVTDESC_Plus_1612A;No sooner had [From.GetTitledFirstNameNoRegnal] assumed the [From.PrimaryTitle.GetAdjective] throne, there were murmurs amongst [From.GetHerHis] subjects that [From.GetSheHe] was far too young to be [From.PrimaryTitle.GetRulerTitle]. Fearing a certain civil war, a gathering has been called in [From.Capital.GetName] for [From.GetHerHis] vassals to determine whether [From.GetFirstName] shall keep the crown or whether it shall be passed to another.;;Kaum hatte [From.GetTitledFirstNameNoRegnal] den [From.PrimaryTitle.GetAdjective]-Thron bestiegen, wurde unter [From.GetHerHis] Untertanen gemurmelt, dass [From.GetSheHe] viel zu jung sei, um [From.PrimaryTitle.GetRulerTitle] zu sein. Aus Angst vor einem Bürgerkrieg wurde in [From.Capital.GetName] eine Versammlung für [From.GetHerHis] Vasallen einberufen, um zu entscheiden, ob [From.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll.;;;x
EVTDESC_Plus_1612B;No sooner had [From.GetTitledFirstNameNoRegnal] assumed the [From.PrimaryTitle.GetAdjective] throne, there were murmurs amongst [From.GetHerHis] subjects that [From.GetSheHe] was unsuitable to be [From.PrimaryTitle.GetRulerTitle]. Fearing a certain civil war, a gathering has been called in [From.Capital.GetName] for [From.GetHerHis] vassals to determine whether [From.GetFirstName] shall keep the crown or whether it shall be passed to another.;;Kaum hatte [From.GetTitledFirstNameNoRegnal] den [From.PrimaryTitle.GetAdjective]-Thron bestiegen, ging ein Raunen durch die Untertanen von [From.GetHerHis], dass [From.GetSheHe] nicht geeignet sei, [From.PrimaryTitle.GetRulerTitle] zu sein. Aus Angst vor einem Bürgerkrieg wurde in [From.Capital.GetName] eine Versammlung für [From.GetHerHis] Vasallen einberufen, um zu entscheiden, ob [From.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll.;;;x
EVTDESC_Plus_1612C;No sooner had [From.GetTitledFirstNameNoRegnal] assumed rulership of [From.PrimaryTitle.GetName], there were murmurs amongst [From.GetHerHis] subjects that a woman was unsuitable to sit on the throne. Fearing a certain civil war, a gathering has been called in [From.Capital.GetName] for [From.GetHerHis] vassals to determine whether [From.GetFirstName] shall keep the crown or whether it shall be passed to another.;;Kaum hatte [From.GetTitledFirstNameNoRegnal] die Herrschaft über [From.PrimaryTitle.GetName] angetreten, wurde unter [From.GetHerHis] Untertanen gemurrt, dass eine Frau nicht geeignet sei, auf dem Thron zu sitzen. Aus Angst vor einem Bürgerkrieg wurde in [From.Capital.GetName] eine Versammlung für [From.GetHerHis] Vasallen einberufen, um zu entscheiden, ob [From.GetFirstName] die Krone behalten oder an einen anderen weitergegeben werden soll.;;;x
