#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
Haraldr;Haraldr;;;;;x
Eirikr;Eirikr;;;;;x
Hakon;Hakon;;;;;x
Olafr;Olafr;;;;;x
Sveinn;Sveinn;;;;;x
Knut;Knut;;;;;x
Magnus;Magnus;;;;;x
Sigurdr;Sigurðr;;;;;x
Ragnarr;Ragnarr;;;;;x
Bjorn;Björn;;;;;x
Erik;Erik;;;;;x
Olaf;Olaf;;;;;x
Karl;Karl;;;;;x
Ragnvald;Ragnvald;;;;;x
Sverker;Sverker;;;;;x
Valdemar;Valdemar;;;;;x
Hakan;Håkan;;;;;x
Harald;Harald;;;;;x
Haokon;Håkon;;;;;x
Svein;Svein;;;;;x
Sigurd;Sigurd;;;;;x
Eirik;Eirik;;;;;x
Knud;Knud;;;;;x
Oluf;Oluf;;;;;x
Svend;Svend;;;;;x
Christoffer;;;;;;x
Ragnar;Ragnar;;;;;x
Inge;Inge;;;;;x
Haakon;Hákon;;;;;x
Eiriikr;Eiríkr;;;;;x
Oolafr;Ólafr;;;;;x
Ingolfr;Ingólfr;;;;;x
Leifr;Leifr;;;;;x
Knutr;Knútr;;;;;x
Kolbeinn;Kolbeinn;;;;;x
Alfred;Alfred;;;;;x
Eric;Eric;;;;;x
Robert;Robert;;;;;x
Arthur;Arthur;;;;;x
Edward;Edward;;;;;x
Ivar;Ivar;;;;;x
Harold;Harold;;;;;x
Otto;Otto;;;;;x
Heinrich;Heinrich;;;;;x
Konrad;Konrad;;;;;x
Lothar;Lothar;;;;;x
Friedrich;Friedrich;;;;;x
Ferdinand;Ferdinand;;;;;x
Ludwig;Ludwig;;;;;x
Leopold;Leopold;;;;;x
Sigismund;Sigismund;;;;;x
Bernhard;Bernhard;;;;;x
Albrecht;Albrecht;;;;;x
Leszek;Leszek;;;;;x
Mieszko;Mieszko;;;;;x
Boleslaw;Boleslaw;;;;;x
Wladyslaw;Wladyslaw;;;;;x
Kazimierz;Kazimierz;;;;;x
Henryk;Henryk;;;;;x
Przemyslaw;Przemyslaw;;;;;x
Waclaw;Waclaw;;;;;x
Kenneth;Kenneth;;;;;x
Donald;Donald;;;;;x
Constantine;Constantine;;Konstantin;;;x
Malcolm;Malcolm;;;;;x
Duncan;Duncan;;;;;x
Alastair;Alastair;;;;;x
David;David;;;;;x
William;William;;;;;x
Henry;Henry;;;;;x
Richard;Richard;;;;;x
John;John;;;;;x
Stephen;Stephen;;;;;x
George;George;;;;;x
Aelfraed;Ælfraed;;;;;x
Eadmund;Eadmund;;;;;x
Eadweard;Eadweard;;;;;x
Eadgar;Eadgar;;;;;x
Aethelraed;Æthelræd;;;;;x
Aethelwulf;Æthelwulf;;;;;x
Borivoj;Borivoj;;;;;x
Vratislav;Vratislav;;;;;x
Vaaclav;Václav;;;;;x
Boleslav;Boleslav;;;;;x
Bretislav;Bretislav;;;;;x
Otakar;Otakar;;;;;x
Karel;Karel;;;;;x
Konraad;Konrád;;Konrad;;;x
Sobieslav;Sobieslav;;;;;x
Arpad;Árpád;;;;;x
Istvan;István;;Stephen;;;x
Andras;András;;;;;x
Bela;Béla;;;;;x
Geza;Géza;;;;;x
Laszlo;László;;;;;x
Karoly;Károly;;Karl;;;x
Kalman;Kálmán;;;;;x
Salamon;Salamon;;Salomon;;;x
Trpimir;Trpimir;;;;;x
Tomislav;Tomislav;;;;;x
Kresimir;Krešimir;;;;;x
Stjepan;Stjepan;;;;;x
Zvonimir;Zvonimir;;;;;x
Branimir;Branimir;;;;;x
Borna;Borna;;;;;x
Mislav;Mislav;;;;;x
Domagoj;Domagoj;;;;;x
Vlastimir;Vlastimir;;;;;x
Viseslav;Višeslav;;;;;x
Mihajlo;Mihajlo;;;;;x
Vukan;Vukan;;;;;x
Uros;Uroš;;;;;x
Stefan;Stefan;;;;;x
Lazar;Lazar;;;;;x
Konstantin;Konstantin;;;;;x
Jovan;Jovan;;;;;x
Boris;Boris;;;;;x
Mikhail;Mikhail;;;;;x
Simeon;Simeon;;;;;x
Petar;Petar;;;;;x
Gavril;Gavril;;;;;x
Ivan;Ivan;;;;;x
Presian;Presian;;;;;x
Samuil;Samuil;;;;;x
Kaliman;Kaliman;;;;;x
Basarab;Basarab;;;;;x
Vlad;Vlad;;;;;x
Radu;Radu;;;;;x
Henri;Henri;;;;;x
Philippe;Philippe;;;;;x
Louis;Louis;;;;;x
Charles;Charles;;Karl;;;x
Jean;Jean;;;;;x
Hugues;Hugues;;;;;x
Lothaire;Lothaire;;;;;x
Raoul;Raoul;;;;;x
Antso;Antso;;;;;x
Gartzia;Gartzia;;;;;x
Ximeno;Ximeno;;;;;x
Fernando;Fernando;;;;;x
Alfonso;Alfonso;;;;;x
Sancho;Sancho;;;;;x
Juan;Juan;;;;;x
Enrique;Enrique;;;;;x
Pedro;Pedro;;;;;x
Joan;Joan;;;;;x
Alfons;Alfons;;;;;x
Jaume;Jaume;;;;;x
Carles;Carles;;;;;x
Ramon;Ramon;;;;;x
Borrell;Borrell;;;;;x
Clovis;Clovis;;;;;x
Chlothar;Chlothar;;Clothar;;;x
Theuderic;Theuderic;;;;;x
Pepin;Pepin;;;;;x
Childeric;Childeric;;;;;x
Konstantinos;Konstantinos;;;;;x
Ioannes;Ioannes;;;;;x
Michael;Michael;;;;;x
Alexios;Alexios;;;;;x
Andronikos;Andronikos;;;;;x
Romanos;Romanos;;;;;x
Leon;Leon;;;;;x
Basileios;Basileios;;;;;x
Nikephoros;Nikephoros;;;;;x
Rurik;Rurik;;;;;x
Oleg;Oleg;;;;;x
Igor;Igor;;;;;x
Sviatoslav;Sviatoslav;;Swjatoslaw;;;x
