#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
CONTROLS_AUSTRASIA;Controls the §YKingdom of Austrasia§!\n;;Kontrolliert das §YKönigreich Austrasien§!\n;;;x
CONTROLS_BAVARIA;Controls the §YKingdom of Bavaria§!\n;;Kontrolliert das §YKönigreich Bayern§!\n;;;x
CONTROLS_BAVARIA2;Controls the §YDuchy of Bavaria§! and the §YKingdom of Bavaria§! has no holder\n;;Kontrolliert das §YHerzogtum Bayern§! und das §YKönigreich Bayern§! hat keinen Inhaber\n;;;x
CONTROLS_LOMBARDY;Controls the §YKingdom of Lombardy§!\n;;Kontrolliert das §YKönigreich der Lombardei§!\n;;;x
CONTROLS_NEUSTRIA;Controls the §YKingdom of Neustria§!\n;;Kontrolliert das §YKönigreich Neustrien§!\n;;;x
CONTROLS_SAXONY;Controls the §YKingdom of Saxony§!\n;;Kontrolliert das §YKönigreich Sachsen§!\n;;;x
CONTROLS_SAXONY2;Controls the §YDuchies of Westphalia and Eastphalia§! and the §YKingdom of Saxony§! has no holder\n;;Kontrolliert die §YHerzogtümer Westphalen und Ostphalen§! und das §YKönigreich Sachsen§! hat keinen Inhaber\n;;;x
TRIBAL_NOT_UPGRADE; will NOT upgrade\n;; wird NICHT aufgewertet\n;;;x
TRIBAL_PROVINCE_NOT_CULTURE_WARNING; §RWARNING§! will not upgrade and is not [Root.Culture.GetName]\n;; §RWARNUNG§! wird nicht aktualisiert und ist nicht [Root.Culture.GetName]\n;;;x
TRIBAL_VASSAL_NOT_CULTURE_WARNING; §RWARNING§! is tribal and not [Root.Culture.GetName]\n;; §RWARNUNG§! ist stammesgebunden und nicht [Root.Culture.GetName]\n;;;x
