#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
abuse_stopper_timer;Abuse Stopper Timer;Abuser du modificateur d’arrest;Abuse Stopper Timer;;Abuse Stopper Timer;;;;;;;;;x
bastard_legit_request_timer;Can't Request Legitimization;Ne peult point demander la légitimation.;Can't Request Legitimization;;Can't Request Legitimization;;;;;;;;;x
charity_timer;Recently gave money to charity;A récemment donné l'argent aulx pauvres;Spendete kürzlich Geld;;Recently gave money to charity;;;;;;;;;x
convert_province_timer;Recently converted a province;A récemment converti une province;Kürzlich eine Provinz konvertiert;;Recently converted a province;;;;;;;;;x
county_conquest_timer;Recent County Conquest;Conqueste récente;Recent County Conquest;;Recent County Conquest;;;;;;;;;x
crusade_timer;Crusade Timer;Croisade récente;Crusade Timer;;Crusade Timer;;;;;;;;;
crusade_timer_desc;A crusade has recently been called and another cannot be called until this timer wears out.;Une croisade a récemment été lancée et une aultre ne peult point estre appelée avant que ce modificateur ne se dissipe.;A crusade has recently been called and another cannot be called until this timer wears out.;;A crusade has recently been called and another cannot be called until this timer wears out.;;;;;;;;;
desc_county_conquest_timer;This character has recently started a County Conquest and cannot begin another until this modifier expires.;Ce personnage a récemment lancé une conqueste de comté et ne peult point en lancer d'aultre avant que ce modificateur ne se dissipe.;This character has recently started a County Conquest and cannot begin another until this modifier expires.;;This character has recently started a County Conquest and cannot begin another until this modifier expires.;;;;;;;;;x
desc_holy_war_timer;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;;This character has recently started a Holy War, and further Holy Wars will cost more Piety unless they are sanctioned by the religion head.;;;;;;;;;x
do_not_disturb;Currently busy\n;Currently busy\n;Currently busy\n;;Currently busy\n;;;;;;;;;x
employment_timer;Recently employed a character;A récemment employé un personnage;Kürzlich angeworben;;Recently employed a character;;;;;;;;;x
friend_help_request_timer;Already Requested a Friend's Help;A déjà demandé l'aide d'un ami;Already Requested a Friend's Help;;Already Requested a Friend's Help;;;;;;;;;x
gain_demesne_obj_timer;Can't use the Increase Demesne Objective;Ne peult point utiliser l'objectif pour agrandir le domaine;Can't use the Increase Demesne Objective;;Can't use the Increase Demesne Objective;;;;;;;;;x
holy_truce_timer;Truce;Tresve;Waffenruhe;;Truce;;;;;;;;;x
holy_truce_timer_desc;This character cannot initiate or be the target of a war until this modifier wears off.;Ce personnage ne peult point initier ou estre la cible d'une guerre jusqu'à ce que ce modificateur se dissipe.;Dieser Person kann weder das Ziel eines Krieges, noch einen Krieg starten, bis dieser Modifikator nachlässt.;;This character cannot initiate or be the target of a war until this modifier wears off.;;;;;;;;;x
holy_war_timer;Recent Holy War;Guerre sainte récente;Recent Holy War;;Recent Holy War;;;;;;;;;x
indulgence_timer;Recently bought an indulgence;A récemment acheté une indulgence;Kürzlich Ablass erworben;;Recently bought an indulgence;;;;;;;;;x
loan_timer;Loan Taken;Emprunt Contracté;Genommenes Darlehen;;Loan Taken;;;;;;;;;x
loan_timer_desc;A loan will be due for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé à la date d'expiration de ce modificateur.;Ein Darlehen muss mit Ablauf dieses Modifikators zurückgezahlt werden;;A loan will be due for repayment at the expiration date of this modifier.;;;;;;;;;x
loan_timer_jews;Jewish Loan Taken;Emprunt Juif Contracté;Jewish Loan Taken;;Jewish Loan Taken;;;;;;;;;x
loan_timer_jews_desc;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;Un emprunt devra estre remboursé aulx marchands juifs à la date d'expiration de ce modificateur.;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;;A loan will be due to the Jewish merchants for repayment at the expiration date of this modifier.;;;;;;;;;x
lower_decadence_obj_timer;Can't use the Lower Decadence Objective;Ne peult point utiliser l'Objectif de Diminution de la Décadence;Can't use the Lower Decadence Objective;;Can't use the Lower Decadence Objective;;;;;;;;;x
peace_declared_10_timer;Peaceful Reign;Règne paisible;Peaceful Reign;;Peaceful Reign;;;;;;;;;x
plot_reveal_timer;Already Revealed a Plot;A déjà révélé un complot;Already Revealed a Plot;;Already Revealed a Plot;;;;;;;;;x
ramadan_timer;Recently observed Ramadan;A récemment fait le Ramadan;Vor kurzem beachtet Ramadan.;;Recently observed Ramadan;;;;;;;x;;
ransom_timer;Demanding Ransoms;Demander les rançons;Demanding Ransoms;;Demanding Ransoms;;;;;;;;;
sanction_timer;Recently requested sanction;Sanction récemment demandée;Kürzlich erbetene Sanktion;;Recently requested sanction;;;;;;;;;x
victory_timer;Recently victorious in a war;A récemment remporté une guerre;Kürzlich siegreich in einem Krieg;;Recently victorious in a war;;;;;;;;;x
shattered_realm_cb_timer;Shattered Realm CB Expiry;Shattered Realm CB Expiry;Shattered Realm CB Expiry;;Shattered Realm CB Expiry;;;;;;;;;x
shattered_realm_cb_timer_desc;The shattered realm CB expires when this modifiers expires.;The shattered realm CB expires when this modifiers expires.;The shattered realm CB expires when this modifiers expires.;;The shattered realm CB expires when this modifiers expires.;;;;;;;;;x
