#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
custom_tibet;Tibet;;;;;x
custom_slovenia;Slovenia;;Slowenien;;;x
custom_swabian;Swabian;;Schwaben;;;x
custom_bavarian;Bavarian;;Bayerisch;;;x
custom_franconian;Franconian;;Fränkisch;;;x
custom_swiss;Swiss;;Schweizerisch;;;x
custom_saxon;Saxon;;Sächsisch;;;x
custom_thuringian;Thuringian;;Thüringisch;;;x
custom_austrian;Austrian;;Österreichisch;;;x
custom_prussian;Prussian;;Preußisch;;;x
custom_england;England;;;;;x
custom_ireland;Ireland;;Irland;;;x
custom_scotland;Scotland;;Schottland;;;x
custom_wales;Wales;;;;;x
custom_bohemia;Bohemia;;Böhmen;;;x
custom_carpathia;Carpathia;;Karpaten;;;x
custom_frisia;Frisia;;Friesland;;;x
custom_germany;Germany;;Deutschland;;;x
custom_lotharingia;Lotharingia;;Lotharingien;;;x
custom_poland;Poland;;Polen;;;x
custom_pomerania;Pomerania;;Pommern;;;x
custom_aquitaine;Aquitaine;;Aquitanien;;;x
custom_brittany;Brittany;;Bretagne;;;x
custom_burgundy;Burgundy;;Burgund;;;x
custom_france;France;;Frankreich;;;x
custom_bulgaria;Bulgaria;;Bulgarien;;;x
custom_byzantium;Greece;;Griechenland;;;x
custom_croatia;Croatia;;Kroatien;;;x
custom_italy;Italy;;Italien;;;x
custom_serbia;Serbia;;Serbien;;;x
custom_sicily;Sicily;;Sizilien;;;x
custom_wallachia;Wallachia;;Walachei;;;x
custom_khazaria;Khazaria;;Chasarien;;;x
custom_alania;Alania;;Alanien;;;x
custom_crimea;Crimea;;Krim;;;x
custom_cuman;Cuman;;Kuman;;;x
custom_lithuania;Lithuania;;Litauen;;;x
custom_livonia;Livonia;;Livland;;;x
custom_muscovy;Muscovy;;Moskowien;;;x
custom_novgorod;Novgorod;;Nowgorod;;;x
custom_perm;Perm;;;;;x
custom_rus;Kiev;;Kiew;;;x
custom_ruthenia;Ruthenia;;Ruthenien;;;x
custom_volga_bulgaria;Volga Bulgaria;;Wolga Bulgarien;;;x
custom_denmark;Denmark;;Dänemark;;;x
custom_finland;Finland;;Finnland;;;x
custom_north_sea;North Sea;;Nordsee;;;x
custom_norway;Norway;;Norwegen;;;x
custom_sweden;Sweden;;Schweden;;;x
custom_andalusia;Andalusia;;Andalusien;;;x
custom_aragon;Aragon;;Aragonien;;;x
custom_asturias;Asturias;;Asturien;;;x
custom_castille;Castille;;Kastilien;;;x
custom_navarra;Navarra;;;;;x
custom_portugal;Portugal;;;;;x
custom_afghanistan;Afghanistan;;;;;x
custom_arabia;Arabia;;Arabien;;;x
custom_baluchistan;Baluchistan;;Belutschistan;;;x
custom_jerusalem;Jerusalem;;;;;x
custom_khwarizm;Khwarizm;;;;;x
custom_mesopotamia;Mesopotamia;;Mesopotamien;;;x
custom_persia;Persia;;Persien;;;x
custom_syria;Syria;;Syrien;;;x
custom_armenia;Armenia;;Armenien;;;x
custom_azerbaijan;Azerbaijan;;Aserbaidschan;;;x
custom_georgia;Georgia;;Georgien;;;x
custom_nikaea;Nicaea;;Nizäa;;;x
custom_trebizond;Trebizond;;;;;x
custom_cyprus;Cyprus;;Zypern;;;x
custom_algiers;Algiers;;Algier;;;x
custom_mauretania;Mauretania;;Mauretanien;;;x
custom_morocco;Morocco;;Marokko;;;x
custom_west_africa;West Africa;;Westafrika;;;x
custom_abyssinia;Abyssinia;;Abessinien;;;x
custom_africa;Africa;;Afrika;;;x
custom_egypt;Egypt;;Ägypten;;;x
custom_nubia;Nubia;;Nubien;;;x
custom_bengal;Bengal;;Bengalen;;;x
custom_deccan;Deccan;;;;;x
custom_rajastan;Rajastan;;;;;x
