#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# base_birth_events.txt
EVTOPTD301;Isn't [From.GetSheHe] adorable?;;Ist [From.GetSheHe] nicht hinreißend?;;;x
EVTDESC319;It seems my dalliance with [From.Mother.GetTitledFirstName] has resulted in a child. Fortunately, [From.Father.GetTitledFirstName] thinks little [From.GetFirstName] is his!;;Wie es scheint, hat meine Tändelei mit [From.Mother.GetTitledFirstName] ein Kind zur Folge. Zum Glück denkt [From.Father.GetTitledFirstName], dass der kleine [From.GetFirstName] ihm gehört!;;;x
EVTOPTA450;I don't mind.;;Das macht mir nichts aus.;;;x
EVTOPTB450;Avoid [Root.Liege.GetHerHim];;Vermeiden Sie [Root.Liege.GetHerHim];;;x
EVTOPTC451;[From.GetSheHeCap]'s not my type;;[From.GetSheHeCap] ist nicht mein Typ;;;x
EVTOPTA452;What took [From.GetHerHim] so long?;;Warum hat [From.GetHerHim] so lange gebraucht?;;;x
EVTOPTB452;Dissuade [From.GetHerHim].;;Abraten [From.GetHerHim].;;;x
EVTOPTD452;Kick [From.GetHerHim] out and tell everyone what happened!;;Schmeißt [From.GetHerHim] raus und erzählt allen, was passiert ist!;;;x
EVTDESC453;I went to [From.GetFirstName]'s chamber and gave [From.GetHerHim] a good tumble!;;Ich bin in die Kammer von [From.GetFirstName] gegangen und habe [From.GetHerHim] eine ordentliche Tracht Prügel verpasst!;;;x
EVTDESC454;[From.GetFirstName] has spurned my subtle advances.;;[From.GetFirstName] hat meine subtilen Annäherungsversuche verschmäht.;;;x
EVTOPTA454;How could [From.GetSheHe] resist my charms?;;Wie könnte [From.GetSheHe] meinen Reizen widerstehen?;;;x
EVTDESC455;[From.GetFirstName] was furious and made a public spectacle of the incident!;;[From.GetFirstName] war wütend und machte ein öffentliches Spektakel aus dem Vorfall!;;;x
EVTOPTA455;Oops. How embarrassing!;;Ups. Wie peinlich!;;;x
# base_on_action_events.txt
EVTDESC500;[New.GetTitledFirstName] and [From.GetTitledFirstName] are getting married. We can collect a Royal Aid Duty to pay for the ceremonies.;[New.Get_Le_TitledFirstName] et [From.Get_le_TitledFirstName] se sont mariés. Nous pourrions lever un impôt royal pour financer la cérémonie.;[New.GetTitledFirstName] und [From.GetTitledFirstName] heiraten. Wir können für die Zeremonie eine Königliche Hilfesteuer eintreiben.;;[New.GetTitledFirstName] y [From.GetTitledFirstName] nos casamos. Podemos recaudar un Impuesto de Ayuda Real para pagar la ceremonia.;x
EVTDESC615;Peasant rebels have taken control of one of our holdings in [From.GetName] and declared independence!;;Bäuerliche Rebellen haben die Kontrolle über einen unserer Betriebe in [From.GetName] übernommen und die Unabhängigkeit erklärt!;;;x
EVTNAME670;The [old_religion.GetName] Reformation;Réforme de la foi [old_religion.GetName];Die [old_religion.GetName] Reformation;;Reforma de la Fe [old_religion.GetName];x
EVTDESC670;The ancient [old_religion.GetName] religion is proving unable to withstand the onslaught of the Cross and the Moon. Rather than abandoning the old ways, [Root.GetTitledName] and the most powerful priests have decided to reform the [old_religion.GetName] faith. With codified rites, a holy scripture and a strict church hierarchy under a single leader, they hope that the reformed [old_religion.GetName] faith is better armed to fight back against the weak and effeminate foreign beliefs!;L'ancienne religion [old_religion.GetName] n'est pas capable de résister l'assaut de la Croix et de la Lune. Plutôt que d'abandonner leur ancienne foi, [Root.Get_le_TitledName][Root.GetTitledName], ainsi que les plus puissants prêtres, ont décidé de la réformer. Grâce des rites codifiés, des textes sacrés et une hiérarchie religieuse sous un seul chef, ils espèrent que la foi [old_religion.GetName] réformée est ainsi mieux armée pour repousser les croyances étrangères faibles et efféminées !;Die alte [old_religion.GetName]-Religion erweist sich als unfähig, dem Ansturm des Kreuzes und des Mondes standzuhalten. Anstatt die alten Wege aufzugeben, haben [Root.GetTitledName] und die mächtigsten Priester beschlossen, den [old_religion.GetName] Glauben zu reformieren. Mit kodifizierten Riten, einer heiligen Schrift und einer strikten Kirchenhierarchie unter einem einzigen Anführer hoffen sie, dass der reformierte [old_religion.GetName]-Glaube besser gewappnet ist, um sich gegen die schwachen und verweichlichten fremden Glaubensvorstellungen zu wehren!;;La antigua religión [old_religion.GetName] está demostrando ser incapaz de resistir la arremetida de la Cruz y de la Luna. En lugar de abandonar las viejas costumbres, [Root.GetTitledName] y los más poderosos sacerdotes han decidido reformar la fe [old_religion.GetName]. Con ritos codificados, una escritura sagrada y una jerarquía estricta en la iglesia bajo un solo líder, esperan que la fe [old_religion.GetName] reformada esté mejor armada para luchar contra las creencias extranjeras débiles y afeminadas!;x
# TODO: Update to CleanSlate naming standards
# base_job_lord_spiritual_events.txt
EVTDESC900_hidden;My time spent secretly preaching in [Root.Location.GetName] has paid off: most of the peasants have embraced the [Root.Religion.GetName] faith!;;Meine Zeit, die ich damit verbracht habe, heimlich in [Root.Location.GetName] zu predigen, hat sich ausgezahlt: Die meisten Bauern haben den Glauben von [Root.Religion.GetName] angenommen!;;;x
EVTOPTC20270;Absolutely not!;;Auf keinen Fall!;;;x
EVTDESC39656;You are traveling through [convert_province.GetName] when you are suddenly beset upon by [convert_province.Owner.GetTitledFirstNameNoRegnal]'s guards and captured!;;Ihr reist gerade durch [convert_province.GetName], als Ihr plötzlich von den Wachen von [convert_province.Owner.GetTitledFirstNameNoRegnal] überfallen und gefangen genommen werdet!;;;x
# base_job_chancellor_events.txt
EVTDESC20161;Someone has been spreading lies about me to my vassals, saying that I distrust them and am unfit to rule. Unforunately it seems my vassals are receptive to this slander, and my relations with them have been damaged.;;Jemand hat bei meinen Vasallen Lügen über mich verbreitet und behauptet, ich würde ihnen misstrauen und sei ungeeignet zu regieren. Leider scheinen meine Vasallen für diese Verleumdungen empfänglich zu sein, und meine Beziehungen zu ihnen haben Schaden genommen.;;;x
EVTOPTA20161;Who could have done this?;;Wer könnte das getan haben?;;;x
EVTDESC20162;My liege, I have managed to sow distrust between [From.GetTitledName] and [From.GetHerHis] vassals. I hope this pleases you.\n\nYour humble [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;Mein Lehnsherr, es ist mir gelungen, Misstrauen zwischen [From.GetTitledName] und [From.GetHerHis] Vasallen zu säen. Ich hoffe, das gefällt Euch.\n\nEuer ergebener [Root.GetChancellorName],\n[Root.job_chancellor.GetTitledName];;;x
EVTDESC20170;It seems that the [Root.GetChancellorName] of [From.Host.PrimaryTitle.GetName], [From.GetTitledName], has been hard at work in [From.Location.GetName] trying to spread unrest among my vassals.;;Es scheint, dass der [Root.GetChancellorName] von [From.Host.PrimaryTitle.GetName], [From.GetTitledName], in [From.Location.GetName] hart daran gearbeitet hat, Unruhe unter meinen Vasallen zu verbreiten.;;;x
EVTOPTB20170;It is of no concern;;Es ist nicht von Belang;;;x
EVTDESC20172;My lord, your [Root.GetChancellorName] [FromFrom.GetTitledName] tried to encourage my vassals to turn against me! This shameless act can not go unpunished and to stop further interference I have thus decided to imprison your [Root.GetChancellorName] for an indefinite period of time.\n\nSigned,\n[From.GetTitledName];;Mein Herr, Euer [Root.GetChancellorName] [FromFrom.GetTitledName] hat versucht, meine Vasallen dazu zu bringen, sich gegen mich zu wenden! Diese schamlose Tat kann nicht ungestraft bleiben, und um weitere Einmischungen zu verhindern, habe ich daher beschlossen, Euren [Root.GetChancellorName] auf unbestimmte Zeit zu inhaftieren.\n\nGezeichnet,\n[From.GetTitledName];;;x
# base_job_spymaster_events.txt
EVTDESC916;It took all my skill and charm to sow distrust between the local ruler and his vassals, but at last their relations lay in ruins.;;Ich musste mein ganzes Geschick und meinen Charme aufbieten, um Misstrauen zwischen dem örtlichen Herrscher und seinen Vasallen zu säen, aber schließlich lagen ihre Beziehungen in Trümmern.;;;x
EVTNAME929;Undermine Faction Member;;Fraktionsmitglied unterminieren;;;x
EVTDESC929_COURT;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Court Faction.;;Ich habe eine Möglichkeit für [Root.Liege.GetTitledFirstNameNoRegnal] entdeckt, das Ansehen von [faction_member.GetTitledName] beim Rest der Hoffraktion zu untergraben.;;;x
EVTDESC929_PROSPERITY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Prosperity Faction.;;Ich habe eine Möglichkeit für [Root.Liege.GetTitledFirstNameNoRegnal] entdeckt, das Ansehen von [faction_member.GetTitledName] beim Rest der Wohlstandsfraktion zu untergraben.;;;x
EVTDESC929_GLORY;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Glory Faction.;;Ich habe eine Möglichkeit für [Root.Liege.GetTitledFirstNameNoRegnal] entdeckt, das Ansehen von [faction_member.GetTitledName] bei den anderen Mitgliedern der Ruhmes-Fraktion zu untergraben.;;;x
EVTDESC929_TRADITION;I have discovered an opportunity for [Root.Liege.GetTitledFirstNameNoRegnal] to undermine [faction_member.GetTitledName]'s standing with the rest of the Tradition Faction.;;Ich habe eine Möglichkeit für [Root.Liege.GetTitledFirstNameNoRegnal] entdeckt, das Ansehen von [faction_member.GetTitledName] bei den übrigen Mitgliedern der Traditions-Fraktion zu untergraben.;;;x
EVTOPTA929;Report it to [Root.Liege.GetTitledFirstNameNoRegnal];;Melde es an [Root.Liege.GetTitledFirstNameNoRegnal];;;x
EVTOPTB929;Ignore it;;Ignorieren;;;x
EVTNAME935;Spy Network Increased;;Spionagenetzwerk vergrößert;;;x
EVTDESC935;Your efforts to increase your network of contacts throughout [Root.Liege.PrimaryTitle.GetName] has met with measured success. [Root.Liege.GetTitledFirstNameNoRegnal] will be pleased, though this has the added side-benefit of increasing your own personal network at the same time.;;Ihre Bemühungen, Ihr Netzwerk von Kontakten in [Root.Liege.PrimaryTitle.GetName] zu erweitern, waren von Erfolg gekrönt. [Root.Liege.GetTitledFirstNameNoRegnal] wird sich freuen, auch wenn dies den zusätzlichen Nebeneffekt hat, dass Sie gleichzeitig Ihr eigenes persönliches Netzwerk vergrößern.;;;x
EVTNAME936;Spy Network Suffers Setback;;Spionagenetz erleidet Rückschlag;;;x
