#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTDESC_Plus_434;You spend an evening with [debater.GetTitledFirstNameNoRegnal] as [debater.GetSheHe] goes on at length about the importance of [debater.Religion.GetName] virtues. It turns into a lively debate, and one [debater.GetTitledFirstNameNoRegnal] seems insistent on winning!;;Ihr verbringt einen Abend mit [debater.GetTitledFirstNameNoRegnal], während [debater.GetSheHe] ausführlich über die Bedeutung der Tugenden von [debater.Religion.GetName] spricht. Es entwickelt sich eine lebhafte Debatte, und ein [debater.GetTitledFirstNameNoRegnal] scheint darauf zu bestehen, zu gewinnen!;;;x
EVTOPTA_Plus_434;Win a debate? Against me? Hah!;;Eine Debatte gewinnen? Gegen mich? Hah!;;;x
EVTOPTB_Plus_434;I'll skillfully steer us onto another topic;;Ich werde uns gekonnt auf ein anderes Thema lenken;;;x
EVTOPTC_Plus_434;[debater.GetSheHeCap] can't win--I cheat;;[debater.GetSheHeCap] kann nicht gewinnen - ich schummle;;;x
EVTOPTD_Plus_434;I'll let [debater.GetHerHim] win--this time;;Ich lasse [debater.GetHerHim] gewinnen - dieses Mal;;;x
EVTDESC_Plus_435;We started early, the sun had barely risen above the horizon. There was plenty of prey, the dogs caught many rabbits and I slayed one great boar before he killed my horse and myself.;;Wir brachen früh auf, die Sonne war kaum über den Horizont gestiegen. Es gab reichlich Beute, die Hunde fingen viele Kaninchen, und ich erlegte einen großen Eber, bevor er mein Pferd und mich tötete.;;;x
EVTOPTA_Plus_435;I'm a hunter;;Ich bin ein Jäger;;;x
EVTOPTB_Plus_435;That lifestyle is not for me;;Dieser Lebensstil ist nichts für mich;;;x
EVTDESC_Plus_436;The new bird is almost too perfect. I enjoy every hunt with her, and the cook has trouble finding new recipes for rabbit.;;Der neue Vogel ist fast zu perfekt. Ich genieße jede Jagd mit ihr, und der Koch hat Mühe, neue Rezepte für Kaninchen zu finden.;;;x
EVTOPTA_Plus_436;I'm a falconer;;Ich bin ein Falkner;;;x
EVTDESC_Plus_437;I'm never happier than when I'm in my study, poring over some newly imported volume. Books are truly God's greatest gift to man.;;Ich bin nie glücklicher, als wenn ich in meinem Arbeitszimmer sitze und in einem neu importierten Buch blättere. Bücher sind wahrlich Gottes größtes Geschenk an den Menschen.;;;x
EVTOPTA_Plus_437;I'm a scholar;;Ich bin ein Gelehrter;;;x
EVTDESC_Plus_438;I found the strange book collecting dust in a forgotten corner of the castle library. It took me several weeks of intense study before its mystery revealed itself to me. The gibberish parts was encoded and after many hours trying to decipher I managed to break it and construct a key to make it easier for me to read. Its mystery is still not solved...;;Ich fand das seltsame Buch, das in einer vergessenen Ecke der Schlossbibliothek verstaubte. Ich brauchte mehrere Wochen intensiven Studiums, bevor sich mir sein Geheimnis offenbarte. Die kauderwelschartigen Teile waren verschlüsselt, und nach stundenlangen Versuchen, sie zu entziffern, gelang es mir, sie zu knacken und einen Schlüssel zu konstruieren, mit dem ich sie leichter lesen konnte. Das Geheimnis ist immer noch nicht gelöst...;;;x
EVTOPTA_Plus_438;I'm a mystic;;Ich bin ein Mystiker;;;x
EVTDESC_Plus_439;My regular excursions into the dungeon have only served to whet my appetite. I have sent for a skilled torturer who will teach me more about the arts of pain.;;Meine regelmäßigen Ausflüge in den Kerker haben meinen Appetit nur noch mehr angeregt. Ich habe nach einem geschickten Folterknecht geschickt, der mich mehr über die Kunst des Schmerzes lehren wird.;;;x
EVTOPTA_Plus_439;I'm an impaler;;Ich bin ein Pfähler;;;x
EVTDESC_Plus_440;My garden is the apple of my eye, my pride and joy. I distrust my gardener and would spend every hour of the day in my garden if I could.;;Mein Garten ist mein Augapfel, mein Stolz und meine Freude. Ich misstraue meinem Gärtner und würde jede Stunde des Tages in meinem Garten verbringen, wenn ich könnte.;;;x
EVTOPTA_Plus_440;I'm a gardener;;Ich bin ein Gärtner;;;x
EVTDESC_Plus_441;My modest attempts to write poetry were never meant to be published in any way, but wherever I go, bards and minstrels are reciting or singing my poems.;;Meine bescheidenen Versuche, Gedichte zu schreiben, waren nie dazu gedacht, veröffentlicht zu werden, aber wo immer ich hinkomme, rezitieren oder singen Barden und Minnesänger meine Gedichte.;;;x
EVTOPTA_Plus_441;I'm a poet;;Ich bin ein Dichter;;;x
EVTDESC_Plus_442;There is nothing that brings me more joy than the day-to-day task of ruling [Root.PrimaryTitle.GetName]. Some may think it lacks glory, but I do it well enough that I've become known for my prowess.;;Es gibt nichts, was mir mehr Freude bereitet als die tägliche Aufgabe, über [Root.PrimaryTitle.GetName] zu herrschen. Manche mögen denken, dass es mir an Ruhm mangelt, aber ich mache es so gut, dass ich für mein Können bekannt geworden bin.;;;x
EVTOPTA_Plus_442;I'm an administrator!;;Ich bin ein Verwalter!;;;x
EVTDESC_Plus_443;This lifestyle of utmost pleasure and joyous life suits me perfectly. This can be nothing but heaven.;;Dieser Lebensstil des höchsten Vergnügens und der Lebensfreude passt perfekt zu mir. Das kann nichts anderes als der Himmel sein.;;;x
EVTOPTA_Plus_443;I'm a hedonist;;Ich bin ein Hedonist;;;x
EVTDESC_Plus_444;The duel was close fought, but in the end I was victorious over my opponent. As I basked in the admiration of my peers, I knew that I had to do this again.;;Das Duell war hart umkämpft, aber am Ende habe ich über meinen Gegner gesiegt. Als ich mich in der Bewunderung meiner Mitstreiter sonnte, wusste ich, dass ich das noch einmal machen musste.;;;x
EVTOPTA_Plus_444;I'm a duelist;;Ich bin ein Duellant;;;x
EVTDESC_Plus_445;I have finally become an expert in Islamic jurisprudence! My knowledge of the Qur'an, the Sunnah, Ijma' (Consensus) and Qiyas (Analogy) is what makes me a faqih and I will use that knowledge to be a better [Root.GetTitle] and ruler of my people.;;Ich bin endlich ein Experte in islamischer Rechtswissenschaft geworden! Mein Wissen über den Koran, die Sunna, Ijma' (Konsens) und Qiyas (Analogie) macht mich zu einem Faqih, und ich werde dieses Wissen nutzen, um ein besserer [Root.GetTitle] und Herrscher über mein Volk zu sein.;;;x
EVTOPTA_Plus_445;I am proud to have become a faqih!;;Ich bin stolz darauf, ein Faqih geworden zu sein!;;;x
EVTDESC_Plus_446;Whenever the engineers are working in [Root.Capital.GetName], I always make an effort to visit them and talk. They have such interesting ideas! Building things has always been a pleasure for me, whether they be physical or far more abstract.;;Wenn die Ingenieure in [Root.Capital.GetName] arbeiten, versuche ich immer, sie zu besuchen und mit ihnen zu sprechen. Sie haben so interessante Ideen! Es hat mir schon immer Spaß gemacht, Dinge zu bauen, ganz gleich, ob sie physisch sind oder eher abstrakt.;;;x
EVTOPTA_Plus_446;I'm an architect!;;Ich bin ein Architekt!;;;x
EVTDESC_Plus_447;What goes on behind a battle is far more interesting to me than the actual fighting. Strategies, maneuvers, even the issues of attrition and supply...these are the things that matter most when it comes to victory, and it applies to far more things than simply the battlefield.;;Was sich hinter einer Schlacht abspielt, ist für mich viel interessanter als die eigentlichen Kämpfe. Strategien, Manöver, sogar Zermürbung und Nachschub... das sind die Dinge, die am wichtigsten sind, wenn es um den Sieg geht, und das gilt für weit mehr als nur das Schlachtfeld.;;;x
EVTOPTA_Plus_447;I'm a strategist!;;Ich bin ein Stratege!;;;x
