#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

recent_bon_conversion;Recently converted to Bön;;;;;;;;;;;;;x
recent_bon_conversion_desc;This province recently converted to Bön, a Tibetan religion which combines elements from Buddhism and traditional faiths of the region. This change can cause unrest in the realm and religious rebellions.;;;;;;;;;;;;;x
known_lesbian;Known Lesbian;;;;;;;;;;;;;x
known_lesbian_pagan;Known Lesbian;;;;;;;;;;;;;x
being_reeducated;Being Re-educated;;;;;;;;;;;;;x
being_reeducated_desc;This character is in the process of getting a better education.;;;;;;;;;;;;;x
voice_of_wodanaz;Voice of Wotan;La Voix de Wotan;Stimme von Wotan;;Voz de Wotan;;;;;;x
follower_of_wodanaz;Follower of Wotan;;;;;;;;;;;;;x
follower_of_wodanaz_desc;This character is a devout follower of Wotan, the Germanic God of Knowlege and Poetry. He is also associated with healing, sorcery and war.;;;;;;;;;;;;;x
follower_of_thunraz;Follower of Thunær;;;;;;;;;;;;;x
follower_of_thunraz_desc;This character is a devout follower of Thunær, the Germanic God of Thunder. He is also associated with storms and fertility.;;;;;;;;;;;;;x
follower_of_ingwaz;Follower of Inguin;;;;;;;;;;;;;x
follower_of_ingwaz_desc;This character is a devout follower of Inguin, the Germanic God of Prosperity. He is also associated with sunshine and virility.;;;;;;;;;;;;;x
i_hate_carousing;Hates Carousing;;;;;;;;;;;;;x
recently_converted;Recently Converted;;;;;;;;;;;;;x
recently_converted_desc;This character was recently converted to [Root.Religion.GetName] faith.;;;;;;;;;;;;;x
barren;Barren;;;;;;;;;;;;;x
barren_desc;The character is unable to have children;;;;;;;;;;;;;x
zoroastrian_celibacy;Zoroastrians especially loath celibacy;;;;;;;;;;;;;x
zoroastrian_chastity;Zoroastrians loath chastity;;;;;;;;;;;;;x
zoroastrian_deceitfulness;Zoroastrians especially loath deceitfulness;;;;;;;;;;;;;x
zoroastrian_hedonism;Zoroastrians value hedonism;;;;;;;;;;;;;x
zoroastrian_honesty;Zoroastrians especially value honesty;;;;;;;;;;;;;x
zoroastrian_lustfulness;Zoroastrians value lustfulness;;;;;;;;;;;;;x
away_from_court;Away From Court;;;;;;;;;;;;;x
away_from_court_desc;When someone is away from their home court leading armies, it is much more difficult for them to discover plots...and all but impossible to have more children.;;;;;;;;;;;;;x
attentive_liege;Attentive Liege;;;;;;;;;;;;;x
attentive_liege_desc;The ruler is paying attention to their lands, ensuring that nothing goes wrong--at least for a while.;;;;;;;;;;;;;x
rep_cb_cd;New Management;;;;;;;;;;;;;x
rep_cb_cd_desc;This character has recently taken over a new city and must wait 5 years before doing another similar action.;;;;;;;;;;;;;x
rep_tp_cd;New Traders;;;;;;;;;;;;;x
rep_tp_cd_desc;This character has recently forcibly taken over a tradepost. They cannot seize another tradepost for another 5 years.;;;;;;;;;;;;;x
imperial_decadence_1;Imperial Decadence (10-20);;;;;;;;;;;;;x
imperial_decadence_1_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_2;Imperial Decadence (20-30);;;;;;;;;;;;;x
imperial_decadence_2_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_3;Imperial Decadence (31-40);;;;;;;;;;;;;x
imperial_decadence_3_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_4;Imperial Decadence (41-50);;;;;;;;;;;;;x
imperial_decadence_4_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_5;Imperial Decadence (51-60);;;;;;;;;;;;;x
imperial_decadence_5_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_6;Imperial Decadence (61-70);;;;;;;;;;;;;x
imperial_decadence_6_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_7;Imperial Decadence (71-80);;;;;;;;;;;;;x
imperial_decadence_7_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
imperial_decadence_8;Imperial Decadence (81+);;;;;;;;;;;;;x
imperial_decadence_8_desc;An empire is a hard thing to hold together. The massive bureaucracy can become corrupt, and the sheer difficulty in sending messages across such a large expanse can lead to its own kind of entropy. Imperial Decadence measures that entropy, and increases each time the title changes hands based on how large and centralized the empire has become.\n\nImperial Decadence is §Rincreased§! by:\n* The title changing hands (more if it is usurped)\n* Higher crown authority\n* Having a very large realm\n* Losing crusades and holy wars\n* Losing against major invasions\n* Random events caused by a poor ruler or regent\n\nImperial Decadence can be §Greduced§! by:\n* Becoming coronated\n* Holding a tournament/furusiyya\n* Using the Lower Imperial Decadence decision\n* Winning crusades and holy wars\n* Winning major invasions and rebellions\n* Enforcing imperial de jure claims\n* Random events caused by a good ruler or regent;;;;;;;;;;;;;x
bad_omen;Bad Omen;;;;;;;;;;;;;x
bad_omen_desc;This character pored through the Qur'an and saw terrible things about to happen in the future.;;;;;;;;;;;;;x
bard_performance;Bard Performance;;;;;;;;;;;;;x
battlefield_fight;Challenged to a battlefield duel;;;;;;;;;;;;;x
building_new_city;New City Construction;;;;;;;;;;;;;x
building_new_city_desc;The people and merchants of the province are working to build a city, a process that could take up to ten years or more to complete.;;;;;;;;;;;;;x
building_new_temple;New Temple Construction;;;;;;;;;;;;;x
building_new_temple_desc;The people of the province are working to build a new temple, a process that could take anywhere up to twenty years to complete.;;;;;;;;;;;;;x
building_st_bogomil;Building Church of St. Bogomil;;;;;;;;;;;;;x
building_st_bogomil_desc;The Church of St. Bogomil is being constructed here, a process that will take many years to complete.;;;;;;;;;;;;;x
bureaucratic_anger;Bureaucratic Anger;;;;;;;;;;;;;x
bureaucratic_anger_desc;The imperial bureaucracy has a way of making its displeasure felt, even against the most powerful of rulers.;;;;;;;;;;;;;x
bureaucratic_chaos;Bureaucratic Chaos;;;;;;;;;;;;;x
bureaucratic_chaos_desc;Something has gone very wrong within the mechanism of the imperial bureaucracy, and its effects are currently being felt throughout the realm.;;;;;;;;;;;;;x
bureaucratic_reform_1;Bureaucratic Reform;;;;;;;;;;;;;x
bureaucratic_reform_1_desc;Reforms within the imperial bureaucracy have improved the way taxes are collected.;;;;;;;;;;;;;x
