#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#
# FACTION MAIN
#
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
WAR_NAME_FACTION_DEPOSE;$ORDER$Revolt of the $FIRST_ADJ$ League;$ORDER$Révolte de la Ligue $FIRST_ADJ$;$ORDER$Aufstand der $FIRST_ADJ$ Liga;;$ORDER$Revolt of the $FIRST_ADJ$ League;;;;;;;;;x
faction_court_desc;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Cown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Cown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Cown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Cown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;;;;;;;;;x
faction_court_title;Court Faction;Court Faction;Court Faction;;Court Faction;;;;;;;;;x
faction_court_short;Court;Court;Court;;Court;;;;;;;;;x
faction_glory_desc;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Any member being appointed as Marshal\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- The liege's Marshal not belonging to their faction\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Any member being appointed as Marshal\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- The liege's Marshal not belonging to their faction\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Any member being appointed as Marshal\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- The liege's Marshal not belonging to their faction\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Any member being appointed as Marshal\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- The liege's Marshal not belonging to their faction\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;;;;;;;;;x
faction_glory_title;Glory Faction;Glory Faction;Glory Faction;;Glory Faction;;;;;;;;;x
faction_glory_short;Glory;Glory;Glory;;Glory;;;;;;;;;x
faction_pretender_desc;A claimant to the throne of [This.GetName]. If [New.GetSheHe] gathers enough support from the factions, [New.GetSheHe] will declare war.;Un prétendant au trosne de [This.GetName]. Si [New.GetSheHe] recueille assez d'appui de la part des factions, [New.GetSheHe] déclarera la guerre.;Ein Anwärter auf den Thron [This.GetName]. Wenn [New.GetSheHe] genügend Unterstützung von den Splittergruppen sammelt, [New.GetSheHe] wird Krieg erklärt.;;A claimant to the throne of [This.GetName]. If [New.GetSheHe] gathers enough support from the factions, [New.GetSheHe] will declare war.;;;;;;;;;x
faction_pretender_short;Claimant;Prétendant;Titelforderer;;Claimant;;;;;;;;;x
faction_pretender_title;[New.GetTitledFirstName] for [This.GetName];[New.GetTitledFirstName] pour [This.GetName];[New.GetTitledFirstName] für [This.Holder.PrimaryTitle.GetName];;[New.GetTitledFirstName] for [This.GetName];;;;;;;;;x
