#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC_Plus_1500_A;My spies believe they have collected enough information on [target_spy_on.GetTitledFirstName]'s comings and goings that my plot should now have a better chance of success, and indeed should happen more quickly than originally planned.;;;;;;;;;;;;;x
EVTDESC_Plus_1500_B;My spies believe they have collected enough information on [target_spy_on.GetTitledFirstName]'s comings and goings that the plot against [target_spy_on.GetHerHim] should now have a much better chance of success.;;;;;;;;;;;;;x
EVTDESC_Plus_1501;My [Root.GetLordLady],\nMy people have been watching [target_spy_on.GetTitledName] for some time now, and we've acquired enough knowledge of [target_spy_on.GetHerHis] comings and going to help your plot against [target_spy_on.GetHerHim]. With luck, my information will see us to success.\n\nWith respect,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_Plus_1505;An interesting bit of information has surfaced from my spying on [target_spy_on.GetTitledFirstName]: the man everyone believes to be [[target_spy_on.GetHerHis] father is not. [target_spy_on.GetHerHisCap] mother, [target_spy_on.Mother.GetTitledFirstName] once had a torried affair with [target_spy_on.RealFather.GetTitledName], and it is he who is [target_spy_on.GetTitledFirstName]'s real father.;;;;;;;;;;;;;x
EVTOPTA_Plus_1505;Blackmail [target_spy_on.RealFather.GetTitledFirstName];;;;;;;;;;;;;x
EVTOPTB_Plus_1505;Reveal the truth for all to see;;;;;;;;;;;;;x
EVTOPTC_Plus_1505;I have no interest in this;;;;;;;;;;;;;x
EVTDESC_Plus_1506;My [Root.GetLordLady],\nIt has come to my attention that you are, in truth, the father of [target_spy_on.GetTitledName]. No, there is no need to deny it. I have several letters between yourself and [target_spy_on.Mother.GetTitledFirstName] in my possession. If you do not make it worth my time to keep them to myself, it will be most unfortunate.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_Plus_1507;It seems you leave me no choice. To protect both my own reputation and that of [target_spy_on.GetTitledFirstName], It seems I must do as you demand.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTDESC_Plus_1508;You believe I am concerned that anyone might know of [target_spy_on.GetTitledFirstName]'s true lineage? I have borne scandal before. Do your worst, fiend, you shall see no profit in this deed.\n\nSigned,\n[From.GetTitledName];;;;;;;;;;;;;x
EVTOPTA_Plus_1508;Then it seems everyone must know the truth;;;;;;;;;;;;;x
EVTOPTB_Plus_1508;Bah! Fair enough, I'll not go through with it;;;;;;;;;;;;;x
