#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
###############################################################################;;;;;;;;;;;;;;x;
#BARONY FEUDAL;;;;;;;;;;;;;;x;
barony_of_coptic;Fortress of;Forteresse de;Festung von;;Fortaleza de;
barony_of_french;Lordship of;Seigneurie de;Baronie von;;Baronía de;
barony_of_occitan;Lordship of;Seigneurie de;Baronie von;;Baronía de;
barony_of_bulgar;Taishi of;Taishi de;Taishi von;;Taishi de;
barony_of_central_germanic;Burgraviate of;Burgraviat de;Burggrafen von;;Burgraviato de;
barony_of_cuman;Taishi of;Taishi de;Taishi von;;Taishi de;
barony_of_east_slavic;Castle of;Château de;Schloss von;;Castillo de;
barony_of_finnish;Castle of;Château de;Schloss von;;Castillo de;
barony_of_iberian;Castle of;Château de;Schloss von;;Castillo de;
barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;
barony_of_israelite;Migdal of;Migdal de;Migdal von;;Migdal of;
barony_of_jewish_group;Migdal of;Migdal de;Migdal von;;Migdal of;
barony_of_khazar;Taishi of;Taishi de;Taishi von;;Taishi de;
barony_of_sami;Castle of;Château de;Schloss von;;Castillo de;
barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;
barony_of_north_germanic;Castle of;Château de;Schloss von;;Castillo de;
barony_of_pecheneg;Taishi of;Taishi de;Taishi von;;Taishi de;
barony_of_polish;Castellany of;Châtellenie de;Kastellanei von;;Castellanía de;
barony_of_anglo_saxon;Castle of;Château de;Schloss von;;Castillo de;
barony_of_somali;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
barony_of_maghrebi;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
barony_of_amazigh;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;
barony_of_south_slavic;Castle of;Château de;Schloss von;;Castillo de;
barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;
barony_of_welsh;Castle of;Château de;Schloss von;;Castillo de;
barony_of_west_african;Horon of;Horon de;Horon von;;Horon de;
###############################################################################;;;;;;;;;;;;;;x;
#BARONY IMPERIAL;;;;;;;;;;;;;;x;
imperial_barony_of;Barony of;Baronnie de;Baronie von;;Baronía de;
imperial_barony_of_french;Lordship of;Seigneurie de;Baronie von;;Baronía de;
imperial_barony_of_occitan;Lordship of;Seigneurie de;Baronie von;;Baronía de;
imperial_barony_of_bulgar;Taishi of;Taishi de;Taishi von;;Taishi de;
imperial_barony_of_central_germanic;Burgraviate of;Burgraviat de;Burggrafen von;;Burgraviato de;
imperial_barony_of_cuman;Taishi of;Taishi de;Taishi von;;Taishi de;
imperial_barony_of_east_slavic;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_finnish;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_iberian;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;
imperial_barony_of_israelite;Migdal of;Migdal de;Migdal von;;Migdal of;
imperial_barony_of_jewish_group;Migdal of;Migdal de;Migdal von;;Migdal of;
imperial_barony_of_khazar;Taishi of;Taishi de;Taishi von;;Taishi de;
imperial_barony_of_sami;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;
imperial_barony_of_north_germanic;Castle of;Château de;Schloss von;;Castillo de;
imperial_barony_of_pecheneg;Taishi of;Taishi de;Taishi von;;Taishi de;
