#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bohemian;Czech;Tchèque;Tschechisch;;Czech;;;;;;;x;;
bolghar;Bolghar;Bulgare;Bulgaranisch;;Bolghar;;;;;;;;;x
bafour;Bafour;Bafour;Bafourisch;;Bafour;;;;;;;;;x
coptic;Sahidic;Sahidic;Sahidic;;Sahidic;;;;;;;;;x
coptic_group;Coptic;Coptic;Coptic;;Coptic;;;;;;;;;x
crusader_group;Crusader;Croisé;Crusader;;Crusader;;;;;;;;;x
dnepr_slav;Dnepr Slav;Dnepr Slav;Dnepr Slav;;Dnepr Slav;;;;;;;;;
dnestr_slav;Dnestr Slav;Dnestr Slav;Dnestr Slav;;Dnestr Slav;;;;;;;;;
english_norse;Anglo-Norse;Anglo-Scandinave;Anglo-Nordisch;;Anglo-Norse;;;;;;x;;;
gallawa;Gallawa;Gallawa;Gallawa;;Gallawa;;;;;;;;;x
icelandic;Icelandic;Islandais;Isländisch;;Icelandic;;;;;;;;;x
iranian;Iranian;Iranien;Iranisch;;Iraní;;;;;;;;;x
jolof;Jolof;Djolof;Jolofisch;;Jolof;;;;;;;;;x
judaic;Judaic;Judaïque;Jüdisch;;Judaic;;;;;;;;;x
khazar;Khazar;Khazare;Khazarisch;;Khazar;;;;;;;;;x
mizrahim;Mizrahim;Mizrahim;Mizrahim;;Mizrahim;;;;;;;;;x
nubian;Nubian;Nubien;Nubisch;;Nubian;;;;;;;x;;
outremer;Outremer;Outremer;Outremerisch;;Outremer;;;;;;;x;;
pommeranian;Wend;Poméranien;Wendisch;;Wend;;;;;;;x;;
saxon;Anglo-Saxon;Anglo-Saxon;Angelsächsisch;;Anglo-Saxon;;;;;;;x;;
sephardic;Sephardic;Séfarade;Sephardisch;;Sephardic;;;;;;;;;x
sicilian;Sicilian;Sicilien;Sizilianisch;;Sicilian;;;;;;;;;x
sicilian_arabic;Siculo-Arabic;Sicilien-Arabe;Siculo-Arabic;;Siculo-Arabic;;;;;;;;;x
sicilian_greek;Siculo-Greek;Sicilien-Grec;Siculo-Greek;;Siculo-Greek;;;;;;;;;x
somali;Somali;Somalien;Somalisch;;i;;;;;;;x;;
sosso;Sosso;Sosso;Susuisch;;Sosso;;;;;;;;;x
ugricbaltic;Estonian;Estonien;Estländischer;;Estonia;;;;;;;;;x
volga_slav;Volga Slav;Volga Slav;Volga Slav;;Volga Slav;;;;;;;;;
arberian;Albanian;Albanian;Albanian;;Albanian;;;;;;;;;x
