#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
bogomilist_church_group;Faith Organization;Faith Organization;Faith Organization;;Faith Organization;;;;;;;;;x
bogomilist_church_group_desc;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- indeed, the hierarchy and tyranny of the Orthodox Church is partly what prompted its creation. Its anarchical nature also makes the faithful difficult to control with the traditional feudal structure. It is possible, however, for a powerful Bogomilist ruler to slowly organize and reform the faith into something permanent and lasting...but it will not be easy, and the common folk are likely to resist any such attempt.;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- indeed, the hierarchy and tyranny of the Orthodox Church is partly what prompted its creation. Its anarchical nature also makes the faithful difficult to control with the traditional feudal structure. It is possible, however, for a powerful Bogomilist ruler to slowly organize and reform the faith into something permanent and lasting...but it will not be easy, and the common folk are likely to resist any such attempt.;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- indeed, the hierarchy and tyranny of the Orthodox Church is partly what prompted its creation. Its anarchical nature also makes the faithful difficult to control with the traditional feudal structure. It is possible, however, for a powerful Bogomilist ruler to slowly organize and reform the faith into something permanent and lasting...but it will not be easy, and the common folk are likely to resist any such attempt.;;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- indeed, the hierarchy and tyranny of the Orthodox Church is partly what prompted its creation. Its anarchical nature also makes the faithful difficult to control with the traditional feudal structure. It is possible, however, for a powerful Bogomilist ruler to slowly organize and reform the faith into something permanent and lasting...but it will not be easy, and the common folk are likely to resist any such attempt.;;;;;;;;;x
bogomilist_church_0;No Bogomilist Organization;No Bogomilist Organization;No Bogomilist Organization;;No Bogomilist Organization;;;;;;;;;x
bogomilist_church_0_desc;The Bogomilist faith is a movement which exists independent of, and sometimes opposed to, the structure of a feudal state.;The Bogomilist faith is a movement which exists independent of, and sometimes opposed to, the structure of a feudal state.;The Bogomilist faith is a movement which exists independent of, and sometimes opposed to, the structure of a feudal state.;;The Bogomilist faith is a movement which exists independent of, and sometimes opposed to, the structure of a feudal state.;;;;;;;;;x
bogomilist_church_0_option;None;None;None;;None;;;;;;;;;x
bogomilist_church_1;Bogmilism Supported;Bogmilism Supported;Bogmilism Supported;;Bogmilism Supported;;;;;;;;;x
bogomilist_church_1_desc;The Bogomilist faithful recognize that feudal rulers are on their side, and are willing to co-operate to a large extent. The missionary work of the Perfecti is supported by the state, but beyond that the faithful still resist any notion of formal organization.;The Bogomilist faithful recognize that feudal rulers are on their side, and are willing to co-operate to a large extent. The missionary work of the Perfecti is supported by the state, but beyond that the faithful still resist any notion of formal organization.;The Bogomilist faithful recognize that feudal rulers are on their side, and are willing to co-operate to a large extent. The missionary work of the Perfecti is supported by the state, but beyond that the faithful still resist any notion of formal organization.;;The Bogomilist faithful recognize that feudal rulers are on their side, and are willing to co-operate to a large extent. The missionary work of the Perfecti is supported by the state, but beyond that the faithful still resist any notion of formal organization.;;;;;;;;;x
bogomilist_church_1_option;Supported;Supported;Supported;;Supported;;;;;;;;;x
bogomilist_church_2;Bogomilism Organized;Bogomilism Organized;Bogomilism Organized;;Bogomilism Organized;;;;;;;;;x
bogomilist_church_2_desc;The Bogomilist faith now has a standardized set of liturgy and texts, and the various members of the movement have agreed to work together -- and not oppose their feudal rulers. They still operate outside of formal temples, and they still operate seperately from the state.;The Bogomilist faith now has a standardized set of liturgy and texts, and the various members of the movement have agreed to work together -- and not oppose their feudal rulers. They still operate outside of formal temples, and they still operate seperately from the state.;The Bogomilist faith now has a standardized set of liturgy and texts, and the various members of the movement have agreed to work together -- and not oppose their feudal rulers. They still operate outside of formal temples, and they still operate seperately from the state.;;The Bogomilist faith now has a standardized set of liturgy and texts, and the various members of the movement have agreed to work together -- and not oppose their feudal rulers. They still operate outside of formal temples, and they still operate seperately from the state.;;;;;;;;;x
bogomilist_church_2_option;Organized;Organized;Organized;;Organized;;;;;;;;;x
bogomilist_church_3;Bogomilism Formalized;Bogomilism Formalized;Bogomilism Formalized;;Bogomilism Formalized;;;;;;;;;x
bogomilist_church_3_desc;The Bogomilist faith now operates out of temples, and are willing to work directly with feudal rulers in their councils. They have been entwined enough with the state that there is no lingering sense of opposition -- as far as many are concerned, the two are inseparable.;The Bogomilist faith now operates out of temples, and are willing to work directly with feudal rulers in their councils. They have been entwined enough with the state that there is no lingering sense of opposition -- as far as many are concerned, the two are inseparable.;The Bogomilist faith now operates out of temples, and are willing to work directly with feudal rulers in their councils. They have been entwined enough with the state that there is no lingering sense of opposition -- as far as many are concerned, the two are inseparable.;;The Bogomilist faith now operates out of temples, and are willing to work directly with feudal rulers in their councils. They have been entwined enough with the state that there is no lingering sense of opposition -- as far as many are concerned, the two are inseparable.;;;;;;;;;x
bogomilist_church_3_option;Formalized;Formalized;Formalized;;Formalized;;;;;;;;;x
bogomilist_church_4;Pemanently Established;Pemanently Established;Pemanently Established;;Pemanently Established;;;;;;;;;x
bogomilist_church_4_desc;A formal head of the Bogomilist faith has been established, creating a true Church of Bogomilism. More than that, Bogomilism will be recognized as an independent faith by fellow Christians, looked upon more as a schism from Orthodoxy than a heresy.;A formal head of the Bogomilist faith has been established, creating a true Church of Bogomilism. More than that, Bogomilism will be recognized as an independent faith by fellow Christians, looked upon more as a schism from Orthodoxy than a heresy.;A formal head of the Bogomilist faith has been established, creating a true Church of Bogomilism. More than that, Bogomilism will be recognized as an independent faith by fellow Christians, looked upon more as a schism from Orthodoxy than a heresy.;;A formal head of the Bogomilist faith has been established, creating a true Church of Bogomilism. More than that, Bogomilism will be recognized as an independent faith by fellow Christians, looked upon more as a schism from Orthodoxy than a heresy.;;;;;;;;;x
bogomilist_church_4_option;Permanent;Permanent;Permanent;;Permanent;;;;;;;;;x
bureaucratic_infighting;Court Infighting;Court Infighting;Court Infighting;;Court Infighting;;;;;;;;;x
bureaucratic_infighting_desc;If a ruler's court grows out of his control, the results can be devastating. It's entirely possible for the empire to fly apart at the seams. Even if it doesn't, it will become increasingly difficult for the ruler to exert influence over members of his court -- or keep them within the empire after his death.;If a ruler's court grows out of his control, the results can be devastating. It's entirely possible for the empire to fly apart at the seams. Even if it doesn't, it will become increasingly difficult for the ruler to exert influence over members of his court -- or keep them within the empire after his death.;If a ruler's court grows out of his control, the results can be devastating. It's entirely possible for the empire to fly apart at the seams. Even if it doesn't, it will become increasingly difficult for the ruler to exert influence over members of his court -- or keep them within the empire after his death.;;If a ruler's court grows out of his control, the results can be devastating. It's entirely possible for the empire to fly apart at the seams. Even if it doesn't, it will become increasingly difficult for the ruler to exert influence over members of his court -- or keep them within the empire after his death;;;;;;;;;x
city_tax_0;Small City Taxes;Imposts des Bourgs Faibles;Kleine Stadtsteuern;;Small City Taxes;;;;;;;;;x
city_tax_0_desc;The Burghers are expected to make a small financial contribution to the greater good of the realm.;On attend une faible contribution financière de la part des Bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen kleinen Finanzbeitrag zum größeren Nutzen des Bereichs.;;The Burghers are expected to make a small financial contribution to the greater good of the realm.;;;;;;;;;x;;
city_tax_0_option;Small;Faibles;Klein;;Small;;;;;;;;;x;;
city_tax_1;Medium City Taxes;Imposts des Bourgs Normaulx;Mittlere Stadtsteuern;;Medium City Taxes;;;;;;;;;x
city_tax_1_desc;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;On attend une contribution financière normale de la part des Bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen gemäßigten Finanzbeitrag zum größeren Nutzen des Bereichs.;;The Burghers are expected to make a moderate financial contribution to the greater good of the realm.;;;;;;;;;x;;
city_tax_1_option;Medium;Normaulx;Mittel;;Medium;;;;;;;;;x;;
city_tax_2;Large City Tax;Imposts des Bourgs Importants;Hohe Stadtsteuern;;Large City Tax;;;;;;;;;x
city_tax_2_desc;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;On attend une contribution financière substantielle de la part des Bourgeois pour le bien du Royaume.;Wie man erwartet, leisten die Bürger einen wesentlichen Finanzbeitrag zum größeren Nutzen des Bereichs.;;The Burghers are expected to make a substantial financial contribution to the greater good of the realm.;;;;;;;;;x;;
city_tax_2_option;Large;Importants;Hoch;;Large;;;;;;;;;x;;
council_privileges_0;Free Appointment;Nomination libre;Freier Ernennung;;Free Appointment;;;;;;;;;x;;
council_privileges_0_desc;Councilors are freely appointed and dismissed by the crown.;Les conseillers sont nommés et renvoyés sans contrainte par la Couronne.;Ratsmitglieder sind frei ernannt und entlassen ber der Krone.;;Councillors are freely appointed and dismissed by the crown.;;;;;;;;;x;;
council_privileges_0_option;Free;Libre;Frei;;Free;;;;;;;;;x;;
council_privileges_1;Lifetime Appointment;Nomination à vie;Ernennung auf Lebenszeit;;Lifetime Appointment;;;;;;;;;x
council_privileges_1_desc;Councilors are appointed for life.;Les conseillers sont nommés à vie.;Ratsmitglieder werden auf Lebenszeit ernannt.;;Councillors are appointed for life.;;;;;;;;;x;;
council_privileges_1_option;Life;A vie;Lebenszeit;;Life;;;;;;;;;x;;
council_privileges_group;Council Terms;Privilèges du conseil;Ratbedingungen;;Council Terms;;;;;;;;;x;;
council_privileges_group_desc;This law determines the freedom of the ruler to dismiss councilors;Cette loi détermine la liberté de recrutement dont dispose le suzerain vis-à-vis de son conseil;Dieses Gesetz bestimmt die Freiheit der Herrscher Ratsmitglieder zu entlassen.;;This law determines the freedom of the ruler to dismiss councillors.;;;;;;;;;x;;
crown_authority_0_desc;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;Vassals are a law unto themselves, ruling their fiefs like petty kingdoms. Their obligations to their liege are minimal.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;;;;;;;;x;;
crown_authority_1_desc;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;Vassals enjoy a very large degree of autonomy, but have to provide their liege with a fairly substantial portion of the levies.\n\n§YNOTE§!: Kingdom and Empire de jure claims cannot be enforced under this level of Crown Authority!\n;;;;;;;;;x;;
demesne_laws;Demesne Laws;Demesne Laws;Demesne Laws;;Demesne Laws;;;;;;;;;x;;
demesne_laws_desc;The ability and complexity of the law to support a larger personal domain for the ruler.;The ability and complexity of the law to support a larger personal domain for the ruler.;The ability and complexity of the law to support a larger personal domain for the ruler.;;The ability and complexity of the law to support a larger personal domain for the ruler.;;;;;;;;;x;;
demesne_laws_0;No Demesne Laws;No Demesne Laws;No Demesne Laws;;No Demesne Laws;;;;;;;;;x;;
demesne_laws_0_option;None;None;None;;None;;;;;;;;;x;;
demesne_laws_0_desc;There are no additional laws to support a ruler's personal demesne.;There are no additional laws to support a ruler's personal demesne.;There are no additional laws to support a ruler's personal demesne.;;There are no additional laws to support a ruler's personal demesne.;;;;;;;;;x;;
demesne_laws_1;Minimal Demesne Laws;Minimal Demesne Laws;Minimal Demesne Laws;;Minimal Demesne Laws;;;;;;;;;x;;
demesne_laws_1_option;Minimal;Minimal;Minimal;;Minimal;;;;;;;;;x;;
demesne_laws_1_desc;The laws governing a ruler's demesne are meager, allowing it to be slightly larger.;The laws governing a ruler's demesne are meager, allowing it to be slightly larger.;The laws governing a ruler's demesne are meager, allowing it to be slightly larger.;;The laws governing a ruler's demesne are meager, allowing it to be slightly larger.;;;;;;;;;x;;
demesne_laws_2;Medium Demesne Laws;Medium Demesne Laws;Medium Demesne Laws;;Medium Demesne Laws;;;;;;;;;x;;
demesne_laws_2_option;Medium;Medium;Medium;;Medium;;;;;;;;;x;;
demesne_laws_2_desc;There is sufficient bureaucracy for the ruler to maintain a larger personal demesne.;There is sufficient bureaucracy for the ruler to maintain a larger personal demesne.;There is sufficient bureaucracy for the ruler to maintain a larger personal demesne.;;There is sufficient bureaucracy for the ruler to maintain a larger personal demesne.;;;;;;;;;x;;
demesne_laws_3;Large Demesne Laws;Large Demesne Laws;Large Demesne Laws;;Large Demesne Laws;;;;;;;;;x;;
demesne_laws_3_option;Large;Large;Large;;Large;;;;;;;;;x;;
demesne_laws_3_desc;There are many rules and matters of precedent and custom which allow the ruler to maintain a much larger demesne.;There are many rules and matters of precedent and custom which allow the ruler to maintain a much larger demesne.;There are many rules and matters of precedent and custom which allow the ruler to maintain a much larger demesne.;;There are many rules and matters of precedent and custom which allow the ruler to maintain a much larger demesne.;;;;;;;;;x;;
demesne_laws_4;Complex Demesne Laws;Complex Demesne Laws;Complex Demesne Laws;;Complex Demesne Laws;;;;;;;;;x;;
demesne_laws_4_option;Complex;Complex;Complex;;Complex;;;;;;;;;x;;
demesne_laws_4_desc;The laws regarding the ruler's personal demesne are complex and far-reaching, and there are many bureaucrats and sub-holders who help maintain it.;The laws regarding the ruler's personal demesne are complex and far-reaching, and there are many bureaucrats and sub-holders who help maintain it.;The laws regarding the ruler's personal demesne are complex and far-reaching, and there are many bureaucrats and sub-holders who help maintain it.;;The laws regarding the ruler's personal demesne are complex and far-reaching, and there are many bureaucrats and sub-holders who help maintain it.;;;;;;;;;x;;
feudal_tax_0;No Feudal Taxes;Point de taxes féodales;Keine Feudalsteuer;;No Feudal Taxes;;;;;;;;;x
