#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
byzantine_vassalize_desc;§Y$CLAIMANT$§! can use this Casus Belli to subjugate the §Y$TITLE$§! as a rightful part of the Byzantine Empire, either forcing the holder to become a vassal or seizing the title if they cannot become one. If the §Y$TITLE$§! is not held, all de jure counties in §Y$TARGET$§!'s realm will either be vassalized or seized.;§Y$CLAIMANT$§! can use this Casus Belli to subjugate the §Y$TITLE$§! as a rightful part of the Byzantine Empire, either forcing the holder to become a vassal or seizing the title if they cannot become one. If the §Y$TITLE$§! is not held, all de jure counties in §Y$TARGET$§!'s realm will either be vassalized or seized.;§Y$CLAIMANT$§! can use this Casus Belli to subjugate the §Y$TITLE$§! as a rightful part of the Byzantine Empire, either forcing the holder to become a vassal or seizing the title if they cannot become one. If the §Y$TITLE$§! is not held, all de jure counties in §Y$TARGET$§!'s realm will either be vassalized or seized.;;§Y$CLAIMANT$§! can use this Casus Belli to subjugate the §Y$TITLE$§! as a rightful part of the Byzantine Empire, either forcing the holder to become a vassal or seizing the title if they cannot become one. If the §Y$TITLE$§! is not held, all de jure counties in §Y$TARGET$§!'s realm will either be vassalized or seized.;;;;;;;;;x
carolingian_manifest_destiny_desc;My manifest destiny allows me to invade §Y$TARGET$§!. If successful, everything §Y$TARGET$§! controls within the §Y$TITLE$§! will be taken or vassalized.;Ma destinée manifeste me donne le droit d'envahir §Y$TARGET$§!. En cas de réussite, tout territoire contrôlé par §Y$TARGET$§! au sein du/de la §Y$TITLE$§! sera capturé ou vassalisé.;Mein manifestiertes Schicksal erlaubt mir, §Y$TARGET$§! zu erobern. Bei Erfolg, wird alles, was §Y$TARGET$§! in §Y$TITLE$§! kontrolliert, übernommen oder zum Vasallen. ;;Mi destino manifiesto me permite invadir §Y$TARGET$§!. De tener éxito, todo lo que §Y$TARGET$§! controla en los §Y$TITLE$§! Será tomado o avasallado.;;;;;;;;;x
carolingian_reconquest_desc;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;;The Carolingian Empire must be restored! §Y$CLAIMANT$§! may use this Casus Belli to seize all titles held by §Y$TARGET$§! within the de jure §Y$TITLE$§!, with the goal of rebuilding the Holy Roman Empire which has so recently been lost.;;;;;;;;;x
CB_NAME_BYZANTINE_CONQUEST;Imperial Subjugation of [Title.GetBaseName];Assujettissement imperial;Imperial Subjugation;;Imperial Subjugation;;;;;;;;;x
CB_NAME_CAROLINGIAN;Carolingian Reconquest of [Title.GetBaseName];Reconquête Impériale de [Title.GetBaseName];Kaiserliche Rückeroberung von [Title.GetBaseName];;Reconquista imperial del [Title.GetBaseName];;;;;;;;;x
CB_NAME_COASTAL_REPUBLIC;Seize the Coast of [Title.GetBaseName];S'emparer du Bourg costier de [Title.GetBaseName];Erobert die Stadt von [Title.GetBaseName];;Arrasar la ciudad de [Title.GetBaseName];;;;;;;;;x
CB_NAME_CONTESTEDCLAIM;Contest [Title.GetName];Contester [Title.GetName];;;;;;;;;;;;x
CB_NAME_DECADENCE_UPRISING;Decadence Uprising;Soulèvement Décadence;Dekadenz Aufstand;;Alzamiento de Decadencia;;;;;;;;;x
CB_NAME_FREE_FAMILY;Liberate Family Members;Libérer les membres de la famille;Liberate Family Members;;Liberate Family Members;;;;;;;;;,
CB_NAME_HELLENIC_LIBERATION;Liberation of [Title.GetBaseName];Libération de [Title.GetBaseName];Liberation of [Title.GetBaseName];;Liberation of [Title.GetBaseName];;;;;;;;;,
