#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#BARONY
barony_of_bulgar;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x;;
barony_of_central_germanic;Burgraviate of;Burgraviat de;Burggrafen von;Burgraviato de;;;;;;;;;;x
barony_of_cuman;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x;;
barony_of_east_slavic;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_finnish;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_iberian;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_iranian;Arg of;Arg de;Arg von;;Arg de;;;;;;;;;x;;
barony_of_jewish_group;Migdal of;Migdal de;Migdal von;;Migdal of;;;;;;;;x;
barony_of_khazar;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x;;
barony_of_lappish;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_mongol;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x;;
barony_of_north_germanic;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_pecheneg;Taishi of;Taishi de;Taishi von;;Taishi de;;;;;;;;;x;;
barony_of_polish;Castellany of;Châtellenie de;Kastellanei von;;Castellanía de;;;;;;;;;;;x
barony_of_saxon;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_somali;Wilayah of;Wilaya de;Wilayah von;;Vilayato de;;;;;;;;;x;;
barony_of_south_slavic;Boyardom of;Boyardome de;Bojartum von;;Boyardomo de;;;;;;;;;x
barony_of_turkish;Timar of;Timar de;Timar von;;Timariot de;;;;;;;;;x;;
barony_of_welsh;Castle of;Château de;Schloss von;;Castillo de;;;;;;;;;x
barony_of_west_african;Horon of;Horon de;Horon von;;Horon de;;;;;;;;;x
temple_barony_of_celtic_pagan;Cysegr of;Cysegr de;Cysegr von;;Cysegr de;;;;;;;;;x
temple_barony_of_celtic_pagan_reformed;Cysegr of;Cysegr de;Cysegr von;;Cysegr de;;;;;;;;;x
temple_barony_of_druze;Khalwat of;Khalwat of;Khalwat of;;Khalwat of;;;;;;;;;x
temple_barony_of_egyptian_pagan;Shrine of;Sanctuaire de;Shrine of;;Shrine of;;;;;;;;;x
temple_barony_of_promethean_pagan;Academy of;Academy of;Academy of;;Academy of;;;;;;;;;x
temple_barony_of_jewish_group;Synagogue of;Synagogue de;Synagogue von;;Synagogue de;;;;;;;;;x;;
temple_barony_of_mandaean;Mandi of;Mandi of;Mandi of;;Mandi of;;;;;;;;x;;
temple_barony_of_manichean;Bishopric of;Bishopric of;Bishopric of;;Bishopric of;;;;;;;;x;;
temple_barony_of_othodox;Eparchy of;Éparchie de;Eparchie von;;Eparquía de;;;;;;;;;x
temple_barony_of_pagan_group;Temple of;Temple de;Tempel von;;Templo de;;;;;;;;;x
temple_barony_of_yazidi;Sheikhdom of;Sheikhdom of;Sheikhdom of;;Sheikhdom of;;;;;;;;x;;
temple_barony_of_zoroastrian;Atashkada of;Atashkada de;Atashkada von;;Atashkada de;;;;;;;;;x
temple_barony_of_zoroastrian;Atashkada of;Atashkada de;Atashkada von;;Atashkada de;;;;;;;;;x;;
temple_barony_zoroastrian;Atashkada;Atashkada;Atashkada;;Atashkada;;;;;;;;;x
#COUNTY
city_county_of_central_germanic;Free City of;Ville Libre de;Freie Reichsstadt von;;Ciudad Libre del Jeque;;;;;;;;;x
city_county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;;;;;;;;x;
city_county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque;;;;;;;;;x
county_of_celtic_pagan;Llwyth of;Llwyth de;Llwyth von;Llwyth de;;;;;;;;;x
county_of_celtic_pagan_reformed;Llwyth of;Llwyth de;Llwyth von;Llwyth de;;;;;;;;;x
county_of_east_slavic;Grand Boyardom of;Grand Boyardome de;Großen Bojardom von;;Gran Boyardomo de;;;;;;;;;x
county_of_english;Earldom of;Earldom de;Earldom von;;Earldom de;;;;;;;;;x
county_of_iranian;Marzpanate of;Marzpanat de;Marzpanat von;;Marzpanate de;;;;;;;;;x;;
county_of_jewish_group;Nafa of;Nafa de;Nafa von;;Nafa of;;;;;;;;x;
county_of_north_germanic;Thanage of;Thanage de;Thanatum von;;Thanago de;;;;;;;;;x
county_of_pictish;Thanage of;Thanage de;Thanatum von;;Thanago de;;;;;;;;;x
county_of_saxon;Shire of;Comté de;Shire von;;Comarca de;;;;;;;;;x
county_of_scottish;Thanage of;Thanage de;Thanatum von;;Thanago de;;;;;;;;;x
county_of_somali;Sheikhdom of;Cheikat de;Scheichtum von;;Dominio del Jeque;;;;;;;;;x;;
county_of_south_slavic;Grand Boyardom of;Grand Boyardome de;Großen Bojartum von;;Gran Boyardomo de;;;;;;;;;x
county_of_turkish;Beylik of;Beylik de;Beylik von;;Beylicato de;;;;;;;;;x;;
county_of_west_african;Kafu of;Kafu de;Kafu von;;Kafu del Jeque de;;;;;;;;;x
temple_county_of_apostolic;Archbishopric of;Archbishopric of;Archbishopric of;;Archbishopric of;;;;;;;;x;;
temple_county_of_druze;Khalwat of;Khalwat of;Khalwat of;;Khalwat of;;;;;;;;;x
temple_county_of_german_pagan;Thiad of;Thiad de;Thiad von;;Thiad de;;;;;;;;;x
