#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_Plus_2351;The Journey of Nerthus;;Die Reise von Nerthus;;;;;;;;;;;x
EVTDESC_Plus_2351;With [nerthus_top_liege.PrimaryTitle.GetName] in a time of peace, [Root.GetTitledName] has declared that the time has come for the Journey of Nerthus. The fertility goddess will travel across the land in a covered chariot, with only [Root.GetTitledFirstNameNoRegnal] permitted to look upon her, her arrival in each hold calling for a time of feasting and celebration. It is one of the most holy of Germanic traditions, a period during which lords are not permitted to engage in war, at least until the goddess tires of her travels and retires to the sacred grove again.;;Da sich [nerthus_top_liege.PrimaryTitle.GetName] in einer Zeit des Friedens befindet, hat [Root.GetTitledName] erklärt, dass die Zeit für die Reise der Nerthus gekommen ist. Die Fruchtbarkeitsgöttin wird in einem überdachten Wagen durch das Land fahren, und nur [Root.GetTitledFirstNameNoRegnal] darf sie sehen, und ihre Ankunft in jedem Laderaum ist Anlass für eine Zeit der Feste und Feierlichkeiten. Es ist eine der heiligsten germanischen Traditionen, eine Zeit, in der es den Herren nicht erlaubt ist, Krieg zu führen, zumindest bis die Göttin ihrer Reisen überdrüssig ist und sich wieder in den heiligen Hain zurückzieht.;;;;;;;;;;;x
EVTOPTA_Plus_2351;We will celebrate with a great feast!;;Das werden wir mit einem großen Fest feiern!;;;;;;;;;;;x
EVTOPTB_Plus_2351;Excellent, I was already planning a feast;;Hervorragend, ich habe bereits ein Festmahl geplant.;;;;;;;;;;;x
EVTOPTC_Plus_2351;The celebrations will be kept to a minimum;;Die Feierlichkeiten werden sich auf ein Minimum beschränken.;;;;;;;;;;;x
EVTOPTD_Plus_2351;Alas, I cannot afford a great feast;;Leider kann ich mir kein großes Festmahl leisten;;;;;;;;;;;x
EVTOPTE_Plus_2351;This will be a joyous time for all;;Dies wird eine freudige Zeit für alle sein;;;;;;;;;;;x
EVTOPTF_Plus_2351;Must we pay homage to a pagan sex goddess?;;Müssen wir einer heidnischen Sexgöttin huldigen?;;;;;;;;;;;x
EVTDESC_Plus_2352;With the feasts throughout [nerthus_top_liege.PrimaryTitle.GetName] now done, and the holy cart having completed its circuit throughout the land, the goddess Nerthus has apparently tired of her communications with mortal men and returned to the sacred grove in Castum. [Root.GetTitledFirstNameNoRegnal] has declared the holy time at an end, with the fields now blessed and many married women now hoping to conceive in this most auspicious period following the journey's close.;;Nachdem die Feste in [nerthus_top_liege.PrimaryTitle.GetName] nun beendet sind und der heilige Wagen seine Runde durch das Land gemacht hat, ist die Göttin Nerthus offenbar ihrer Gespräche mit den Sterblichen überdrüssig geworden und in den heiligen Hain in Castum zurückgekehrt. [Root.GetTitledFirstNameNoRegnal] hat die heilige Zeit für beendet erklärt, da die Felder nun gesegnet sind und viele verheiratete Frauen nun hoffen, in dieser höchst verheißungsvollen Zeit nach dem Ende der Reise schwanger zu werden.;;;;;;;;;;;x
EVTOPTA_Plus_2352;Another journey has ended;;Eine weitere Reise ist zu Ende;;;;;;;;;;;x
EVTOPTB_Plus_2352;It's over? What a relief;;Ist sie vorbei? Was für eine Erleichterung;;;;;;;;;;;x
EVTDESC_Plus_2353;With the journey ended, you alone see to the purification of the holy cart used to convey the 'goddess'. It is carefully washed by slaves, who are then thrown into the lake and drowned--grateful for the honor they have been granted.;;"Nach dem Ende der Reise kümmerst du dich allein um die Reinigung des heiligen Wagens, auf dem die ""Göttin"" transportiert wird. Er wird sorgfältig von Sklaven gewaschen, die dann in den See geworfen und ertränkt werden - aus Dankbarkeit für die ihnen zuteil gewordene Ehre.";;;;;;;;;;;x
EVTOPTA_Plus_2353;Until the next journey begins;;Bis die nächste Reise beginnt;;;;;;;;;;;x
EVTDESC_Plus_2354;The Journey of Nerthus has begun, and you hear many tales of fertility rites her priests can perform. Considering you are childless, perhaps it is worth seeking out the goddess's blessing upon your womb, dangerous as you hear those rites can be...;;Die Reise von Nerthus hat begonnen, und du hörst viele Geschichten über Fruchtbarkeitsriten, die ihre Priester durchführen können. Wenn man bedenkt, dass man kinderlos ist, lohnt es sich vielleicht, den Segen der Göttin für den eigenen Schoß zu erbitten, so gefährlich diese Riten auch sein mögen...;;;;;;;;;;;x
EVTOPTA_Plus_2354;Perhaps Nerthus can help with my...problem;;Vielleicht kann Nerthus mir bei meinem... Problem helfen.;;;;;;;;;;;x
EVTOPTB_Plus_2354;There is nothing wrong with me!;;Es ist alles in Ordnung mit mir!;;;;;;;;;;;x
EVTNAME_Plus_2356;Irminsul Reborn;;Die wiedergeborene Irminsul;;;;;;;;;;;x
EVTDESC_Plus_2356;At no small expense, a new world tree has been planted in the sacred woods outside of Paderborn -- not far from the location where the previous Irminsul was destroyed. There have been months of careful rites performed, the ground consecrated with the blood of many slaves, and it has been determined that this time it will not be so easy for the tree to be violated as it was previously. A great wrong to the Germanic faith has now been undone.;;Mit großem Aufwand wurde in den heiligen Wäldern außerhalb Paderborns ein neuer Weltenbaum gepflanzt - nicht weit von der Stelle, an der die vorherige Irminsul zerstört wurde. Monatelang wurden sorgfältige Rituale durchgeführt, der Boden mit dem Blut vieler Sklaven geweiht, und es wurde beschlossen, dass der Baum dieses Mal nicht mehr so leicht geschändet werden kann wie zuvor. Ein großes Unrecht am germanischen Glauben ist nun ungeschehen gemacht worden.;;;;;;;;;;;x
EVTOPTA_Plus_2356;Let the world tree grow large and strong;;Möge der Weltenbaum groß und stark werden;;;;;;;;;;;x
