#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
BM_ALEXIOS;Alexios Komnenos of Trebizond;Alexios Komnenos de Trébizonde;Alexios Komnenos von Trebizond;;Alexios Komnenos de Trebisonda;;;;;;;;;x
BM_ALEXIOS_DESC;Alexios Komnenos, one of the last remaining members of the Komnenos dynasty, now reigns in his majority in Trebizond. Alexios shares the determination and skill common in his family, and has managed not only to hold Trebizond together in the face of Muslim aggression, but to expand his territory and crown himself Despot. He has not forgotten his claim to the Byzantine Empire, nor has he forgotten his dynasty's golden age upon the throne, lost now to Imperial incompetence and the shameful Fourth Crusade… but perhaps not lost forever. Now is the time for the Komnenoi to reclaim their titles, their honor, their birthright. Now is the time for the return of the rightful Emperors!;Alexios Komnenos, one of the last remaining members of the Komnenos dynasty, now reigns in his majority in Trebizond. Alexios shares the determination and skill common in his family, and has managed not only to hold Trebizond together in the face of Muslim aggression, but to expand his territory and crown himself Despot. He has not forgotten his claim to the Byzantine Empire, nor has he forgotten his dynasty's golden age upon the throne, lost now to Imperial incompetence and the shameful Fourth Crusade… but perhaps not lost forever. Now is the time for the Komnenoi to reclaim their titles, their honor, their birthright. Now is the time for the return of the rightful Emperors!;Alexios Komnenos, eines der letzten verbliebenen Mitglieder der Komnenos-Dynastie, regiert heute in seiner Mehrheit in Trebizond. Alexios teilt die Entschlossenheit und das Geschick seiner Familie und hat es geschafft, Trebizond angesichts der muslimischen Aggression nicht nur zusammenzuhalten, sondern auch sein Territorium zu erweitern und sich selbst zum Despoten zu krönen. Er hat seinen Anspruch auf das Byzantinische Reich nicht vergessen, ebenso wenig wie das goldene Zeitalter seiner Dynastie auf dem Thron, das nun durch kaiserliche Inkompetenz und den schändlichen Vierten Kreuzzug verloren gegangen ist... aber vielleicht nicht für immer. Jetzt ist es an der Zeit, dass die Komnenoi ihre Titel, ihre Ehre, ihr Geburtsrecht zurückfordern. Jetzt ist die Zeit für die Rückkehr der rechtmäßigen Kaiser!;;Alexios Komnenos, uno de los últimos miembros de la dinastía Komneno, reina ahora en su mayoría de edad en Trebisonda. Alexios tiene la determinación y habilidad proveniente de su familia, y ha logrado no solo mantener Trebisonda unida frente a la agresión Musulmana, sino también expander su territorio y coronarse a sí mismo como Déspota. No ha olvidado su derecho hereditario al imperio Bizantino, ni tampoco la era de oro de su dinastía, perdida ahora en su incompetencia y la verguenza de la Cuarta Cruzada... pero tal vez, no todo está perdido para siempre. Ahora es el momento para el Komnenoi de reclamar sus títulos, el honor y la gloria. Ahora es el momento del retorno de los verdaderos Emperadores!;;;;;;;;;x
BM_ALMORAVID;Islam in Retreat;L'islam en retraite;Der Islam auf dem Rückzug;;El Islam en Retirada;;;;;;;;;x
BM_ALMORAVID_DESC;The ascension of a young boy to the throne of the Almoravid Sultanate in the west has caused a domino effect of rebellions in its Iberian territories, while the Seljuk Sultanate's decadent collapse, accelerated by the Kingdom of Jerusalem battering at its borders, weakens Islam's unity in the east. Now is the time, servants of Christendom, to take up joyous arms in the name of Christ!;The ascension of a young boy to the throne of the Almoravid Sultanate in the west has caused a domino effect of rebellions in its Iberian territories, while the Seljuk Sultanate's decadent collapse, accelerated by the Kingdom of Jerusalem battering at its borders, weakens Islam's unity in the east. Now is the time, servants of Christendom, to take up joyous arms in the name of Christ!;Der Aufstieg eines Jungen auf den Thron des Almoraviden-Sultanats im Westen hat einen Dominoeffekt von Rebellionen in seinen iberischen Gebieten ausgelöst, während der dekadente Zusammenbruch des Seldschuken-Sultanats, beschleunigt durch das an seine Grenzen stoßende Königreich Jerusalem, die Einheit des Islam im Osten schwächt. Jetzt ist es an der Zeit, Diener der Christenheit, im Namen Christi freudig zu den Waffen zu greifen!;;La llegada de un joven chico al trono del Sultanato Almoravida en el oeste ha causado un efecto dominó de rebeliones en sus territorios Ibéricos, mientras el Sultanato Seleúcida en decadencia colapsa, acelerado por el Reino de Jerusalem atacando sus fronteras, debilita la unidad Islámica en el este. Ahora es el momento, sirvientes de la Cristianidad, de tomar las armas en el nombre de Cristo!;;;;;;;;;x
BM_ANARCHY;The Anarchy;L'anarchie;Die Anarchie;;La Anarqúia;;;;;;;;;x
BM_ANARCHY_DESC;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter's place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Foulque of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;The Anarchy was a period of early English history in which the dynasty of the Norman conqueror William broke down and was replaced by the cadet house of Plantagenet. It began when the second Norman King of England, Henry I, died without legitimate issue. Although Henry attempted to place his daughter Matilda on the throne, the lords of England would not have it. In his daughter's place, a male descendent of William through the female line, Stephen de Blois, was declared king. Support for Stephen was not absolute, however, and there were many loyalists who sided with Matilda in the succession. Matilda herself was married to the first son of King Foulque of Jerusalem, Geoffrey of Anjou, later to be known as Geoffrey Plantagenet. Geoffrey has managed to conquer Normandy in her name, and the succession crisis between the powerful vassal and the weak King Stephen of England appears to be inevitable.;Die Anarchie war eine Periode der frühen englischen Geschichte, in der die Dynastie des normannischen Eroberers Wilhelm zerbrach und durch das Kadettenhaus der Plantagenets ersetzt wurde. Sie begann, als der zweite normannische König von England, Heinrich I., ohne legitime Nachkommen starb. Obwohl Heinrich versuchte, seine Tochter Mathilde auf den Thron zu setzen, wollten die englischen Lords dies nicht zulassen. Anstelle seiner Tochter wurde ein männlicher Nachkomme Wilhelms aus der weiblichen Linie, Stephen de Blois, zum König erklärt. Die Unterstützung für Stephen war jedoch nicht absolut, und es gab viele Loyalisten, die sich bei der Thronfolge auf die Seite Mathildes stellten. Mathilde selbst war mit dem ersten Sohn von König Foulque von Jerusalem, Geoffrey von Anjou, verheiratet, der später als Geoffrey Plantagenet bekannt wurde. Geoffrey ist es gelungen, in ihrem Namen die Normandie zu erobern, und die Nachfolgekrise zwischen dem mächtigen Vasallen und dem schwachen König Stephan von England scheint unausweichlich zu sein.;;La Anarquía fue un período de la temprana historia inglesa en donde la dinastía de Guillermo el Conquistador cayó y fue reemplazada por la rama de la casa Plantagenet. Empezó cuando el segundo Rey Normando Enrique I murió sin descendiente legítimo. Aunque Enrique intentó dejar a su hija Matilda en el trono, los señores de Inglaterra lo impidieron. En lugar de su hija, un descendiente masculino de Guillermo, Esteban de Blois, fue declarado rey. El apoyo a Esteban no fue absoluto y hubo muchos leales a Matilda en la sucesión. Matilda estaba casada con el primogénito del Rey Foulque de Jerusalén, Geoffrey de Anjou, más tarde conocido como Geoffrey Plantagenet, en honor a una flor plantagenet que utilizaba como decoración en su sombrero. Geoffrey se las ingenió para conquistar Normandía en el nombre de su esposa, y la crisis sucesoria entre el poderoso vasallo y el débil rey Esteban de Inglaterra parece inevitable.;;;;;;;;;x
BM_ANTIOCH;The First Crusade;La première Croisade;Der erste Kreuzzug;;La Primer Cruzada;;;;;;;;;x
BM_ANTIOCH_DESC;In the aftermath of the First Crusade, the Levant is a broken land. In the north, the Principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Thoros, the Orthodox Duke of Armenia Minor, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;In the aftermath of the First Crusade, the Levant is a broken land. In the north, the Principalities of Antioch and Edessa vie for superiority, both against the Muslims and each other. The Prince of Antioch, Bohemond, is in constant contention with Thoros, the Orthodox Duke of Armenia Minor, whose lands he has usurped. To the south, the infant Kingdom of Jerusalem is balanced against the weakened Fatimid Caliphate, the large Emirate of Damascus, and myriad minor sheikhs dividing it from the Princes to the north. Can the Catholics hold out long enough to unify, or must another Crusade be called to secure a Catholic Holy Land?;Nach dem Ersten Kreuzzug ist die Levante ein zerrissenes Land. Im Norden kämpfen die Fürstentümer Antiochia und Edessa um die Vorherrschaft, sowohl gegen die Muslime als auch gegeneinander. Der Fürst von Antiochia, Bohemond, befindet sich in ständigem Streit mit Thoros, dem orthodoxen Herzog von Klein-Armenien, dessen Ländereien er an sich gerissen hat. Im Süden befindet sich das junge Königreich Jerusalem im Gleichgewicht mit dem geschwächten Fatimidenkalifat, dem großen Emirat von Damaskus und unzähligen kleineren Scheichs, die es von den Fürsten im Norden trennen. Können die Katholiken lange genug durchhalten, um sich zu vereinigen, oder muss ein weiterer Kreuzzug ausgerufen werden, um ein katholisches Heiliges Land zu sichern?;; Luego de la primer Cruzada, el Levante se encuentra roto y dividido. En el norte, los Principados de Antioquía y Edessa luchan por la superioridad, ambos en contra de los Musulmanes y también entre ellos. El Príncipe de Antioquiía, Bohemond, se encuentra luchando contra Thoros, el Duque Ortodoxo de la Armenia Menor, cuyas tierra usurpó. Hacia el sur, el nuevo Reino de Jerusalén se enfrenta al debilitado Califato Fatimí, el gran Emirato de Damasco y contra reyezuelos menores musulmanes que lo dividen de los Príncipes del norte. Podrán los católicos aguantar lo suficiente para poder unificarse o debe otra Cruzada ser llamada para asegurar la Tierra Santa? ;;;;;;;;;x
BM_ANUSHTIGINID;The Seljuk Successors;Les successeurs Seldjouk;Die Seldschuken als Nachfolger;;Los Sucesores Seléucidas;;;;;;;;;x
BM_ANUSHTIGINID_DESC;The Anushtiginid Sultanate has finally restored a degree of order to Persia by uniting it in as complete a political union as the land has seen since the collapse of the Seljuk Sultanate over 50 years before. Despite great success, the path to glory is not certain for the Anushtiginids. Discontented vassals, and curious rumors of riders to the east are enough to keep any wise Sultan awake through the long nights.;The Anushtiginid Sultanate has finally restored a degree of order to Persia by uniting it in as complete a political union as the land has seen since the collapse of the Seljuk Sultanate over 50 years before. Despite great success, the path to glory is not certain for the Anushtiginids. Discontented vassals, and curious rumors of riders to the east are enough to keep any wise Sultan awake through the long nights.;Das Sultanat der Anuschtiginiden hat endlich ein gewisses Maß an Ordnung in Persien wiederhergestellt, indem es das Land in einer so vollständigen politischen Union vereint hat, wie es das Land seit dem Zusammenbruch des Seldschuken-Sultanats vor über 50 Jahren nicht mehr gesehen hat. Trotz des großen Erfolgs ist der Weg zum Ruhm für die Anuschtiginiden nicht sicher. Unzufriedene Vasallen und neugierige Gerüchte über Reiter aus dem Osten reichen aus, um jeden weisen Sultan in den langen Nächten wach zu halten.;;El Sultanato Anushtiginida finalmente ha restaurado cierto nivel de orden en Persia mediante la unificación política de las tierras desde la caída y colapso del Sultanato Seleúcida 50 años atrás. Más alla del éxito, el camino hacia la gloria no está seguro. Vasallos descontentos y curiosos rumores the jinetes hacia el este son suficientes para mantener al sabio Sultan despierto en las noches.;;;;;;;;;x
BM_ARWA;The Little Queen of Sheba;La petite reine de Saba;Die kleine Königin von Saba;;La pequeña reina de Sheba;;;;;;;;;x
