#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
b_aberdaron_fic;Aberdaron;;;;;;;;;;;;x
b_aberdaron_fic_adj;Aberdaron;;;;;;;;;;;;x
b_acquapendente_fic;Acquapendente;;;;;;;;;;;;x
b_acquapendente_fic_adj;Acquapendente;;;;;;;;;;;;x
b_altilia_fic;Altilia;;;;;;;;;;;;x
b_altilia_fic_adj;Altilia;;;;;;;;;;;;x
b_araux_fic;Araux;;;;;;;;;;;;x
b_araux_fic_adj;Araux;;;;;;;;;;;;x
b_asnan_fic;Asnan;;;;;;;;;;;;x
b_asnan_fic_adj;Asnan;;;;;;;;;;;;x
b_asperjoc_fic;Asperjoc;;;;;;;;;;;;x
b_asperjoc_fic_adj;Asperjoc;;;;;;;;;;;;x
b_aspres_fic;Aspres;;;;;;;;;;;;x
b_aspres_fic_adj;Aspres;;;;;;;;;;;;x
b_ax_fic;Ax;;;;;;;;;;;;x
b_ax_fic_adj;Ax;;;;;;;;;;;;x
b_baubigny_fic;Baubigny;;;;;;;;;;;;x
b_baubigny_fic_adj;Baubigny;;;;;;;;;;;;x
b_bauzac_fic;Bauzac;;;;;;;;;;;;x
b_bauzac_fic_adj;Bauzac;;;;;;;;;;;;x
b_bethesda_fic;Bethesda;;;;;;;;;;;;x
b_bethesda_fic_adj;Bethesda;;;;;;;;;;;;x
b_bertiolo_fic;Bertiolo;;;;;;;;;;;;x
b_bertiolo_fic_adj;Bertiolo;;;;;;;;;;;;x
b_biermont_fic;Biermont;;;;;;;;;;;;x
b_biermont_fic_adj;Biermont;;;;;;;;;;;;x
b_blaufelden_fic;Blaufelden;;;;;;;;;;;;x
b_blaufelden_fic_adj;Blaufelden;;;;;;;;;;;;x
b_bonaduz_fic;Bonaduz;;;;;;;;;;;;x
b_bonaduz_fic_adj;Bonaduz;;;;;;;;;;;;x
b_bonas_fic;Bonas;;;;;;;;;;;;x
b_bonas_fic_adj;Bonas;;;;;;;;;;;;x
b_bonigen_fic;Bonigen;;;;;;;;;;;;x
b_bonigen_fic_adj;Bonigen;;;;;;;;;;;;x
b_boofzheim_fic;Boofzheim;;;;;;;;;;;;x
b_boofzheim_fic_adj;Boofzheim;;;;;;;;;;;;x
b_bouverans_fic;Bouverans;;;;;;;;;;;;x
b_bouverans_fic_adj;Bouverans;;;;;;;;;;;;x
b_brenets_fic;Brenets;;;;;;;;;;;;x
b_brenets_fic_adj;Brenets;;;;;;;;;;;;x
b_bretigney_fic;Bretigney;;;;;;;;;;;;x
b_bretigney_fic_adj;Bretigney;;;;;;;;;;;;x
b_butschwil_fic;Butschwil;;;;;;;;;;;;x
b_butschwil_fic_adj;Butschwil;;;;;;;;;;;;x
b_campans_fic;Campans;;;;;;;;;;;;x
b_campans_fic_adj;Campans;;;;;;;;;;;;x
b_carcare_fic;Carcare;;;;;;;;;;;;x
b_carcare_fic_adj;Carcare;;;;;;;;;;;;x
b_champillon_fic;Champillon;;;;;;;;;;;;x
b_champillon_fic_adj;Champillon;;;;;;;;;;;;x
b_change_fic;Changé;;;;;;;;;;;;x
b_change_fic_adj;Changé;;;;;;;;;;;;x
b_cimolais_fic;Cimolais;;;;;;;;;;;;x
b_cimolais_fic_adj;Cimolais;;;;;;;;;;;;x
b_colwyn_fic;Colwyn;;;;;;;;;;;;x
b_colwyn_fic_adj;Colwyn;;;;;;;;;;;;x
b_cornedo_fic;Cornedo;;;;;;;;;;;;x
b_cornedo_fic_adj;Cornedo;;;;;;;;;;;;x
b_dogna_fic;Dogna;;;;;;;;;;;;x
b_dogna_fic_adj;Dogna;;;;;;;;;;;;x
b_entrammes_fic;Entrammes;;;;;;;;;;;;x
b_entrammes_fic_adj;Entrammes;;;;;;;;;;;;x
b_fourches_fic;Fourches;;;;;;;;;;;;x
b_fourches_fic_adj;Fourches;;;;;;;;;;;;x
b_fourneville_fic;Fourneville;;;;;;;;;;;;x
b_fourneville_fic_adj;Fourneville;;;;;;;;;;;;x
b_fubine_fic;Fubine;;;;;;;;;;;;x
b_fubine_fic_adj;Fubine;;;;;;;;;;;;x
b_galeria_fic;Galeria;;;;;;;;;;;;x
b_galeria_fic_adj;Galeria;;;;;;;;;;;;x
b_geiering_fic;Geiering;;;;;;;;;;;;x
b_geiering_fic_adj;Geiering;;;;;;;;;;;;x
b_glaubendorf_fic;Glaubendorf;;;;;;;;;;;;x
b_glaubendorf_fic_adj;Glaubendorf;;;;;;;;;;;;x
b_herrin_fic;Herrin;;;;;;;;;;;;x
b_herrin_fic_adj;Herrin;;;;;;;;;;;;x
b_herzdorf_fic;Herzdorf;;;;;;;;;;;;x
b_herzdorf_fic_adj;Herzdorf;;;;;;;;;;;;x
b_hesselbronn_fic;Hesselbronn;;;;;;;;;;;;x
b_hesselbronn_fic_adj;Hesselbronn;;;;;;;;;;;;x
b_ijpelaarseind_fic;Ijpelaarseind;;;;;;;;;;;;x
b_ijpelaarseind_fic_adj;Ijpelaarseind;;;;;;;;;;;;x
b_jameysieu_fic;Jameysieu;;;;;;;;;;;;x
b_jameysieu_fic_adj;Jameysieu;;;;;;;;;;;;x
b_juf_fic;Juf;;;;;;;;;;;;x
b_juf_fic_adj;Juf;;;;;;;;;;;;;x
b_junne_fic;Junne;;;;;;;;;;;;x
b_junne_fic_adj;Junne;;;;;;;;;;;;x
b_korbersdorf_fic;Korbersdorf;;;;;;;;;;;;x
b_korbersdorf_fic_adj;Korbersdorf;;;;;;;;;;;;x
b_lardeyrol_fic;Lardeyrol;;;;;;;;;;;;x
b_lardeyrol_fic_adj;Lardeyrol;;;;;;;;;;;;x
b_lavorgo_fic;Lavorgo;;;;;;;;;;;;x
b_lavorgo_fic_adj;Lavorgo;;;;;;;;;;;;x
b_lemmolle_fic;Lemmolle;;;;;;;;;;;;x
b_lemmolle_fic_adj;Lemmolle;;;;;;;;;;;;x
b_leuy_fic;Leuy;;;;;;;;;;;;x
b_leuy_fic_adj;Leuy;;;;;;;;;;;;x
b_leymuiden_fic;Leymuiden;;;;;;;;;;;;x
b_leymuiden_fic_adj;Leymuiden;;;;;;;;;;;;x
b_malouy_fic;Malouy;;;;;;;;;;;;x
b_malouy_fic_adj;Malouy;;;;;;;;;;;;x
b_marckolsheim_fic;Marckolsheim;;;;;;;;;;;;x
b_marckolsheim_fic_adj;Marckolsheim;;;;;;;;;;;;x
b_melck_fic;Melck;;;;;;;;;;;;x
b_melck_fic_adj;Melck;;;;;;;;;;;;x
b_monneville_fic;Monneville;;;;;;;;;;;;x
b_monneville_fic_adj;Monneville;;;;;;;;;;;;x
b_montazzolo_fic;Montazzolo;;;;;;;;;;;;x
b_montazzolo_fic_adj;Montazzolo;;;;;;;;;;;;x
b_montcoy_fic;Montcoy;;;;;;;;;;;;x
b_montcoy_fic_adj;Montcoy;;;;;;;;;;;;x
b_moutiers_fic;Moutiers;;;;;;;;;;;;x
b_moutiers_fic_adj;Moutiers;;;;;;;;;;;;x
b_murten_fic;Murten;;;;;;;;;;;;x
b_murten_fic_adj;Murten;;;;;;;;;;;;x
b_muttenz_fic;Muttenz;;;;;;;;;;;;x
b_muttenz_fic_adj;Muttenz;;;;;;;;;;;;x
b_navicello_fic;Navicello;;;;;;;;;;;;x
b_navicello_fic_adj;Navicello;;;;;;;;;;;;x
b_neussargues_fic;Neussargues;;;;;;;;;;;;x
b_neussargues_fic_adj;Neussargues;;;;;;;;;;;;x
b_nijeholtwolde_fic;Nijeholtwolde;;;;;;;;;;;;x
b_nijeholtwolde_fic_adj;Nijeholtwolde;;;;;;;;;;;;x
