#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
title_aedile;Aedile;Édile;Ädil;;Edil;;;;;;;;;;;
title_aedile_desc;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;Les édiles sont responsable de la maintenance des bastiments publics et de la règlementation des festivals publics.;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;;;;;;;;;
title_ashavan;Ashavan;Ashavan;Ashavan;;Ashavan;;;;;;;;;x
title_ashavan_desc;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;Le proclamer publiquement comme étant Le Vertueux - l'homme qui suit le chemin d'Asha.;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;;;;;;;;;x
title_astrologer;Court Astrologer;Astrologue de la cour;Court Astrologer;;Astrólogo de la Corte;;;;;;;;;x
title_astrologer_desc;The reader of stars. He advises the ruler with decisions.;L'augure des étoiles. Il aide le dirigeant à prendre ses décisions.;The reader of stars, helps to make tough decision;;Aquel que lee las estrellas, ayudando con las decisiones más difíciles;;;;;;;;;x
title_bogomilist_advisor;Stroinik;Stroinik;Stroinik;;Stroinik;;;;;;;;;x
title_bogomilist_advisor_female;Stroinitsa;Stroinitsa;Stroinitsa;;Stroinitsa;;;;;;;;;x
title_chalcedonian_cardinal;Cardinal;Cardinal;Cardinal;;Cardenal;;;;;;;;;x
title_cathar_deacon;Deacon;Deacon;Deacon;;Diácono;;;;;;;;;x
title_cathar_deacon_female;Deaconess;Deaconess;Deaconess;;Diaconisa;;;;;;;;;x
title_censor;Censor;Censeur;Censur;;Censor;;;;;;;;;;;
title_censor_desc;The Censor is responsible for taking the census of the realm. While the office was originally instituted for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;Le Censeur est responsable du recensement de la population du royaume. Bien ce rosle ait été prévu initialement pour une mission fiscale, la principale besogne du Censeur est de surveiller la moralité public et de recommander des candidats convenables pour des fonctions publiques.;The Censor is responsible for taking the census of the realm. While the office was originally instituded for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;;El Censor se encarga de realizar el censo del reino. Aunque la oficina fue instituida originálmente con propósitos fiscales, la tarea más importante del censor es la de supervisar la moral pública y recomendar candidatos adecuados para las oficinas públicas.;;;;;;;;;
title_court_bard;Bard;Barde;Bard;;Bardo;;;;;;;;;x
