#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;;;;;;;;;x
LOADING_TIP_1;Changing out of Elective, Elective Gavelkind, or Tanistry succession requires the approval of the Electors.;Sortir de la monarchie éléctive nécessite l'approbation des électeurs.;Ändern von von Wahlfacherbgesetz erfordert die Zustimmung der Kurfürsten.;;Changing out of Elective succession requires the approval of the Electors.;;;;;;;;;x
LOADING_TIP_2;Right-clicking portraits brings up a quick menu.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Rechtsklicks auf Portraits rufen ein Schnellmenü auf.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;Right-click your own holdings to raise troops or create a new vassal.;Faites un clic droit sur vos propriétés pour lever des troupes ou créer un nouveau vassal.;Rechtsklicks auf Eure eigenen Besitztümer ermöglichen das Ausheben von Truppen oder die Erstellung eines neuen Vasallen.;;Haz clic derecho en tus propiedades para reclutar las tropas o crear nuevo vasallo.;;;;;;;;;x
LOADING_TIP_4;In a matrilineal marriage, children are born to their mother's dynasty.;Dans le cadre d’un mariage matrilinéaire, les enfants appartiennent à la dynastie de la mère.;Die in einer matrilinearen Ehe geborenen Kinder gehören der Dynastie der Mutter an.;;En un matrimonio matrilineal, los niños nacen en la dinastía de la madre.;;;;;;;;;x
LOADING_TIP_5;Illegitimate bastards cannot pass your dynasty on.;Les enfants illégitimes n’appartiennent point à votre dynastie.;Uneheliche Bastarde können Eure Dynastie nicht weiterführen.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;The second and third in line to the throne are called pretenders, and are likely to cause trouble.;Le deuxiesme et le troisiesme de la ligne de succession au trosne sont des prétendants et vous poseront sans doute des problesmes.;Die Nummer zwei und drei in der Erbfolge werden Thronanwärter genannt und sorgen sehr wahrscheinlich für Schwierigkeiten.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;Vassals who dislike you will not provide you with their full troop levies.;S'ils ne vous apprécient point, vos vassaulx ne mettront point à votre disposition l’intégralité de leurs troupes.;Vasallen, die Euch nicht mögen, werden Euch nicht ihre vollen Wehrpflichtigenkontingente zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;You need a reason to declare war. Choose your casus belli wisely.;Pour déclarer la guerre, vous devez avoir une raison. Choisissez judicieusement votre casus belli.;Für eine Kriegserklärung benötigt Ihr einen Kriegsgrund. Wählt ihn weise aus.;;Necesitas un motivo para declarar la guerra. Elige bien tu casus belli.;;;;;;;;;x
LOADING_TIP_9;Crown Laws affect even those rulers who are not de facto part of the kingdom.;Les lois de la couronne affectent également les souverains qui ne font point, de facto, partie du royaume.;Krongesetze betreffen sogar jene Herrscher, die de facto nicht zum Reich gehören.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_10;The Pope can grant powerful boons to good Catholics.;Le pape peut accorder de puissants avantages aulx bons catholiques.;Der Papst kann guten Katholiken enorme Vorteile verschaffen.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
LOADING_TIP_11;Mercenaries are professional soldiers and can win wars for you - just make sure they get paid!;Les mercenaires sont des soldats professionnels capables de remporter des guerres pour votre compte. Mais n’oubliez point de les payer !;Söldner sind Berufssoldaten und können Kriege für Euch gewinnen - so lange Ihr sie anständig bezahlt!;;Los mercenarios son soldados profesionales, pueden ganar guerras por ti. ¡Solo tienes que asegurarte de que paguen!;;;;;;;;;x
LOADING_TIP_12;Holy orders will not fight their brothers of the faith. Be careful when using them in battle!;Les ordres sacrés ne guerroieront point contre leurs frères de la mesme religion. Faites donc bien attention lorsque vous recourrez à eulx au combat !;Glaubensorden kämpfen nicht gegen ihre Glaubensbrüder. Passt auf, wenn Ihr sie in der Schlacht einsetzt!;;Las Santas Hermandades no lucharán contra hermanos de fe. ¡Ten precaución al usarlas en la batalla!;;;;;;;;;x
