#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTOPTA_Plus_630;We shall all be Sicilian;;Wir werden alle Sizilianer sein;;;x
EVTOPTB_Plus_630;No, I wish to remain [Root.Culture.GetName];;Nein, ich möchte [Root.Culture.GetName] bleiben;;;x
EVTOPTA_Plus_635;We shall all be Anglo-Norse;;Wir sollen alle Anglo-Norse sein;;;x
EVTOPTA_Plus_640;We shall all be Outremer;;Wir sollen alle Outremer sein;;;x
EVTOPTA_Plus_645;We shall all be Latin;;Wir sollen alle Lateiner sein;;;x
EVTOPTA_Plus_650;We shall all be Gallawa;;Wir sollen alle Gallawa sein;;;x
EVTOPTA_Plus_655;We shall all be Russian;;Wir sollen alle Russisch sein;;;x
EVTOPTA_Plus_660;We shall all be Norman;;Wir sollen alle Normannen sein;;;x
EVTDESC_Plus_670;For as long as we have ruled here in [Root.Capital.GetName], we have entrusted the raising of our children to local nursemaids. Our first words would not be [Root.Culture.GetName] but [melting_pot_province.Culture.GetName]. As we grew up, we learned to speak a tongue that was neither one nor the other but a syncretic mix of the two. Perhaps it is time to embrace this new tongue so we all may communicate.;;Solange wir hier in [Root.Capital.GetName] regiert haben, haben wir die Erziehung unserer Kinder den örtlichen Kindermädchen anvertraut. Unsere ersten Worte waren nicht [Root.Culture.GetName], sondern [melting_pot_province.Culture.GetName]. Als wir aufwuchsen, lernten wir eine Sprache zu sprechen, die weder das eine noch das andere war, sondern eine synkretistische Mischung aus beiden. Vielleicht ist es an der Zeit, sich diese neue Sprache zu eigen zu machen, damit wir alle miteinander kommunizieren können.;;;x
EVTDESC_Plus_671;It seems that this new [new_culture.Culture.GetName] language has now spread into [Root.GetName], a new culture born from a mix of the old.;;Es scheint, dass sich diese neue [new_culture.Culture.GetName] Sprache nun in [Root.GetName] verbreitet hat, eine neue Kultur, die aus einer Mischung der alten entstanden ist.;;;x
EVTDESC_Plus_672;Although many dislike change, this new [Root.Culture.GetName] language does have a certain functionality that cannot be denied. I have therefore prevailed upon a member of my court to adopt this for everyday administrative use.;;Obwohl viele Veränderungen nicht mögen, hat diese neue [Root.Culture.GetName]-Sprache eine gewisse Funktionalität, die man nicht leugnen kann. Ich habe daher ein Mitglied meines Hofes überredet, diese Sprache für den täglichen Verwaltungsgebrauch zu übernehmen.;;;x
