#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
changeling_child_acts_strange;[From.GetFirstName]'s behavior concerns you sometimes.;;Das Verhalten von [From.GetFirstName] macht Ihnen manchmal Sorgen.;;;;;;;;;;;x
EVTDESCA_Plus_806;It is the dead of night when a sudden chill comes upon you. You open your eyes and sit up only to see [From.GetFirstName] standing at the foot of your bed staring at you in complete silence. After rubbing the sleep out of your eyes, you look again and now there is no sign of the child.;;Es ist mitten in der Nacht, als dich ein plötzliches Frösteln überkommt. Du öffnest die Augen und setzt dich auf, nur um zu sehen, dass [From.GetFirstName] am Fußende deines Bettes steht und dich in völliger Stille anstarrt. Nachdem du dir den Schlaf aus den Augen gerieben hast, schaust du noch einmal nach, und jetzt ist keine Spur von dem Kind zu sehen.;;;;;;;;;;;x
EVTDESCB_Plus_806;[From.GetFirstName] is sitting on the floor, playing with [From.GetHerHis] toys when something dark suddenly seems to come over the child. While spasming wildly, [From.GetFirstName] cries out in a tongue foreign to you and looks wildly about, looking for shelter from.. something.;;[From.GetFirstName] sitzt auf dem Boden und spielt mit [From.GetHerHis] Spielzeug, als plötzlich etwas Dunkles über das Kind zu kommen scheint. Während es sich wild windet, schreit [From.GetFirstName] in einer Sprache, die dir fremd ist, und sieht sich wild um, auf der Suche nach Schutz vor... etwas.;;;;;;;;;;;x
EVTDESCC_Plus_806;An inhuman wail interrupts your sleep, and you hurry outside with your sword. On the ground in front of the castle you find [From.GetFirstName] running around in circles around a burning fire.;;Ein unmenschlicher Schrei unterbricht Euren Schlaf, und Ihr eilt mit Eurem Schwert nach draußen. Auf dem Boden vor der Burg findet ihr [From.GetFirstName], der im Kreis um ein brennendes Feuer herumläuft.;;;;;;;;;;;x
EVTOPTA_Plus_806;Was it a dream?;;War das ein Traum?;;;;;;;;;;;x
EVTOPTB_Plus_806;That can't be a good sign...;;Das kann kein gutes Zeichen sein...;;;;;;;;;;;x
EVTOPTC_Plus_806;[This.Religion.GetRandomGodNameCap] help me...;;[This.Religion.GetRandomGodNameCap] helft mir...;;;;;;;;;;;x
EVTDESCA_Plus_809;The corpse of [changeling_victim.GetTitledName] was discovered today at the bottom of a steep ravine with a broken neck. It seems to have been a tragic accident ordained by the gods, but strangely, [From.GetFirstName] was seen standing next to the ravine, peering down into it just before the tragedy was revealed.;;Die Leiche von [changeling_victim.GetTitledName] wurde heute am Fuße einer steilen Schlucht mit gebrochenem Genick entdeckt. Es scheint sich um einen tragischen Unfall zu handeln, der von den Göttern bestimmt wurde, aber seltsamerweise wurde [From.GetFirstName] gesehen, wie er neben der Schlucht stand und in sie hinabblickte, kurz bevor die Tragödie enthüllt wurde.;;;;;;;;;;;x
EVTDESCB_Plus_809;[changeling_victim.GetTitledName] was found impaled on a wooden fence just outside your courtyard this morning. You can only deduce that [changeling_victim.GetSheHe] fell on the fence from the roof of your stable, though what business [changeling_victim.GetSheHe] had up there you cannot fathom. Poor [From.GetFirstName] was the first one to lay eyes on the gruesome scene...;;[changeling_victim.GetTitledName] wurde heute Morgen aufgespießt an einem Holzzaun direkt vor Eurem Hof gefunden. Ihr könnt nur vermuten, dass [changeling_victim.GetSheHe] vom Dach Eures Stalls auf den Zaun gefallen ist, obwohl Ihr nicht ergründen könnt, was [changeling_victim.GetSheHe] dort oben zu suchen hatte. Der arme [From.GetFirstName] war der erste, der die grausige Szene zu Gesicht bekam...;;;;;;;;;;;x
EVTDESCC_Plus_809;[changeling_victim.GetTitledName] was found stuffed head first into a barrel full of rain water this morning, with only [changeling_victim.GetHerHis] pale, rigid legs visible above the surface. Your guards speculate that [changeling_victim.GetSheHe] tripped, somehow fell into the barrel and then tragically drowned. [From.GetFirstName] was found playing just nearby, but doesn't seem to have seen anything.;;[changeling_victim.GetTitledName] wurde heute Morgen mit dem Kopf voran in ein Fass voller Regenwasser gestopft aufgefunden, wobei nur [changeling_victim.GetHerHis] blasse, steife Beine über der Oberfläche zu sehen waren. Eure Wachen vermuten, dass [changeling_victim.GetHerHis] gestolpert, irgendwie in die Tonne gefallen und dann tragisch ertrunken ist. [From.GetFirstName] wurde beim Spielen in der Nähe gefunden, scheint aber nichts gesehen zu haben.;;;;;;;;;;;x
EVTOPTA_Plus_809;Curious...;;Seltsam...;;;;;;;;;;;x
EVTOPTB_Plus_809;Yes, an interesting coincidence...;;Ja, ein interessanter Zufall...;;;;;;;;;;;x
EVTOPTC_Plus_809;Yes...I suppose it could have happened that way...;;Ja... ich nehme an, so könnte es gewesen sein...;;;;;;;;;;;x
