#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTDESC_Plus_4000;To [Root.GetTitledFirstName],\n\nWe demand you pay us a part of your income as a tribute. If you do not comply we will attack you in 3 days.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir verlangen, dass Ihr uns einen Teil Eures Einkommens als Tribut zahlt. Wenn Ihr dem nicht nachkommt, werden wir Euch in 3 Tagen angreifen.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4000A;It looks like I have no choice.;;Es sieht so aus, als hätte ich keine andere Wahl.;;;;;;;;;;;x
EVTOPT_Plus_4000B;You want war? You'll get war!.;;Ihr wollt Krieg? Ihr werdet Krieg bekommen!.;;;;;;;;;;;x
EVTOPT_Plus_4000C;Can't we make a deal?;;Können wir nicht einen Deal machen?;;;;;;;;;;;x
EVTDESC_Plus_4002;To [Root.GetTitledFirstName],\n\nWe accept your demand to become your tributary.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir akzeptieren Eure Forderung, Euer Tribut zu werden.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4002A;Excellent!;;Ausgezeichnet!;;;;;;;;;;;x
EVTDESC_Plus_4003;To [GetFromRootInsult] [Root.GetTitledFirstName],\n\nIf you truly desire war, we are ready.\n\nSigned,\n[From.GetTitledName];;An [GetFromRootInsult] [Root.GetTitledFirstName],\n\nWenn Ihr wirklich Krieg wollt, sind wir bereit.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4003A;I doubt it.;;Ich bezweifle es.;;;;;;;;;;;x
EVTOPT_Plus_4003B;It may not be worth it...;;Vielleicht ist es das nicht wert...;;;;;;;;;;;x
EVTDESC_Plus_4004;To [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nI believe it would be mutually beneficial if we came to a different sort of an arrangement. We offer to pay a tribute in exchange for a 5 year non-aggression pact.\n\nSigned,\n[From.GetTitledName];;An [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nIch glaube, es wäre für beide Seiten vorteilhaft, wenn wir eine andere Art von Vereinbarung treffen würden. Wir bieten an, einen Tribut im Austausch für einen 5-Jahres-Nichtangriffspakt zu zahlen.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4004A;Very well!;;Sehr gut!;;;;;;;;;;;x
EVTOPT_Plus_4004B;Nice try.;;Netter Versuch.;;;;;;;;;;;x
EVTDESC_Plus_4005;To [GetFromRootInsult] [Root.GetTitledFirstName],\n\nWe decided that war with your pitiful realm is not worth the effort.\n\nSigned,\n[From.GetTitledName];;An [GetFromRootInsult] [Root.GetTitledFirstName],\n\nWir haben beschlossen, dass ein Krieg mit Eurem erbärmlichen Reich den Aufwand nicht wert ist.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4005A;That coward!;;Dieser Feigling!;;;;;;;;;;;x
EVTDESC_Plus_4006;To [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nWe agree to your proposal of a non-aggression pact and look forward to receiving the payment for it.\n\nSigned,\n[From.GetTitledName];;An [GetFromRootCompliment] [Root.GetTitledFirstName],\n\nWir stimmen Eurem Vorschlag eines Nichtangriffspakts zu und freuen uns auf die Bezahlung dafür.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4006A;I knew they would cave!;;Ich wusste, dass sie nachgeben würden!;;;;;;;;;;;x

EVTDESC_Plus_4021;To [Root.GetTitledFirstName],\n\nWe demand that you submit to our rule and become a proper vassal!\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir verlangen, dass Ihr Euch unserer Herrschaft unterwerft und ein ordentlicher Vasall werdet!\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4022;To [Root.GetTitledFirstName],\n\nWe accept your demand to submit as a vassal.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir akzeptieren deine Forderung, dich als Vasall zu unterwerfen.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4041;To [Root.GetTitledFirstName],\n\nWe kindly request that You accept our tribute in exchange for Your protection.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir bitten Sie höflichst, unseren Tribut als Gegenleistung für Ihren Schutz zu akzeptieren.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPT_Plus_4041A;Accept;;Akzeptieren;;;;;;;;;;;x
EVTOPT_Plus_4041C;Maybe we can make a deal?;;Vielleicht können wir einen Deal machen?;;;;;;;;;;;x
EVTDESC_Plus_4042;To [Root.GetTitledFirstName],\n\nWe accept Your gifts and in return promise our protection.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir akzeptieren Eure Geschenke und versprechen im Gegenzug unseren Schutz.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4043;To [Root.GetTitledFirstName],\n\nWe regret to inform You that we don't believe this protection business is worth our time.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir bedauern Ihnen mitteilen zu müssen, dass wir nicht glauben, dass dieses Schutzgeschäft unsere Zeit wert ist.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4044;To [Root.GetTitledFirstName],\n\nWe are unable to commit long term to your protection, however we offer a non-aggression pact for a small compensation.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir sind nicht in der Lage, uns langfristig zu Ihrem Schutz zu verpflichten, aber wir bieten Ihnen einen Nichtangriffspakt für eine kleine Entschädigung an.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4045;To [Root.GetTitledFirstName],\n\nWe accept your non-aggression offer, you should receive your compensation shortly.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir akzeptieren Ihr Nichtangriffsangebot, Sie sollten Ihre Entschädigung in Kürze erhalten.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4046;To [Root.GetTitledFirstName],\n\nWe reject your non-aggression offer as we don't see a benefit from it.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir lehnen Ihr Nichtangriffsangebot ab, da wir keinen Nutzen darin sehen.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x

EVTDESC_Plus_4552;To [Root.GetTitledFirstName],\n\nWe offer you a release from you feudal obligation. In exchange you and your realm will become our Protectorate.\n\nSigned,\n[From.GetTitledName];;An [From.GetTitledFirstName],\n\nWir bieten Euch eine Befreiung von Euren feudalen Verpflichtungen an. Im Gegenzug werden Ihr und Euer Reich unser Protektorat.\n\nUnterzeichnet,\n[From.GetTitledName];;;;;;;;;;;x
EVTOPTB_Plus_4552;Absolutely not!;;Auf gar keinen Fall!;;;;;;;;;;;x
EVTDESC_Plus_4553;To [Root.GetTitledFirstName],\n\nWe accept your proposal of mutual interest.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir akzeptieren Euren Vorschlag von gegenseitigem Interesse.\n\nUnterschrieben,\n[From.GetTitledName];;;;;;;;;;;x
EVTDESC_Plus_4554;To [Root.GetTitledFirstName],\n\nWe reject your ridiculous proposal.\n\nSigned,\n[From.GetTitledName];;An [Root.GetTitledFirstName],\n\nWir lehnen Ihren lächerlichen Vorschlag ab.\n\nGezeichnet,\n[From.GetTitledName];;;;;;;;;;;x
