#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
###############################################################################;;;;;;;;;;;;;;x;
#DEFAULT NON-LANDED;;;;;;;;;;;;;;x;
title_lord;Lord;Seigneur;Herr;;;
title_lord_female;Lady;Dame;Herrin;;;
title_prince;Prince;;Prinz;;Príncipe;
title_prince_female;Princess;Princesse;Prinzessin;;Princesa;
title_queen_mother;Queen Mother;Reine mère;Königinmutter;;Reina Madre;
emperor_title_queen_mother_female;Empress Dowager;Impératrice douairière;Kaiserinwitwe;;Emperatriz viuda;
imperial_title_lord;Lord;Seigneur;Herr;;;
imperial_title_lord_female;Lady;Dame;Herrin;;;
imperial_title_prince;Prince;Prince;Prinz;;Príncipe;
imperial_title_prince_female;Princess;Princesse;Prinzessin;;Princesa;
imperial_title_queen_mother;Queen Mother;Reine mère;Königinmutter;;Reina Madre;
imperial_emperor_title_queen_mother_female;Empress Dowager;Impératrice douairière;Kaiserinwitwe;;Emperatriz viuda;
almulk_title_lord;Lord;Seigneur;Herr;;;
almulk_title_lord_female;Lady;Dame;Herrin;;;
almulk_title_prince;Prince;Prince;Prinz;;Príncipe;
almulk_title_prince_female;Princess;Princesse;Prinzessin;;Princesa;
almulk_title_queen_mother;Queen Mother;Reine mère;Königinmutter;;Reina Madre;
almulk_emperor_title_queen_mother_female;Empress Dowager;Impératrice douairière;Kaiserinwitwe;;Emperatriz viuda;
#DEFAULT BARONS;;;;;;;;;;;;;;x;
baron;Baron;;;;Barón;
baron_female;Baroness;Baronne;Baronin;;Baronesa;
family_palace_baron;Patrician;Patricien;Patrizier;;Patricio;
family_palace_baron_female;Lady;Dame;;;Señora;
imperial_baron;Baron;;;;Barón;
imperial_baron_female;Baroness;Baronne;Baronin;;Baronesa;
almulk_baron;Sharif;;;;;
almulk_baron_female;Sharifah;;;;;
city_baron;Mayor;Bourgmestre;Bürgermeister;;Alcalde;
city_baron_female;Mayor;Bourgmestre;Bürgermeister;;Alcaldesa;
temple_baron;Priest;Prêtre;Priester;;Sacerdote;
temple_baron_female;Priestess;Prêtresse;Priesterin;;Sacerdotisa;
tribal_baron;Village Elder;Aîné;Ältester;;Élder;
tribal_baron_female;Village Elder;Aîné;Ältester;;Élder;
#DEFAULT COUNTS;;;;;;;;;;;;;;x;
count;Count;Comte;Graf;;Conde;
count_female;Countess;Comtesse;Gräfin;;Condesa;
