#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
title_aedile;Aedile;Édile;Ädilen;;Edil;x
title_aedile_desc;The aediles are responsible for maintenance of public buildings and regulation of public festivals.;Les édiles sont responsable de la maintenance des bastiments publics et de la règlementation des festivals publics.;Die Ädilen sind für die Instandhaltung der öffentlichen Gebäude und die Regelung der öffentlichen Feste zuständig.;;;x
title_ashavan;Ashavan;;;;;x
title_ashavan_desc;Publicly proclaim him as the Righteous one - the man who follows the path of Asha.;Le proclamer publiquement comme étant Le Vertueux - l'homme qui suit le chemin d'Asha.;Verkündet ihn öffentlich als den Gerechten - den Mann, der dem Pfad von Asha folgt.;;;x
title_astrologer;Court Astrologer;Astrologue de la cour;Hofastrologe;;Astrólogo de la Corte;x
title_astrologer_desc;The reader of stars. He advises the ruler with decisions.;L'augure des étoiles. Il aide le dirigeant prendre ses décisions.;Der Leser der Sterne. Er berät den Herrscher bei Entscheidungen.;;Aquel que lee las estrellas, ayudando con las decisiones más difíciles;x
title_bogomilist_advisor;Stroinik;;;;;x
title_bogomilist_advisor_female;Stroinitsa;;;;;x
title_chalcedonian_cardinal;Cardinal;;Kardinal;;Cardenal;x
title_cathar_deacon;Deacon;;Diakon;;Diácono;x
title_cathar_deacon_female;Deaconess;;Diakonin;;Diaconisa;x
title_censor;Censor;Censeur;Zensor;;;x
title_censor_desc;The Censor is responsible for taking the census of the realm. While the office was originally instituted for taxation purposes the most important duty of the Censor is to supervise public morality and recommend suitable candidates for public offices.;Le Censeur est responsable du recensement de la population du royaume. Bien ce rosle ait été prévu initialement pour une mission fiscale, la principale besogne du Censeur est de surveiller la moralité public et de recommander des candidats convenables pour des fonctions publiques.;Der Zensor ist für die Volkszählung des Reiches zuständig. Obwohl das Amt ursprünglich für Steuerzwecke eingerichtet wurde, besteht die wichtigste Aufgabe des Zensors darin, die öffentliche Moral zu überwachen und geeignete Kandidaten für öffentliche Ämter zu empfehlen.;;El Censor se encarga de realizar el censo del reino. Aunque la oficina fue instituida originálmente con propósitos fiscales, la tarea más importante del censor es la de supervisar la moral pública y recomendar candidatos adecuados para las oficinas públicas.;x
title_chief_qadi_nc;Chief Qadi;Cadi;Oberster Qadi;;Cadí Jefe;x
