#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
replace_pontifex;Replace Pontifex Maximum;Replace Pontifex Maximum;Ersetzen des Pontifex Maximus;;Replace Pontifex Maximum;;;;;;;;;x
replace_pontifex_desc;As the [Root.PrimaryTitle.GetRulerTitle] of [Root.PrimaryTitle.GetName], it is within your right to replace the Pontifex Maximus if [Root.RelHead.GetSheHe] displeases you.;As the [Root.PrimaryTitle.GetRulerTitle] of [Root.PrimaryTitle.GetName], it is within your right to replace the Pontifex Maximus if [Root.RelHead.GetSheHe] displeases you.;Als [Root.PrimaryTitle.GetRulerTitle] von [Root.PrimaryTitle.GetName] haben Sie das Recht, den Pontifex Maximus zu ersetzen, wenn Ihnen [Root.RelHead.GetSheHe] nicht gefällt.;;As the [Root.PrimaryTitle.GetRulerTitle] of [Root.PrimaryTitle.GetName], it is within your right to replace the Pontifex Maximus if [Root.RelHead.GetSheHe] displeases you.;;;;;;;;;
EVTDESC_ancrel_2100;Having long studied the old Greek and Roman classics you are wondering if their religious views aren't better than your own.;Après avoir longtemps étudié les oeuvres classiques grecques et romaines, vous vous demandez si leur religion n'était pas meilleur que la votre.;Sie haben lange die alten griechischen und römischen Klassiker studiert und fragen sich, ob deren religiöse Ansichten nicht besser sind als Ihre eigenen.;;;;;;;;;;;x
EVTOPTA_ancrel_2100;Yes, the old religion was better;Oui, l'ancienne religion était meilleure;Ja, die alte Religion war besser;;;;;;;;;;;x
EVTOPTB_ancrel_2100;No, I'm secure in my faith;Non, je suis convaincu dans ma foi;Nein, ich bin sicher in meinem Glauben;;;;;;;;;;;x
EVTDESC_ancrel_2101;As you are sitting down to dinner, your [Root.GetLordSpiritualName] comes up to you and tells you that [From.GetBestName] has strayed from the true faith. Claiming to have found enlightenment in the classical texts of ancient Rome and Greece, [From.GetSheHe] has forsaken [Root.Religion.GetRandomGodName] and professed his devotion to [From.Religion.GetRandomGodName].;Alors que vous vous asseyez pour dîner, votre [Root.GetLordSpiritualName] s'approche et vous explique que [From.GetBestName] s'est écarté de la vraie foi. Prétendant avoir trouvé l'illumination dans les textes classiques de la Rome et Grèce antique, [From.GetSheHe] a délaissé [Root.Religion.GetRandomGodName] et proclamé sa dévotion à [From.Religion.GetRandomGodName].;Während Sie beim Abendessen sitzen, kommt Ihr [Root.GetLordSpiritualName] auf Sie zu und sagt Ihnen, dass [From.GetBestName] vom wahren Glauben abgewichen ist. Er behauptet, in den klassischen Texten des alten Roms und Griechenlands Erleuchtung gefunden zu haben, und [From.GetSheHe] hat [Root.Religion.GetRandomGodName] verlassen und seine Hingabe an [From.Religion.GetRandomGodName] bekundet.;;;;;;;;;;;x
EVTOPTA_ancrel_2101;My [From.GetSonDaughter] did WHAT?;[From.GetSonDaughter] a fait QUOI ?;Meine [From.GetSonDaughter] hat WAS getan?;;;;;;;;;;;x
EVTOPTB_ancrel_2101;[From.GetSheHe] did WHAT?;[From.GetSheHe] a fait QUOI ?;[From.GetSheHe] hat WAS getan?;;;;;;;;;;;x
EVTNAME_ancrel_2102;The Pontifex Maximus;The Pontifex Maximus;Der Pontifex Maximus;;The Pontifex Maximus;;;;;;;;;x
EVTDESC_ancrel_2102;With the influence of [From.GetTitledName], the religious institutions of old have been restored once more. [Root.Religion.GetPriestTitle] [Root.GetFirstName] has been chosen as the new Pontifex Maximus, heading up the College of Pontiffs to oversee the Hellenic temples both in [From.PrimaryTitle.GetName] and beyond. A great celebration has been declared in [Root.Capital.GetName], with the cheering faithful lining the streets as representatives of the gods approach the temple of their new leader to pay obeisance.;With the influence of [From.GetTitledName], the religious institutions of old have been restored once more. [Root.Religion.GetPriestTitle] [Root.GetFirstName] has been chosen as the new Pontifex Maximus, heading up the College of Pontiffs to oversee the Hellenic temples both in [From.PrimaryTitle.GetName] and beyond. A great celebration has been declared in [Root.Capital.GetName], with the cheering faithful lining the streets as representatives of the gods approach the temple of their new leader to pay obeisance.;Unter dem Einfluss von [From.GetTitledName] sind die religiösen Institutionen von einst wiederhergestellt worden. [Root.Religion.GetPriestTitle] [Root.GetFirstName] wurde zum neuen Pontifex Maximus gewählt und leitet das Kollegium der Pontifexe, das die hellenischen Tempel in [From.PrimaryTitle.GetName] und darüber hinaus beaufsichtigt. In [Root.Capital.GetName] wurde ein großes Fest ausgerufen, bei dem die jubelnden Gläubigen die Straßen säumen, während sich die Vertreter der Götter dem Tempel ihres neuen Führers nähern, um ihm ihre Ehrerbietung zu erweisen.;;With the influence of [From.GetTitledName], the religious institutions of old have been restored once more. [Root.Religion.GetPriestTitle] [Root.GetFirstName] has been chosen as the new Pontifex Maximus, heading up the College of Pontiffs to oversee the Hellenic temples both in [From.PrimaryTitle.GetName] and beyond. A great celebration has been declared in [Root.Capital.GetName], with the cheering faithful lining the streets as representatives of the gods approach the temple of their new leader to pay obeisance.;;;;;;;;;x
EVTOPTA_ancrel_2102;A glorious day for us all!;A glorious day for us all!;Ein glorreicher Tag für uns alle!;;A glorious day for us all!;;;;;;;;;x
