#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x
abandon_adventure;Abandon Adventure;Abandon Adventure;Abandon Adventure;;Abandon Adventure;;;;;;;;x
abandon_adventure_desc;Abandon Adventure;Abandon Adventure;Abandon Adventure;;Abandon Adventure;;;;;;;;x
abdicate_rule;Abdicate;Abdicate;Abdicate;;Abdicate;;;;;;;;x
abdicate_rule_desc;You elect to voluntarily step down from rule and surrender all your titles to your heir. Once abdicated, you will be unable to inherit any further titles.;You elect to voluntarily step down from rule and surrender all your titles to your heir. Once abdicated, you will be unable to inherit any further titles.;You elect to voluntarily step down from rule and surrender all your titles to your heir. Once abdicated, you will be unable to inherit any further titles.;;You elect to voluntarily step down from rule and surrender all your titles to your heir. Once abdicated, you will be unable to inherit any further titles.;;;;;;;;x
abolish_witan_hardrada;Declare yourself the sole King of England;Vous déclarer seul Roi d'Angleterre;Declare yourself the sole King of England;;Declare yourself the sole King of England;;;;;;;;x
abolish_witan_hardrada_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;Maintenant que vous controslez entièrement les terres anglaises, vous pouvez abolir le Witan et mettre fin à l'hégémonie anglo-saxonne sur Anglia une fois pour toutes !;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;x
abolish_witan_william;Declare yourself the sole King of England;Vous décarer seul Roi d'Angleterre;Declare yourself the sole King of England;;Declare yourself the sole King of England;;;;;;;;x
abolish_witan_william_desc;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;Maintenant que vous controslez entièrement les terres anglaises, vous pouvez abolir le Witan et mettre fin à l'hégémonie anglo-saxonne sur Anglia une fois pour toutes !;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;With you fully in control of the English lands, you can abolish the Witan and end the Anglo-Saxon hegemony over Anglia once and for all!;;;;;;;;x
accuse_as_kafir;Accuse Kafir;Accuse Kafir;Accuse Kafir;;Accuse Kafir;;;;;;;;x
accuse_as_kafir_desc;Accuse your liege, §Y[Root.GetBestName]§!, of being kafir, and thus a decadent [Root.GetManWoman] in violation of Allah's laws.;Accuse your liege, §Y[Root.GetBestName]§!, to be kafir, and thus a decadent [Root.GetManWoman] in violation of Allah's laws.;Accuse your liege, §Y[Root.GetBestName]§!, to be kafir, and thus a decadent [Root.GetManWoman] in violation of Allah's laws.;;Accuse your liege, §Y[Root.GetBestName]§!, to be kafir, and thus a decadent [Root.GetManWoman] in violation of Allah's laws.;;;;;;;;x
adopt_feudalism_pagan;Adopt Feudalism;Adopter le féodalisme;Feudalsystem einführen;;Adoptar de ser Feudal;;;;;;;;;x
adopt_republicanism_pagan;Found Merchant Republic;Fonder une république marchande;Handelsrepublik gründen;;Fundar una República Mercante;;;;;;;;;x
adopt_feudalism_pagan_desc;I can choose to leave behind my tribal way of life and become a Feudal ruler.;Je peux choisir d'abandonner nos mœurs tribales et de devenir un souverain féodal.;Ich kann meine Stammestradition hinter mir lassen und ein feudaler Herrscher werden.;;Puedo escoger abandonar mi estilo de vida tribal y convertirme en un gobernante Feudal.;;;;;;;;;x
adopt_republicanism_pagan_desc;I can choose to leave behind my tribal way of life and found a Merchant Republic.;Je peux choisir d'abandonner nos mœurs tribales et de fonder une république marchande.;Ich kann meine Stammestradition hinter mir lassen und eine Handelsrepublik gründen.;; Puedo escoger abandonar mi estilo de vida tribal y fundar una República Mercante.;;;;;;;;;x
adventurer_warn_target;Warn Target;Warn Target;Warn Target;;Warn Target;;;;;;;;x
adventurer_warn_target_desc;Warn Target;Warn Target;Warn Target;;Warn Target;;;;;;;;x
ai_austerity;Austerity;Austerity;Austerity;;Austerity;;;;;;;;x
ai_austerity_baron;Austerity;Austerity;Austerity;;Austerity;;;;;;;;x
ai_austerity_end;End Austerity;End Austerity;End Austerity;;End Austerity;;;;;;;;x
ai_austerity_desc;Austerity;Austerity;Austerity;;Austerity;;;;;;;;x
ai_austerity_baron_desc;Austerity;Austerity;Austerity;;Austerity;;;;;;;;x
ai_austerity_end_desc;End Austerity;End Austerity;End Austerity;;End Austerity;;;;;;;;x
ai_become_monk;Become Monk;Become Monk;Become Monk;;Become Monk;;;;;;;;x
ai_become_monk_desc;Become Monk;Become Monk;Become Monk;;Become Monk;;;;;;;;x
ai_destroy_custom_title;Destroy Custom Title;Destroy Custom Title;Destroy Custom Title;;Destroy Custom Title;;;;;;;;x
ai_destroy_custom_title_desc;Destroy Custom Title;Destroy Custom Title;Destroy Custom Title;;Destroy Custom Title;;;;;;;;x
ai_estates_income;Estates Income;Estates Income;Estates Income;;Estates Income;;;;;;;;x
ai_faction_maintenance;Faction Maintenance;Faction Maintenance;Faction Maintenance;;Faction Maintenance;;;;;;;;x
ai_divorce;AI Divorce;AI Divorce;AI Divorce;;AI Divorce;;;;;;;;x
ai_divorce_desc;AI Divorce;AI Divorce;AI Divorce;;AI Divorce;;;;;;;;x
ai_estates_income_desc;Estates Income;Estates Income;Estates Income;;Estates Income;;;;;;;;x
ai_faction_maintenance_desc;Faction Maintenance;Faction Maintenance;Faction Maintenance;;Faction Maintenance;;;;;;;;x
ai_form_denmark;Form Denmark;Form Denmark;Form Denmark;;Form Denmark;;;;;;;;x
ai_form_england;Form England;Form England;Form England;;Form England;;;;;;;;x
ai_form_ireland;Form Ireland;Form Ireland;Form Ireland;;Form Ireland;;;;;;;;x
ai_form_norway;Form Norway;Form Norway;Form Norway;;Form Norway;;;;;;;;x
ai_form_sweden;Form Sweden;Form Sweden;Form Sweden;;Form Sweden;;;;;;;;x
ai_form_denmark_desc;Form Denmark;Form Denmark;Form Denmark;;Form Denmark;;;;;;;;x
ai_form_england_desc;Form England;Form England;Form England;;Form England;;;;;;;;x
ai_form_ireland_desc;Form Ireland;Form Ireland;Form Ireland;;Form Ireland;;;;;;;;x
ai_form_norway_desc;Form Norway;Form Norway;Form Norway;;Form Norway;;;;;;;;x
ai_form_sweden_desc;Form Sweden;Form Sweden;Form Sweden;;Form Sweden;;;;;;;;x
ai_maintenance;Maintenance;Maintenance;Maintenance;;Maintenance;;;;;;;;x
ai_monk_title_gain;Monk Title;Monk Title;Monk Title;;Monk Title;;;;;;;;x
ai_monk_title_lose;Remove Monk Title;Remove Monk Title;Remove Monk Title;;Remove Monk Title;;;;;;;;x
ai_monk_title_gain_desc;Monk Title;Monk Title;Monk Title;;Monk Title;;;;;;;;x
ai_monk_title_lose_desc;Remove Monk Title;Remove Monk Title;Remove Monk Title;;Remove Monk Title;;;;;;;;x
ai_desert_father_title_lose;Remove Desert Father Title;Remove Desert Father Title;Remove Desert Father Title;;Remove Desert Father Title;;;;;;;;x
ai_desert_father_title_lose_desc;Remove Desert Father Title;Remove Desert Father Title;Remove Desert Father Title;;Remove Desert Father Title;;;;;;;;x
ai_repay_loan;Repay Loan;Repay Loan;Repay Loan;;Repay Loan;;;;;;;;x
ai_maintenance_desc;Maintenance;Maintenance;Maintenance;;Maintenance;;;;;;;;x
ai_repay_loan_desc;Repay Loan;Repay Loan;Repay Loan;;Repay Loan;;;;;;;;x
ai_request_holy_war;Request Holy Sanction;Request Holy Sanction;Request Holy Sanction;;Request Holy Sanction;;;;;;;;x
ai_request_holy_war_desc;Request Holy Sanction;Request Holy Sanction;Request Holy Sanction;;Request Holy Sanction;;;;;;;;x
ai_take_loan;Take a Loan;Emprunter;Kredit nehmen;;Take a Loan;;;;;;;;x
ai_take_loan_desc;Take a five-year loan at 25% interest;Contractez un emprunt sur cinq ans à un taulx d’intérest de 25%.;Ein Fünfjahresdarlehen zu 25% Zinsen aufnehmen;;Coge un préstamo de cinco años al 25% de interés;;;;;;;;x
ask_claimant_support;Ask to Support Pretender;Ask to Support Pretender;Ask to Support Pretender;;Ask to Support Pretender;;;;;;;;x
