#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
obj_adopt_a_lifestyle_desc;[This.GetTitledFirstName] wants an exciting hobby to pursue.;;[This.GetTitledFirstName] möchte einem spannenden Hobby nachgehen.;;;x
obj_adopt_a_lifestyle_title;Adopt a Lifestyle;;Einen Lebensstil annehmen;;;x
obj_amass_fortune_desc;[This.GetTitledFirstName] is already well-off, but seeks a true fortune.;;[This.GetTitledFirstName] ist bereits wohlhabend, strebt aber nach einem echten Vermögen.;;;x
obj_amass_fortune_title;Amass Fortune;;Reichtum anhäufen;;;x
obj_amass_hoard_desc;[This.GetTitledFirstName] wants to swim in [This.GetHerHis] vault of gold!;;[This.GetTitledFirstName] möchte in [This.GetHerHis] Tresor aus Gold schwimmen!;;;x
obj_amass_hoard_title;Amass a Hoard of Wealth;;Einen Hort des Reichtums anhäufen;;;x
obj_amass_wealth_1_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;;[This.GetTitledFirstName] will eine beträchtliche Menge an Reichtum anhäufen;;;x
obj_amass_wealth_1_title;Amass Wealth;;Reichtum anhäufen;;;x
obj_amass_wealth_2_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;;[This.GetTitledFirstName] will eine beträchtliche Menge an Reichtum anhäufen;;;x
obj_amass_wealth_2_title;Amass Wealth;;Reichtum anhäufen;;;x
obj_amass_wealth_3_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;;[This.GetTitledFirstName] möchte eine beträchtliche Menge an Reichtum anhäufen;;;x
obj_amass_wealth_3_title;Amass Wealth;;Reichtum anhäufen;;;x
obj_amass_wealth_4_desc;[This.GetTitledFirstName] wants to amass a substantial amount of wealth;;[This.GetTitledFirstName] möchte eine beträchtliche Menge an Reichtum anhäufen;;;x
obj_amass_wealth_4_title;Amass Wealth;;Reichtum anhäufen;;;x
obj_bastard_legit_desc;[This.GetTitledFirstName] wants to see her bastard son included in inheritance.;;[This.GetTitledFirstName] möchte, dass ihr unehelicher Sohn in das Erbe einbezogen wird.;;;x
obj_bastard_legit_title;See Bastard Son Legitimized;;Siehe Bastard-Sohn legitimiert;;;x
obj_be_legitimized_desc;[This.GetTitledFirstName] wants to have [This.GetHerHis] father to recognize [This.GetHerHis] legitimacy, and thus grant [This.GetHerHim] a proper inheritance.;;[This.GetTitledFirstName] möchte, dass [This.GetHerHis] Vater die Legitimität von [This.GetHerHis] anerkennt und somit [This.GetHerHis] ein ordentliches Erbe gewährt.;;;x
obj_be_legitimized_title;Be Legitimized;;Legitimiert sein;;;x
obj_become_distinguished_desc;[This.GetTitledFirstName] seeks to become distinguished among the nobility;;[This.GetTitledFirstName] strebt danach, in den Kreis der Adligen aufgenommen zu werden;;;x
obj_become_distinguished_title;Become Distinguished Among the Nobility;;Unter den Adeligen hervorgehoben werden;;;x
obj_become_duke_desc;[This.GetTitledFirstName] is not satisfied with being a mere Count.;;[This.GetTitledFirstName] ist nicht damit zufrieden, nur ein Graf zu sein.;;;x
obj_become_duke_title;Gain a Duchy;;Ein Herzogtum erlangen;;;x
obj_become_emperor_desc;[This.GetTitledFirstName] aspires to the lofty heights of an Emperorship.;;[This.GetTitledFirstName] strebt nach den erhabenen Höhen eines Kaisertums.;;;x
obj_become_emperor_title;Become Emperor;;Kaiser werden;;;x
obj_become_exalted_1_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;[From.GetTitledFirstName] möchte, dass [From.GetHerHis] Name für immer in die Annalen der Geschichte eingeht.;;;x
obj_become_exalted_1_title;Become Exalted among Men;;Erhabener unter den Menschen werden;;;x
obj_become_exalted_2_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;[From.GetTitledFirstName] möchte, dass [This.GetHerHis] Name für immer in den Annalen der Geschichte weiterlebt.;;;x
obj_become_exalted_2_title;Become Exalted among Men;;Erhabener unter den Menschen werden;;;x
obj_become_exalted_3_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;[This.GetTitledFirstName] möchte, dass [This.GetHerHis] Name für immer in den Annalen der Geschichte weiterlebt.;;;x
obj_become_exalted_3_title;Become Exalted among Men;;Erhabener unter den Menschen werden;;;x
obj_become_exalted_4_desc;[This.GetTitledFirstName] wants [This.GetHerHis] name to live forever in the annals of history.;;[This.GetTitledFirstName] möchte, dass [This.GetHerHis] Name für immer in den Annalen der Geschichte weiterlebt.;;;x
obj_become_exalted_4_title;Become Exalted among Men;;Erhabener unter den Menschen werden;;;x
obj_become_saint_desc;A true saint can only be created after one's death, but it is possible to embark upon that path while one is still alive. It is not an easy journey, requiring humility and a dedication to religious ideals, but success means that one will enjoy piety and recognition -- and perhaps a greater chance of beatification after one's passing. Failure, however, can mean a loss of piety and worse, and failure will be far more likely the more sinful traits one possesses.;;Ein wahrer Heiliger kann erst nach seinem Tod erschaffen werden, aber es ist möglich, diesen Weg schon zu Lebzeiten einzuschlagen. Es ist keine leichte Reise, die Demut und Hingabe an religiöse Ideale erfordert, aber wenn man erfolgreich ist, genießt man Frömmigkeit und Anerkennung - und vielleicht eine größere Chance auf Seligsprechung nach seinem Tod. Ein Scheitern kann jedoch den Verlust der Frömmigkeit und Schlimmeres bedeuten, und ein Scheitern ist umso wahrscheinlicher, je mehr sündige Züge man besitzt.;;;x
obj_become_saint_title;Become a Saint;;Ein Heiliger werden;;;x
obj_become_independent_desc;[This.GetTitledFirstName] desires independence from [This.GetHerHis] tyrannical liege.;;[From.GetTitledFirstName] wünscht sich Unabhängigkeit von [From.GetHerHis] tyrannischem Lehnsherrn.;;;x
obj_become_independent_title;Become Independent;;Unabhängig werden;;;x
obj_become_king_desc;[This.GetTitledFirstName] desires a King's crown.;;[This.GetTitledFirstName] begehrt eine Königskrone.;;;x
obj_become_king_title;Become King;;König werden;;;x
obj_become_multiduke_desc;[This.GetTitledFirstName] seeks to become a powerful Grand Duke with a second ducal title;;[This.GetTitledFirstName] strebt danach, ein mächtiger Großherzog mit einem zweiten Herzogstitel zu werden;;;x
obj_become_multiduke_title;Become a Grand Duke;;Großherzog werden;;;x
obj_become_regent_title;Become Regent;;Regent werden;;;x
obj_befriend_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.Liege.GetTitledFirstName].;;[From.GetTitledFirstName] möchte [From.GetHerHis] Loyalität und Ergebenheit gegenüber [From.Liege.GetTitledFirstName] zeigen.;;;x
obj_befriend_liege_title;Befriend [This.Liege.GetTitledFirstName];;Freundschaft mit [This.Liege.GetTitledFirstName];;;x
obj_befriend_relhead_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.RelHead.GetTitledFirstName].;;[From.GetTitledFirstName] möchte [From.GetHerHis] Loyalität und Ergebenheit gegenüber [This.RelHead.GetTitledFirstName] zeigen.;;;x
obj_befriend_relhead_title;Befriend [This.RelHead.GetTitledFirstName];;Freundschaft mit [This.RelHead.GetTitledFirstName];;;x
obj_befriend_top_liege_desc;[This.GetTitledFirstName] wants to show [This.GetHerHis] loyalty and devotion to [This.TopLiege.GetTitledFirstName].;;[From.GetTitledFirstName] möchte [From.GetHerHis] Loyalität und Ergebenheit gegenüber [From.TopLiege.GetTitledFirstName] zeigen.;;;x
obj_befriend_top_liege_title;Befriend [This.TopLiege.GetTitledFirstName];;Freundschaft mit [This.TopLiege.GetTitledFirstName];;;x
obj_break_out_of_prison_desc;[This.GetTitledFirstName] wants [This.GetHerHis] freedom back.;;[This.GetTitledFirstName] will [This.GetHerHis] Freiheit zurück.;;;x
obj_break_out_of_prison_title;Get Out of Prison;;Raus aus dem Gefängnis;;;x
obj_change_nick_desc;[This.GetTitledFirstName] doesn't like [This.GetHerHis] nickname and wants to remove it, even at the cost of some fame.;;[This.GetTitledFirstName] mag [This.GetHerHis] Spitznamen nicht und möchte ihn entfernen, auch wenn es ihn etwas Ruhm kostet.;;;x
obj_change_nick_title;Remove Nickname;;Spitznamen entfernen;;;x
obj_church_career_desc;[This.GetTitledFirstName] wants to become a priest.;;[This.GetTitledFirstName] möchte Priester werden.;;;x
obj_church_career_title;Pursue Church Career;;Kirchenkarriere anstreben;;;x
obj_civilize_province_desc;[This.GetTitledFirstName] wants to convert a province in his realm to his culture.;;[This.GetTitledFirstName] möchte eine Provinz in seinem Reich zu seiner Kultur bekehren.;;;x
obj_civilize_province_title;Change a Province's Culture;;Die Kultur einer Provinz ändern;;;x
obj_convert_a_province_desc;[This.GetTitledFirstName] wants to bring the true faith to the heathens of the realm.;;[This.GetTitledFirstName] will den wahren Glauben zu den Heiden des Reiches bringen.;;;x
obj_convert_a_province_title;Convert a Province;;Eine Provinz konvertieren;;;x
obj_cta_0_desc;[This.GetTitledFirstName] has no education in the art of personal combat and wants to change that through combat experience.;;[This.GetTitledFirstName] hat keine Ausbildung in der Kunst des persönlichen Kampfes und möchte dies durch Kampferfahrung ändern.;;;x
obj_cta_0_title;Develop Personal Combat Skills;;Persönliche Kampffähigkeiten entwickeln;;;x
obj_cta_1_desc;[This.GetTitledFirstName] has a meager education in the art of personal combat and wants to change that through combat experience.;;[This.GetTitledFirstName] hat eine magere Ausbildung in der Kunst des persönlichen Kampfes und möchte dies durch Kampferfahrung ändern.;;;x
obj_cta_1_title;Become a Trained Fighter;;Ein ausgebildeter Kämpfer werden;;;x
obj_cta_2_desc;While [This.GetTitledFirstName] is already well-trained in personal combat, [This.GetSheHe]'d like to take [This.GetHerHis] skills to the next level through experience in the field.;;Während [This.GetTitledFirstName] bereits gut im persönlichen Kampf ausgebildet ist, möchte [This.GetSheHe] seine Fähigkeiten durch Erfahrung im Feld auf die nächste Stufe bringen.;;;x
obj_cta_2_title;Become a Skilled Fighter;;Ein erfahrener Kämpfer werden;;;x
obj_cta_3_desc;While many already consider [This.GetTitledFirstName] to be one of the more skilled fighters in the realm, [This.GetSheHe] desires true mastery of [This.GetHerHis] art, and no better way to attain such heights exists than through experience in the field.;;Viele halten [This.GetTitledFirstName] bereits für einen der fähigsten Kämpfer des Reiches, aber [This.GetSheHe] strebt danach, [This.GetHerHis] Kunst wirklich zu beherrschen, und es gibt keinen besseren Weg, um solche Höhen zu erreichen, als durch Erfahrung auf dem Gebiet.;;;x
obj_cta_3_title;Become a Formidable Fighter;;Werden Sie ein eindrucksvoller Kämpfer;;;x
obj_druze_esoteric_learning_title;Study the Esoteric Secrets;;Studieren Sie die esoterischen Geheimnisse;;;x
obj_druze_esoteric_learning_desc;Not every Druze is permitted to learn the esoteric secrets of their faith. Those who do become uqqal, or initiates, and thus move onto a higher state of learning and respect within the Druze community. This sort of study is not something that will happen immediately, and only a small percentage of the Druze even attempt it.;;Nicht jedem Drusen ist es erlaubt, die esoterischen Geheimnisse seines Glaubens zu lernen. Diejenigen, die dies tun, werden uqqal oder Eingeweihte und erreichen damit einen höheren Stand des Lernens und des Respekts innerhalb der drusischen Gemeinschaft. Diese Art von Studium ist nicht etwas, das sofort geschieht, und nur ein kleiner Prozentsatz der Drusen versucht es überhaupt.;;;x
obj_fifteen_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;[From.GetTitledFirstName] wünscht sich eine große Familie und viele Kinder, um das Erbe von [From.GetHerHis] weiterzuführen.;;;x
obj_fifteen_children_title;Have Fifteen Children;;Fünfzehn Kinder haben;;;x
obj_find_lover_desc;[This.GetTitledFirstName] desires romance and passion.;;[This.GetTitledFirstName] wünscht sich Romantik und Leidenschaft.;;;x
obj_find_lover_title;Fall in Love;;Verliebt sein;;;x
obj_five_children_desc;[This.GetTitledFirstName] wants a large family and many children to carry on [This.GetHerHis] legacy.;;[This.GetTitledFirstName] wünscht sich eine große Familie und viele Kinder, um [This.GetHerHis] Erbe fortzuführen.;;;x
