#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_2100;Acheiropoieta;;Acheiropoieta;;;x
EVTDESC_Plus_2100;Above the gate to a city in [acheiropoieta_province.GetName], there is enshrined an Acheiropoieta: an icon which, it is claimed, was not created by human hands but rather came into existence miraculously. All icons in [Root.PrimaryTitle.GetName] are condemned to be destroyed, but the people of [acheiropoieta_province.GetName] have refused to destroy the Acheiropoieta, claiming its divine heritage shelters the city from danger. [iconoclast_patriarch.GetTitledName] has, however, demanded you deal it regardless.;;Über dem Tor einer Stadt in [acheiropoieta_province.GetName] befindet sich eine Acheiropoieta: eine Ikone, die angeblich nicht von Menschenhand geschaffen wurde, sondern auf wundersame Weise entstanden ist. Alle Ikonen in [Root.PrimaryTitle.GetName] sind dazu verurteilt, zerstört zu werden, aber die Menschen in [acheiropoieta_province.GetName] haben sich geweigert, die Acheiropoieta zu zerstören, weil sie behaupten, dass ihr göttliches Erbe die Stadt vor Gefahren schützt. [iconoclast_patriarch.GetTitledName] hat jedoch verlangt, dass Ihr sie trotzdem zerstört.;;;x
EVTOPTA_Plus_2100;Send soldiers to destroy it immediately;;Schickt Soldaten aus, um sie sofort zu zerstören.;;;x
EVTOPTB_Plus_2100;Let them have their false icon;;Gebt ihnen ihre falsche Ikone;;;x
EVTOPTC_Plus_2100;Take it and keep it for yourself;;Nimm sie und behalte sie für dich;;;x
EVTDESC_Plus_2101;You still have the Acheiropoieta you took so long ago from the city in [acheiropoieta_province.GetName]. You keep it in a secluded shrine that only you have access to. Lately, as you go to visit it, you hear voices in your head, telling you things, things confusing your mind...;;Ihr habt immer noch die Acheiropoieta, die Ihr vor so langer Zeit aus der Stadt in [acheiropoieta_province.GetName] genommen habt. Du bewahrst es in einem abgelegenen Schrein auf, zu dem nur du Zugang hast. In letzter Zeit hörst du, wenn du ihn besuchst, Stimmen in deinem Kopf, die dir Dinge erzählen, die deinen Verstand verwirren...;;;x
EVTOPTA_Plus_2101;It really is divine! Icons are real!;;Es ist wirklich göttlich! Die Ikonen sind real!;;;x
EVTOPTB_Plus_2101;It is [Root.Religion.GetRandomEvilGodName] trying to destroy me!;;Es ist [Root.Religion.GetRandomEvilGodName], der versucht, mich zu zerstören!;;;x
EVTNAME_Plus_2102;Constantine's Return;;Konstantins Rückkehr;;;x
EVTDESC_Plus_2102;The war is not going well, and many parts of the empire are already in chaos. Now, a group of soldiers has reportedly broken into the imperial mausoleum in the Church of the Holy Apostles, opened the sarcophagus of Constantine V, and implored him to return and save the empire. Iconoclast zealots have been quick to jump on this news, claiming it is Orthodox idolatry that is dooming the emperor. They have pleaded with [Root.GetTitledFirstNameNoRegnal] to honor the memory of the former emperor and lead the emperor away from its idolatrous ways before it is too late.;;Der Krieg läuft nicht gut, und in vielen Teilen des Reiches herrscht bereits Chaos. Berichten zufolge ist eine Gruppe von Soldaten in das kaiserliche Mausoleum in der Kirche der Heiligen Apostel eingebrochen, hat den Sarkophag von Konstantin V. geöffnet und ihn angefleht, zurückzukehren und das Reich zu retten. Eiferer des Ikonoklasten haben sich schnell auf diese Nachricht gestürzt und behauptet, es sei der orthodoxe Götzendienst, der dem Kaiser zum Verhängnis werde. Sie haben [Root.GetTitledFirstNameNoRegnal] angefleht, das Andenken an den ehemaligen Kaiser zu ehren und das Reich von seinem götzendienerischen Weg abzubringen, bevor es zu spät ist.;;;x
EVTOPTA_Plus_2102;They are right -- the idolatry must end!;;Sie haben Recht - der Götzendienst muss beendet werden!;;;x
