#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
#CHANCELLOR
city_job_chancellor;Ambassador;Ambassadeur;Botschafter;;Embajador;x
city_job_chancellor_arabic;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;x
city_job_chancellor_aztec_pagan;Cihuacoatl;;;;;x
city_job_chancellor_greek;Magistros;;;;;x
city_job_chancellor_roman_pagan;Magister Officiorum;;;;;x
city_job_chancellor_iranian;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;x
city_job_chancellor_turkish;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;x
city_job_chancellor_west_african;Grand Vizier;Grand Vizir;Großwesir;;Gran Visir;x
city_job_chancellor_zoroastrian_group;Astabadh;;;;;x
job_chancellor_aten_pagan;Vizier;Vizir;Wesir;;Visir;x
job_chancellor_egyptian_pagan;Vizier;Vizir;Wesir;;Visir;x
job_chancellor_zoroastrian_group;Vuzorg Farmadar;;Vuzorg-Farmadar;;;x
#MARSHAL
city_job_marshal_aztec_pagan;Tlacateccatl;;;;;x
city_job_marshal_greek;Strategos;;;;Estratega;x
city_job_marshal_roman_pagan;Magister Militum;;;;;x
city_job_marshal_hellenic_pagan_byzantine;Stratelates;;;;;x
city_job_marshal_zoroastrian_group;Eran Spahbod;;;;;x
job_marshal_aten_pagan;Sesemut;;;;;x
job_marshal_egyptian_pagan;Sesemut;;;;;x
job_marshal_zoroastrian_group;Eran Spahbod;;;;;x
job_marshal_west_african;Farari;;;;;x
#SPIRITUAL
city_job_spiritual_aztec_pagan;Sahagun;Sahagún;;;;x
city_job_spiritual_christian;Court Chaplain;Chapelain de la Cour;Hofkaplan;;Capellán;x
city_job_spiritual_roman_pagan;Augur;Augure;;;;x
city_job_spiritual_celtic_pagan;Court Druid;;Hofdruide;;;x
city_job_spiritual_celtic_pagan_reformed;Court Druid;;Hofdruide;;;x
city_job_spiritual_muslim;Court Imam;Imam;Hof-Imam;;Imán de la corte;x
city_job_spiritual_orthodox;Ecclesiarch;Ecclésiarque;Kirchenfürst;;Eclesiarca;x
city_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;x
city_job_spiritual_shiite;Court Mullah;Mollah;Hofmullah;;Mulá de la corte;x
city_job_spiritual_zoroastrian_group;Mobad;;;;;x
job_spiritual_aten_pagan;Xroj;;;;;x
job_spiritual_christian;Court Chaplain;Chapelain de la Cour;Hofkaplan;;Capellán;x
job_spiritual_egyptian_pagan;Xroj;;;;;x
job_spiritual_roman_pagan;Augur;Augure;;;;x
job_spiritual_celtic_pagan;Court Druid;;Hofdruide;;;x
job_spiritual_celtic_pagan_reformed;Court Druid;;Hofdruide;;;x
job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;x
job_spiritual_zoroastrian_group;Dastur;;;;;x
job_spiritual_finnish_pagan;Tietäjä;;Salbei;;;x
job_spiritual_finnish_pagan_reformed;Tietäjä;;Druide;;;x
job_spiritual_female_finnish_pagan;Noita;;Hexe;;;x
job_spiritual_female_finnish_pagan_reformed;Noita;;Hexe;;;x
nomadic_job_spiritual_aztec_pagan;Sahagun;Sahagún;;;;x
nomadic_job_spiritual_christian;Chaplain;Chapelain;Kaplan;;Capellán;x
nomadic_job_spiritual_muslim;Court Imam;Imam;Hofimam;;Imán de la corte;x
nomadic_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;x
nomadic_job_spiritual_shiite;Court Mullah;Mollah;Hofmullah;;Mulá de la corte;x
nomadic_job_spiritual_zoroastrian_group;Mobad;;;;;x
tribal_job_spiritual_aztec_pagan;Sahagun;Sahagún;;;;x
tribal_job_spiritual_christian;Chaplain;Chapelain;Kaplan;;Capellán;x
tribal_job_spiritual_muslim;Court Imam;Imam;Hofimam;;Imán de la corte;x
tribal_job_spiritual_pagan_group;Seer;Voyant;Seher;;Vidente;x
tribal_job_spiritual_shiite;Court Mullah;Mollah;Hofmullah;;Mulá de la corte;x
tribal_job_spiritual_zoroastrian_group;Mobad;;;;;x
#SPYMASTER
city_job_spymaster_aztec_pagan;Tillancalqui;Tillancalqui;Tillancalqui;;Tillancalqui;x
city_job_spymaster_greek;Mystikos;;;;;x
job_spymaster_zoroastrian;Spasaka;;;;;x
#TREASURER
city_job_treasurer_aztec_pagan;Petlacalcatl;;;;;x
city_job_treasurer_greek;Sakellarios;;;;;x
city_job_treasurer_zoroastrian_group;Darik-Pat;;;;;x
job_treasurer_aten_pagan;Pruj-Hdoj;;;;;x
job_treasurer_egyptian_pagan;Pruj-Hdoj;;;;;x
job_treasurer_roman_pagan;Quaestor;;Quästor;;;x
job_treasurer_zoroastrian_group;Ho Tokhshan Bod;;;;;x
