#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
nick_the_crusader;the Crusader;le Croisé;der Kreuzfahrer;;el Cruzado;
nick_the_trembling;the Trembling;le Tremblant;der Zitterer;;el Temblor;
nick_the_deacon;the Deacon;le Diacre;der Diakon;;el Diácono;
nick_the_catholic;the Catholic;le Catholique;der Katholik;;el Católico;
nick_the_kid;the Kid;l'Enfant;der Junge;;el Niño;
nick_the_hairy;the Hairy;le Chevelu;der Behaarte;;el Velloso;
nick_the_fratricide;the Fratricide;le Fratricide;der Brudermörder;;el Fraticidio;
nick_the_lackland;Lackland;sans Terre;Lackland;;sin Tierra;
nick_the_green;the Green;le Vert;der Grüne;;el Verde;
nick_the_brown;the Brown;le Brun;der Braune;;el Marrón;
nick_the_white;the White;le Blanc;der Weiße;;el Blanco;
nick_the_bearded;the Bearded;le Barbu;der Bärtige;;el Barbudo;
nick_the_red;the Red;le Rouges;der Rote;;el Rojo;
nick_the_butcher;the Butcher;le Boucher;der Schlächter;;el Carnicero;
nick_the_bulgar_slayer;the Bulgar Slayer;le Bulgaroctone;der Bulgarentöter;;el Bulgaróctono;
nick_the_ill_advised;the Redeless;le Malavisé;der Rotlose;;el Malaconsejado;
nick_forkbeard;Forkbeard;Barbe-Fourchue;Gabelbart;;Barba-Partida;
nick_skotkonung;Skötkonung;Skötkonung;Skötkonung;;Skötkonung;
nick_almanzor;al-Mansur bi-llah;;;;;
nick_pendragon;Y Mab Darogan;;;;;
nick_the_hammer;the Hammer;le Martel;der Hammer;;el Martillo;
nick_the_victorious;the Victorious;le Victorieux;der Siegreiche;;el Victorioso;
nick_the_holy;the Holy;le Saint;der Heilige;;el Santo;
nick_the_avenger;the Avenger;le Vengeur;der Rächer;;el Vengador;
nick_the_brave;the Brave;le Hardi;der Tapfere;;el Valiente;
nick_the_fearless;the Fearless;le Preux;der Furchtlose;;el Audaz;
nick_the_martyr;the Martyr;le Martyr;der Märtyrer;;el Mártir;
nick_the_effeminate;the Effeminate;l'Efféminé;der Verweichlichte;;el Afeminado;
nick_the_clueless;the Clueless;l'Idiot;der Ahnungslose;;el Despistado;
nick_the_heathen;the Heathen;le Païen;der Ungläubige;;el Pagano;
nick_the_saint;the Saint;le Saint;der Heilige;;el Santo;
nick_the_hunchback;the Hunchback;le Bossu;der Bucklige;;el Jorobado;
nick_the_bad;the Bad;le Mauvais;der Böse;;el Malo;
nick_the_peaceable;the Peaceable;le Pacifique;der Friedfertige;;el Pacificador;
nick_the_one_eyed;the One-Eyed;le Borgne;der Einäugige;;el Tuerto;
nick_the_singer;the Troubadour;le Troubadour;der Troubadour;;el Trovador;
nick_with_immortal_soul;of Immortal Soul;de l'me Immortelle;der Unsterblichen Seele;;del Alma Inmortal;
nick_the_mazdayasnian;the Mazdayasnian;le Mazdayasnien;der Mazdayasnier;;el Mazdayasno;
nick_the_lewd;the Lewd;l'Obscène;der Unzüchtige;;el Lascivo;
nick_the_dwarf;the Dwarf;le Nain;der Zwerg;;el Enano;
nick_the_fool;the Fool;l'Imbécile;der Narr;;el Tonto;
nick_the_poet;the Poet;le Poète;der Dichter;;el Poeta;
nick_the_benign;the Benign;le Bénin;der Gutmütige;;el Benigno;
nick_the_eloquent;the Eloquent;l'Éloquent;der Beredte;;el Elocuente;
nick_the_meek;the Meek;le Doux;der Sanftmütige;;el Manso;
nick_the_prudent;the Prudent;le Prudent;der Besonnene;;el Prudente;
nick_the_learned;the Learned;l'Appris;der Gelehrte;;el Aprendido;
nick_the_impaler;the Impaler;l'Empaleur;der Pfähler;;el Empalador;
nick_the_cunning;the Cunning;le Rusé;der Gerissene;;el Astucia;
nick_the_indolent;the Indolent;l'Indolent;der Indolente;;el Indolente;
nick_the_downcast;the Downcast;l'Abattu;der Niedergeschlagene;;el Alicaído;
nick_the_scholar;the Scholar;l'Érudit;der Gelehrte;;el Erudito;
nick_the_mild;the Mild;le Docile;der Milde;;el Amable;
nick_the_decadent;the Decadent;le Décadent;der Dekadente;;el Decadente;
nick_the_stout;the Stout;le Corpulent;der Beleibte;;el Fornido;
nick_the_vain;the Vain;le Vaniteux;der Eitle;;el Vano;
nick_the_planter;the Planter;le Planteur;der Pflanzer;;el Plantador;
nick_the_ugly;the Ugly;le Laid;der Hässliche;;el Feo;
nick_the_short;the Short;le Petit;der Kurze;;el Poco;
nick_the_parricide;the Parricide;le Parricide;der Vatermörder;;el Parricidio;
nick_the_rash;the Rash;le Téméraire;der Unbesonnene;;el Temerario;
nick_the_mystic;the Mystic;le Mystique;der Mystiker;;el Místico;
nick_the_generous;the Generous;le Généreux;der Großzügige;;el Generoso;
nick_the_honorable;the Honorable;l'Honorable;der Ehrbare;;el Honorable;
nick_the_treacherous;the Treacherous;la Perfide;der Verräter;;el Traicionero;
nick_the_weak;the Weak;le Faible;der Schwache;;el Débil;
nick_the_scarred;the Scarred;le Balafré;der Vernarbte;;el Cicatrizado;
nick_the_quiet;the Quiet;le Silencieux;der Stille;;el Callado;
nick_the_truthful;the Truthful;le Véridique;der Wahrheitsliebende;;el Veraz;
nick_the_distrustful;the Distrustful;le Méfiant;der Misstrauische;;el Desconfiado;
nick_the_peaceful;the Peaceful;le Paisible;der Friedfertige;;el Pacífico;
nick_the_ambitious;the Ambitious;l'Ambitieux;der Ehrgeizige;;el Ambicioso;
nick_the_righteous;the Righteous;le Juste;der Gerechte;;el Justo;
nick_the_pompous;the Pompous;le Pompeux;der Aufgeblasene;;el Pomposo;
nick_the_boar;the Boar;le Sanglier;das Wildschwein;;el Jabalí;
nick_the_infirm;the Infirm;l'Infirme;der Gebrechliche;;el Enfermo;
nick_the_reluctant;the Reluctant;le Réticent;der Zögernde;;el Reunente;
nick_the_brilliant;the Brilliant;le Brillant;der Glänzende;;el Brillante;
nick_the_stammerer;the Stammerer;le Bègue;der Stotterer;;el Tartamudo;
nick_the_upright;the Upright;le Droit;der Aufrechte;;el Recto;
nick_the_skald;the Skald;le Skald;der Skalde;;el Skaldo;
nick_the_bard;the Bard;le Barde;der Barde;;el Bardo;
nick_the_scop;the Scop;le Scop;der Skop;;el Scopo;
nick_the_recluse;the Recluse;le Reclus;der Einsiedler;;el Recluso;
nick_the_tyrant;the Tyrant;le Tyran;der Tyrann;;el Tirano;
