#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
#;;;;;;;;;;;;;;x
# FACTION MAIN;;;;;;;;;;;;;;x
#;;;;;;;;;;;;;;x
CB_NAME_OVERTHROWRULER;Overthrow Ruler;Renverser le Suzerain;Herrscher stürzen;;Gobernante derrocado;;;;;;;;;x
WAR_NAME_FACTION_DEPOSE;$ORDER$Revolt of the $FIRST_ADJ$ League;$ORDER$Révolte de la Ligue $FIRST_ADJ$;$ORDER$Aufstand der $FIRST_ADJ$ Liga;;$ORDER$Revolt of the $FIRST_ADJ$ League;;;;;;;;;x
faction_court_desc;The §YCourt Faction§! is [From.GetCourtFactionMood].\nThe §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Crown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Crown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;Die §YHof-Fraktion§! ist [From.GetCourtFactionMood].\nDie §YHof-Fraktion§! strebt nach Vasallenautonomie und Einfluss.\n\nIhre Stimmung wird §Gverbessert§! durch:\n- Gute Beziehungen zu den Mitgliedern\n- Verleihung eines Landtitels an ein beliebiges Mitglied\n- Geringe Autorität der Krone/Stammesorganisation\n- Steuerprivilegien für Vasallen\n- Ernennung eines beliebigen Mitglieds zum Ratsmitglied\n- Abhalten von Festen und Turnieren\n\nIhre Stimmung wird §RVerschlechtert§! durch:\n- Schlechte Beziehungen zu den Mitgliedern\n- Hohe Kronenautorität/Stammesorganisation\n- Hohe Feudalsteuern\n- Kronensteuerprivilegien\n- Hohe Dekadenz bei den Muslimen\n- Kein Mitglied gehört dem Rat des Lehnsherrn an;;The §YCourt Faction§! strives for vassal autonomy and influence.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Low Crown Authority/Tribal Organization\n- Vassal Tax Privileges\n- Appointing any member as a councilor\n- Holding feasts and tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- High Crown Authority/Tribal Organization\n- High feudal taxes\n- Crown Tax Privileges\n- Crown Levy Privileges\n- High decadence for Muslims\n- No member belonging to the liege's council;;;;;;;;;x
faction_court_title;Court Faction;Court Faction;Hof-Fraktion;;Court Faction;;;;;;;;;x
faction_court_short;Court;Court;Hof;;Court;;;;;;;;;x
faction_glory_desc;The §YGlory Faction§! is [From.GetGloryFactionMood].\nThe §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Appointing any member as a councilor\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- No member belonging to the liege's council\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Appointing any member as a councilor\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- No member belonging to the liege's council\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;Die §YRuhm-Fraktion§! ist [From.GetGloryFactionMood].\nDie §YRuhm-Fraktion§! strebt nach Prestige und Kriegsbeute.\n\nIhre Stimmung wird §Gverbessert§! durch:\n- Gute Beziehungen zu den Mitgliedern\n- Verleihung eines Landtitels an ein beliebiges Mitglied\n- Vasallenabgabeprivilegien\n- Ernennung eines beliebigen Mitglieds zum Ratsmitglied\n- Der Lehnsherr hat hohes Prestige\n- Gewinnen von Kriegen\n- Abhalten von Turnieren\n\nIhre Stimmung wird §RVerschlechtert§! durch:\n- Schlechte Beziehungen zu den Mitgliedern\n- Kronenabgabeprivilegien\n- Kein Mitglied, das dem Rat des Lehnsherrn angehört\n- Der Lehnsherr hat negatives Prestige\n- Fünf oder mehr Jahre Frieden in Folge\n- Kriege verlieren\n- Hohe Dekadenz bei Muslimen;;The §YGlory Faction§! strives for prestige and the spoils of war.\n\nTheir mood is §Gimproved§! by:\n- Good relations with members\n- Granting a landed title to any member\n- Vassal Levy Privileges\n- Appointing any member as a councilor\n- The liege having high Prestige\n- Winning wars\n- Holding tournaments\n\nTheir mood is §Rworsened§! by:\n- Poor relations with members\n- Crown Levy Privileges\n- No member belonging to the liege's council\n- The liege having negative Prestige\n- Five or more consecutive years of peace\n- Losing wars\n- High decadence for Muslims;;;;;;;;;x
faction_glory_title;Glory Faction;Glory Faction;Ruhmesfraktion;;Glory Faction;;;;;;;;;x
faction_glory_short;Glory;Glory;Ruhm;;Glory;;;;;;;;;x
faction_pretender_desc;A claimant to the throne of [This.GetName]. If [New.GetSheHe] gathers enough support from the factions, [New.GetSheHe] will declare war.;Un prétendant au trosne de [This.GetName]. Si [New.GetSheHe] recueille assez d'appui de la part des factions, [New.GetSheHe] déclarera la guerre.;Ein Anwärter auf den Thron von [This.GetName]. Wenn [From.GetSheHe] genügend Unterstützung von den Fraktionen erhält, wird [From.GetSheHe] den Krieg erklären.;;A claimant to the throne of [This.GetName]. If [New.GetSheHe] gathers enough support from the factions, [New.GetSheHe] will declare war.;;;;;;;;;x
faction_pretender_short;Claimant;Prétendant;Anspruchsteller;;Claimant;;;;;;;;;x
faction_pretender_title;[New.GetTitledFirstName] for [This.GetName];[New.GetTitledFirstName] pour [This.GetName];[New.GetTitledFirstName] für [This.GetName];;[New.GetTitledFirstName] for [This.GetName];;;;;;;;;x
