#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
ARLES;Arles;;;;;x
ARLES_ADJ;Arletian;Arlésien;;;;x
AUSTRASIA;Austrasia;;;;;x
AUSTRASIA_ADJ;Austrasian;Austrasienne;Austrasianisch;;;x
EARLY_ERE;Eastern Roman Empire;Empire romain d'Orient;Oströmisches Reich;;Imperio Romano del Este;x
EARLY_ERE_ADJ;Roman;Romain;Römisch;;;x
FRISIA;Frisia;;Friesland;;;x
FRISIA_ADJ;Frisian;;Friesisch;;;x
LAPPLAND;Lappland;Laponie;Lappland;;Laponia;x
LAPPLAND_ADJ;Lapplander;Laponien;Lappländer;;;x
MIDDLE_FRANCIA;Middle Francia;Francie Médiane;Mittelfranken;;Francia Media;x
MIDDLE_FRANCIA_ADJ;Middle Francian;Moyen Francian;Mittelfränkisch;;Medio Francian;x
MOGHUL;Moghul Khanate;Moghol Khanat;Moghul-Khanat;;Mogol Janato;x
MOGHUL_ADJ;Moghul;Moghol;;;Mogol;x
NEUSTRIA;Neustria;Neustrie;Neustrien;;;x
NEUSTRIA_ADJ;Neustrian;Neustrien;Neustrien;;;x
PAMPLONA;Pamplona;Pampelune;;;;x
PAMPLONA_ADJ;Basque;;Baskisch;;;x
POHJANMAA;Pohjanmaa;;;;;x
POHJANMAA_ADJ;Pohjanmaa;;;;;x
KUYAVIANS;Kuyavians;;Kujawier;;;x
KUYAVIANS_ADJ;Kuyavian;;Kujawier;;;x
SILESIANS;Silesians;;Schlesier;;;x
SILESIANS_ADJ;Silesian;;Schlesier;;;x
MAZOVIANS;Mazovians;;Masowier;;;x
MAZOVIANS_ADJ;Mazovian;;Masowier;;;x
LENDIANS;Lendians;;Lendische;;;x
LENDIANS_ADJ;Lendian;;Lendische;;;x
POLANS;Polans;;Polanen;;;x
POLANS_ADJ;Polan;;Polanisch;;;x
NORDLAND;Nordland;;;;;x
NORDLAND_ADJ;Nordlandic;Nordlandien;Nordlandisch;;Nordland;x
