#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
LOADING_TIP_0;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;Heilige Kriege können nur einmal alle 5 Jahre geführt werden, es sei denn, der Zieltitel ist de jure ein Vasall.;;You can only wage holy wars once every 5 years, unless the target title is your de jure vassal.;;;;;;;;;x
LOADING_TIP_1;Changing out of Elective, Elective Gavelkind, or Tanistry succession requires the approval of the Electors.;Sortir de la monarchie éléctive nécessite l'approbation des électeurs.;Der Wechsel aus der Wahl-, Wahl-Gavelkind- oder Tanister-Nachfolge erfordert die Zustimmung der Kurfürsten.;;Changing out of Elective succession requires the approval of the Electors.;;;;;;;;;x
LOADING_TIP_2;Right-clicking portraits brings up a quick menu.;Faites un clic droit sur les portraits pour afficher un menu rapide.;Ein Rechtsklick auf Porträts führt zu einem Schnellmenü.;;Al hacer clic en los retratos con el botón derecho del ratón se abre un menú rápido.;;;;;;;;;x
LOADING_TIP_3;Right-click your own holdings to raise troops or create a new vassal.;Faites un clic droit sur vos propriétés pour lever des troupes ou créer un nouveau vassal.;Mit einem Rechtsklick auf den eigenen Besitz kann man Truppen aufstellen oder einen neuen Vasallen erschaffen.;;Haz clic derecho en tus propiedades para reclutar las tropas o crear nuevo vasallo.;;;;;;;;;x
LOADING_TIP_4;In a matrilineal marriage, children are born to their mother's dynasty.;Dans le cadre d’un mariage matrilinéaire, les enfants appartiennent à la dynastie de la mère.;In einer matrilinearen Ehe werden die Kinder in die Dynastie ihrer Mutter geboren.;;En un matrimonio matrilineal, los niños nacen en la dinastía de la madre.;;;;;;;;;x
LOADING_TIP_5;Illegitimate bastards cannot pass your dynasty on.;Les enfants illégitimes n’appartiennent point à votre dynastie.;Uneheliche Bastarde können Ihre Dynastie nicht weitergeben.;;Los bastardos ilegítimos no pueden continuar con tu dinastía.;;;;;;;;;x
LOADING_TIP_6;The second and third in line to the throne are called pretenders, and are likely to cause trouble.;Le deuxiesme et le troisiesme de la ligne de succession au trosne sont des prétendants et vous poseront sans doute des problesmes.;Der Zweite und Dritte in der Thronfolge wird als Thronprätendent bezeichnet und wird wahrscheinlich für Ärger sorgen.;;El segundo y el tercero en la línea de sucesión son los aspirantes al trono, y suelen causar problemas.;;;;;;;;;x
LOADING_TIP_7;Vassals who dislike you will not provide you with their full troop levies.;S'ils ne vous apprécient point, vos vassaulx ne mettront point à votre disposition l’intégralité de leurs troupes.;Vasallen, die dich nicht mögen, werden dir nicht ihre vollen Truppenaufgebote zur Verfügung stellen.;;Los vasallos a los que no gustes se negarán a darte todas sus levas.;;;;;;;;;x
LOADING_TIP_8;You need a reason to declare war. Choose your casus belli wisely.;Pour déclarer la guerre, vous devez avoir une raison. Choisissez judicieusement votre casus belli.;Sie brauchen einen Grund, um den Krieg zu erklären. Wähle deinen casus belli mit Bedacht.;;Necesitas un motivo para declarar la guerra. Elige bien tu casus belli.;;;;;;;;;x
LOADING_TIP_9;Crown Laws affect even those rulers who are not de facto part of the kingdom.;Les lois de la couronne affectent également les souverains qui ne font point, de facto, partie du royaume.;Die Kronengesetze wirken sich auch auf Herrscher aus, die de facto nicht Teil des Königreichs sind.;;Las leyes de la Corona afectan a aquellos soberanos que no son parte de facto del reino.;;;;;;;;;x
LOADING_TIP_10;The Pope can grant powerful boons to good Catholics.;Le pape peut accorder de puissants avantages aulx bons catholiques.;Der Papst kann guten Katholiken mächtige Segnungen gewähren.;;El Papa puede conceder grandes favores a los buenos católicos.;;;;;;;;;x
LOADING_TIP_11;Mercenaries are professional soldiers and can win wars for you - just make sure they get paid!;Les mercenaires sont des soldats professionnels capables de remporter des guerres pour votre compte. Mais n’oubliez point de les payer !;Söldner sind Berufssoldaten und können Kriege für Sie gewinnen - stellen Sie nur sicher, dass sie bezahlt werden!;;Los mercenarios son soldados profesionales, pueden ganar guerras por ti. ¡Solo tienes que asegurarte de que paguen!;;;;;;;;;x
LOADING_TIP_12;Holy orders will not fight their brothers of the faith. Be careful when using them in battle!;Les ordres sacrés ne guerroieront point contre leurs frères de la mesme religion. Faites donc bien attention lorsque vous recourrez à eulx au combat !;Heilige Orden werden ihre Glaubensbrüder nicht bekämpfen. Seien Sie vorsichtig, wenn Sie sie im Kampf einsetzen!;;Las Santas Hermandades no lucharán contra hermanos de fe. ¡Ten precaución al usarlas en la batalla!;;;;;;;;;x
LOADING_TIP_13;You must have positive prestige to be able to fabricate claims.;Vous devez avoir au moins 0 de prestige pour fabriquer des revendications;Sie müssen über ein positives Prestige verfügen, um Ansprüche erheben zu können.;;You must have at least 0 prestige to be able to fabricate claims.;;;;;;;;;x
LOADING_TIP_14;Temple holdings increase technology growth in a province.;Les temples augmentent la croissance technologique d'une province.;Tempelbesitz erhöht das Technologiewachstum in einer Provinz.;;Temple holdings increase technology growth in a province.;;;;;;;;;x
LOADING_TIP_15;You can right-click a received message to never appear again, change priority, or make them always appear as a pop up.;Faites un clic droit sur un message reçu pour ne plus l’afficher, changer sa priorité ou le faire apparaistre sous forme de fenestre instantanée.;Du kannst mit der rechten Maustaste auf eine empfangene Nachricht klicken, damit sie nie wieder erscheint, die Priorität ändern oder sie immer als Pop-up erscheinen lassen.;;Haz clic derecho en un mensaje recibido para no mostrarlo de nuevo, cambiar su prioridad o visualizarlo como ventana emergente.;;;;;;;;;x
LOADING_TIP_16;If you have free investiture, the Pope may ask you to change it.;En cas d’investiture libre, le pape peut vous demander de changer cette loi.;Wenn Sie freie Investitur haben, kann der Papst Sie bitten, diese zu ändern.;;Si aplicas la ley de libre investidura, el Papa puede pedirte que la cambies.;;;;;;;;;x
LOADING_TIP_17;Do not upset the Pope, he may have you excommunicated.;Ne contrariez point le pape sous peine d’excommunication.;Verärgern Sie den Papst nicht, sonst kann er Sie exkommunizieren lassen.;;No enfades al Papa, puede hacer que te excomulguen.;;;;;;;;;x
LOADING_TIP_18;If you are childless and old, your family members may demand your titles.;Si vous estes sans enfant et asgé, les membres de votre famille peuvent exiger vos titres.;Wenn Sie kinderlos und alt sind, können Ihre Familienmitglieder Ihre Titel einfordern.;;Si no tienes descendencia y eres anciano, puede que los miembros de tu familia te pidan los títulos.;;;;;;;;;x
LOADING_TIP_19;You need three Kingdom titles and 150 realm holdings to form an Empire.;Vous devez posséder trois royaumes et 150 fiefs pour former un empire.;Um ein Reich zu gründen, brauchst du drei Königreichstitel und 150 Reichsgüter.;;You need three Kingdom titles and 150 realm holdings to form an Empire.;;;;;;;;;x
