#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1900;Anarchy at [Root.Capital.GetName];;Anarchie in [Root.Capital.GetName];;;x
EVTDESC_Plus_1900;Dire events are underway in [Root.Capital.GetName], capital to the mighty [Root.PrimaryTitle.GetFullName]: [Root.GetTitledFirstNameNoRegnal], considered by many to be a weak caliph, has been turned into a veritable prisoner within his own palace. His advisors have taken control of the court, and already cracks have begun to appear in its authority over the [Root.PrimaryTitle.GetRulerTitle]'s vassals. Whether [Root.GetTitledFirstNameNoRegnal] will be able to regain control or whether the [Root.PrimaryTitle.GetFullName] will crumble into anarchy is currently unknown.;;In [Root.Capital.GetName], der Hauptstadt des mächtigen [Root.PrimaryTitle.GetFullName], sind schlimme Ereignisse im Gange: [Root.GetTitledFirstNameNoRegnal], der von vielen als schwacher Kalif angesehen wird, ist zu einem wahren Gefangenen in seinem eigenen Palast geworden. Seine Berater haben die Kontrolle über den Hof übernommen, und bereits jetzt zeigen sich Risse in der Autorität des [Root.PrimaryTitle.GetRulerTitle] gegenüber seinen Vasallen. Ob [Root.GetTitledFirstNameNoRegnal] in der Lage sein wird, die Kontrolle wiederzuerlangen, oder ob das [Root.PrimaryTitle.GetFullName] in Anarchie zerfallen wird, ist derzeit nicht bekannt.;;;x
EVTOPTA_Plus_1900;Oh no!;;Oh nein!;;;x
EVTOPTB_Plus_1900;This travesty is an affront to Allah;;Diese Travestie ist ein Affront gegen Allah;;;x
EVTOPTC_Plus_1900;It couldn't happen to a nicer caliph;;Einem netteren Kalifen könnte das nicht passieren;;;x
EVTDESC_Plus_1901;While [Root.GetTitledFirstNameNoRegnal] has taken command of the Sunni caliphate, the court remains firmly in control. You will have to be strong if you are to overcome their rule and restore order.;;Obwohl [Root.GetTitledFirstNameNoRegnal] das Kommando über das sunnitische Kalifat übernommen hat, bleibt der Hof fest in seiner Hand. Ihr werdet stark sein müssen, wenn ihr ihre Herrschaft überwinden und die Ordnung wiederherstellen wollt.;;;x
EVTOPTA_Plus_1901;They will not get away with this;;Damit werden sie nicht durchkommen;;;x
EVTNAME_Plus_1902;Order Restored in [Root.Capital.GetName];;Ordnung wiederhergestellt in [Root.Capital.GetName];;;x
EVTDESC_Plus_1902;It has taken a bloody coup, with [imprisoned_regent.GetTitledName] being overthrown and imprisoned, but [Root.GetTitledFirstNameNoRegnal] has restored order in the [Root.PrimaryTitle.GetFullName]. The Sunni caliphate once again has authority respected by its vassals. It remains to be seen whether [Root.GetTitledFirstNameNoRegnal] will exact more vengeance upon those of his court who kept him hostage, and whether he will be able to bring the lands he lost back under his fold.;;Es bedurfte eines blutigen Staatsstreichs, bei dem [imprisoned_regent.GetTitledName] gestürzt und inhaftiert wurde, aber [Root.GetTitledFirstNameNoRegnal] hat die Ordnung in [Root.PrimaryTitle.GetFullName] wieder hergestellt. Das sunnitische Kalifat hat wieder eine von seinen Vasallen respektierte Autorität. Es bleibt abzuwarten, ob [Root.GetTitledFirstNameNoRegnal] mehr Rache an denjenigen seines Hofes üben wird, die ihn als Geisel gehalten haben, und ob er in der Lage sein wird, die Länder, die er verloren hat, wieder unter seine Herrschaft zu bringen.;;;x
EVTOPTA_Plus_1902;Ha! Finally!;;Ha! Na endlich!;;;x
EVTOPTB_Plus_1902;This is a good thing, I think;;Das ist eine gute Sache, denke ich.;;;x
EVTDESC_Plus_1904;The court of [From.GetTitledFirstNameNoRegnal] runs rampant with anarchy and corruption. Perhaps it is time for the [Root.PrimaryTitle.GetFullName] to declare its independence before the [From.PrimaryTitle.GetFullName] crumbles completely and takes you with it?;;Am Hof von [From.GetTitledFirstNameNoRegnal] wuchert Anarchie und Korruption. Vielleicht ist es an der Zeit, dass der [Root.PrimaryTitle.GetFullName] seine Unabhängigkeit erklärt, bevor der [From.PrimaryTitle.GetFullName] komplett zusammenbricht und Euch mitnimmt?;;;x
EVTOPTA_Plus_1904;Yes, let us make our own way;;Ja, lasst uns unseren eigenen Weg gehen;;;x
EVTOPTB_Plus_1904;No, I am loyal to the caliph!;;Nein, ich bin dem Kalifen treu!;;;x
EVTDESC_Plus_1905;Alas, the anarchy rampant within the [Root.PrimaryTitle.GetFullName] has claimed another victim: from your quarters in the palace, you hear that [From.GetTitledName] has declared [From.GetHerHis] independence from the caliphate in pure disgust. Naturally your court is at odds regarding what to do about it.;;Leider hat die Anarchie, die im [Root.PrimaryTitle.GetFullName] wütet, ein weiteres Opfer gefordert: Aus Eurem Quartier im Palast hört Ihr, dass [From.GetTitledName] in purer Abscheu [From.GetHerHis] Unabhängigkeit vom Kalifat erklärt hat. Natürlich ist Euer Hof uneins darüber, wie man damit umgehen soll.;;;x
EVTDESC_Plus_1907;After the unjust murder of his son by local authorities, a follower of the Kharijite sect of Islam by the name of Musawir ibn 'Abd al-Hamid al-Shari has launched an insurrection in the province of Mosul, aiming to toppling the rule of [Root.GetTitledFirstNameNoRegnal] in the [Root.PrimaryTitle.GetFullName]. This presents a serious threat to the caliph, and further evidence of the reign of anarchy in the [Root.PrimaryTitle.GetFullName].;;Nach der ungerechten Ermordung seines Sohnes durch die örtlichen Behörden hat ein Anhänger der kharidschitischen Sekte des Islams namens Musawir ibn 'Abd al-Hamid al-Shari in der Provinz Mosul einen Aufstand angezettelt, der darauf abzielt, die Herrschaft von [Root.GetTitledFirstNameNoRegnal] im [Root.PrimaryTitle.GetFullName] zu stürzen. Dies stellt eine ernsthafte Bedrohung für den Kalifen dar und ist ein weiterer Beweis für die Herrschaft der Anarchie im [Root.PrimaryTitle.GetFullName].;;;x
EVTOPTA_Plus_1907;Muslim heretics in the [Root.PrimaryTitle.GetFullName]? Good news!;;Muslimische Ketzer im [Root.PrimaryTitle.GetFullName]? Gute Nachrichten!;;;x
EVTOPTB_Plus_1907;Another sad blow to the caliphate;;Ein weiterer trauriger Schlag für das Kalifat;;;x
EVTDESC_Plus_1910;The [Root.PrimaryTitle.GetFullName] is difficult to manage, due to its sheer size and splendor. It is an easy thing for the [Root.PrimaryTitle.GetRulerTitle]'s court to become decadent amidst such wealth, and for power to be misused even if that is not something the [Root.PrimaryTitle.GetRulerTitle] desires.;;Das [Root.PrimaryTitle.GetFullName] ist aufgrund seiner schieren Größe und Pracht schwer zu verwalten. Es ist ein Leichtes für den Hof des [Root.PrimaryTitle.GetRulerTitle], inmitten solchen Reichtums dekadent zu werden und die Macht zu missbrauchen, auch wenn das nicht im Sinne des [Root.PrimaryTitle.GetRulerTitle] ist.;;;x
EVTOPTA_Plus_1910;I will see this corruption rooted out!;;Ich werde dafür sorgen, dass diese Korruption ausgemerzt wird!;;;x
EVTOPTB_Plus_1910;This is hardly unexpected...;;Das ist kaum unerwartet...;;;x
