#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
EVTNAME_Plus_1152;A New Emperor;;Ein neuer Kaiser;;;x
EVTDESC_Plus_1152;[From.GetTitledFirstName] has assumed the throne of the Carolingian Empire... and now it falls to you to decide whether you will accept [From.GetHerHis] rule, or whether you will break the oaths of fealty and declare independence.;;[From.GetTitledFirstName] hat den Thron des Karolingischen Reiches bestiegen ... und nun liegt es an Euch, zu entscheiden, ob Ihr die Herrschaft von [From.GetHerHis] akzeptiert oder ob Ihr die Treueeide brecht und die Unabhängigkeit erklärt.;;;x
EVTOPTA_Plus_1152;The [Root.PrimaryTitle.GetFullName] will find its own path;;Der [Root.PrimaryTitle.GetFullName] wird seinen eigenen Weg finden;;;x
EVTOPTB_Plus_1152;[From.GetSheHeCap] is my emperor, and all of ours;;[From.GetSheHeCap] ist mein Kaiser und der unser aller;;;x
EVTDESC_Plus_1153;My [Root.GetLordLady] [Root.GetFirstName],\nIt is my position that the Carolingian Empire is a legacy deserving of the likes of Charlemagne, and requires a ruler of sufficient substance and character to earn its support. I believe that ruler is not you, and thus the [From.PrimaryTitle.GetFullName] hereby declares its independence from the empire. We will find our own way from this day on.\n[From.GetTitledName];;Meine [Root.GetLordLady] [Root.GetFirstName], ich bin der Meinung, dass das Karolingische Reich ein Erbe ist, das eines Karl des Großen würdig ist, und einen Herrscher von ausreichender Substanz und Charakter braucht, um seine Unterstützung zu verdienen. Ich glaube, dieser Herrscher seid nicht Ihr, und deshalb erklärt die [From.PrimaryTitle.GetFullName] hiermit ihre Unabhängigkeit vom Reich. Wir werden von diesem Tag an unseren eigenen Weg finden.\n[From.GetTitledName];;;x
EVTOPTA_Plus_1153;An outrage!;;Ein Skandal!;;;x
EVTNAME_Plus_1157;The Holy Roman Empire;;Das Heilige Römische Reich;;;x
EVTDESC_Plus_1157;To the most devout and serene [Root.GetTitledFirstName],\nIn the name of the Lord, I, [From.GetTitledName], agree to offer my blessing and will anoint you as Holy Roman Emperor. May your rule be both just and eternal.;;Im Namen des Herrn erteile ich, [From.GetTitledFirstName], Euch meinen Segen und salbe Euch zum Heiligen Römischen Kaiser, dem frommen und gelassenen [Root.GetTitledFirstName]. Möge Eure Herrschaft gerecht und ewig sein.;;;x
EVTDESC_Plus_1158;'In the name of Christ, I, [From.GetTitledFirstName], promise, pledge and guarantee in the sight of God and the blessed Apostle Peter that I will be the protector and defender of this holy Roman Church in all ways useful to her, however many, in so far as I am supported by divine assistance according to my knowledge and ability.'\n\nToday [From.GetTitledFirstName] was crowned by his Holiness the Pope and formally received the title of Holy Roman Emperor and the Imperial Regalia with the blessing of the Pope.;;Im Namen Christi verspreche, verpflichte und garantiere ich, [From.GetTitledFirstName], vor Gott und dem gesegneten Apostel Petrus, dass ich der Beschützer und Verteidiger dieser heiligen römischen Kirche sein werde, auf allen Wegen, die ihr nützlich sind, wie viele es auch sein mögen, insofern ich durch göttlichen Beistand nach meinem Wissen und Können unterstützt werde. Heute wurde [From.GetTitledFirstName] von seiner Heiligkeit, dem Papst, gekrönt und erhielt mit dem Segen des Papstes formell den Titel des Heiligen Römischen Kaisers und die Reichsinsignien.;;;x
EVTOPTA_Plus_1159;Offer to become [From.GetHerHis] devout vassal;;Angebot, [From.GetHerHis] ergebener Vasall zu werden;;;x
EVTOPTB_Plus_1159;Wish [From.GetHerHim] well;;Wünscht [From.GetHerHim] alles Gute;;;x
