#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;;x
EVTDESC_ancrel_4000;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;Bien du temps a passé depuis le dernier usage officiel du Temple de Luxor et la paysannerie s'est installée dans ses lieulx depuis. C'est en effet une bien triste vision que le temple dans son état actuel. Vous décidez que c'est dans l'intérest général de restaurer ce temple dans sa gloire d'antan et d'en faire le symbole d'une religion kémite revigorée.;Es ist viel Zeit vergangen, seit der Luxor-Tempel das letzte Mal offiziell genutzt wurde, und die Bauernschaft hat sich seitdem an seinem Standort niedergelassen. Es ist in der Tat ein trauriger Anblick, ihn in seinem jetzigen Zustand zu sehen. Sie beschließen, dass es im besten Interesse aller ist, diesen Tempel in seinem früheren Glanz wiederherzustellen und ihn zu einem Leuchtturm einer wiederbelebten kemetischen Religion zu machen.;;Much time has passed since Luxor Temple’s last official use and the peasantry has moved into its location since then. A sad sight it is indeed to see it in its current status. You decide that it is in the best interest of everyone to restore this temple to its former glory and make it a beacon of a revitalized Kemetic religion.;;;;;;;;;;x
EVTDESC_ancrel_4001;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;La restauration du Temple de Luxor est pesque achevée et votre architecte en chef vous demande si vous aimeriez ajouter une nouvelle aile au temple.;Die Restaurierung des Luxor-Tempels ist fast abgeschlossen und Ihr Chefarchitekt fragt an, ob Sie dem Tempel einen neuen Flügel hinzufügen möchten.;;The restoration of Luxor Temple is nearly complete and your chief architect inquires if you’d like to add a new wing to the temple.;;;;;;;;;;x
EVTDESC_ancrel_4002;The temple has finally been restored to its former glory.;Le temple a enfin été restauré à la hauteur de sa splendeur d'antan.;Der Tempel erstrahlt endlich wieder in seinem alten Glanz.;;The temple has finally been restored to its former glory.;;;;;;;;;;x
EVTDESC_ancrel_4003;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;Il sembleroit que les Egyptiens aient été actifs ces derniers temps. L'Egypte a été prise récemment par une recrudescence du fanatisme kémite et le summum de leur fanatisme a été atteint avec la restauration du Temple de Luxor. Situé sur la rive est du Nil, ce temple est à la fois d'une beauté à couper le souffle et d'une taille gigantesque. Il abrite mesme une nouvelle aile, attenante aulx fondations du temple d'origine.;Es scheint, dass die Ägypter in letzter Zeit sehr beschäftigt waren. Der kemetische Fanatismus, der in jüngster Zeit in Ägypten wieder auflebt, hat mit der Restaurierung des Luxor-Tempels seinen Höhepunkt erreicht. Dieser am Ostufer des Nils gelegene Tempel ist sowohl prächtig anzusehen als auch von enormer Größe. Er verfügt sogar über einen völlig neuen Flügel, der an das Grundgerüst des ursprünglichen Tempels angebaut wurde.;;It would seem that the Egyptians have been very busy recently. A recent resurgence of Kemetic fanaticism has swept Egypt and the pinnacle of their fanaticism has been reached with the restoration of Luxor Temple. Located on the east bank of the Nile, this temple is both splendid to withhold and enormous in size. It even holds an entirely new wing, attached to the groundwork of the original temple.;;;;;;;;;;x
EVTDESC_ancrel_4004;The pharaohs of ancient times would often have massive tombs erected in their honor during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;Les pharaons des temps anciens érigeoient souvent d'imposantes tombes en leur honneur pendant leur règne. La construction de ces pyramides représentoit un labeur si titanesque que des décennies estoient souvent nécessaires pour les construire et les pharaons qui en avoient lancé la construction estoient défunts depuis longtemps. Quoi qu'il en soit, c'estoit considéré une besogne très prestigieuse et importante à accomplir pour un pharaon.;Die Pharaonen des Altertums ließen sich während ihrer Herrschaft oft gewaltige Grabmäler zu ihren Ehren errichten. Der Bau dieser Pyramiden war so aufwendig, dass oft Jahrzehnte bis zur Fertigstellung vergingen und der Pharao, der die Pyramide in Auftrag gegeben hatte, schon lange tot war. Nichtsdestotrotz galt es als eine sehr prestigeträchtige und wichtige Aufgabe für einen Pharao.;;The pharaohs of ancient times would often have massive tombs erected in their honor during their reign. Such effort was put into the construction of these pyramids that often decades would go by before being completed and the pharaoh who commissioned the pyramid would already be long dead. Regardless, it was seen as a very prestigious and important thing to do as a pharaoh.;;;;;;;;;;x
EVTDESC_ancrel_4005;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honor their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;Plus d'une décennie s'est écoulée depuis le début de la construction de cette pyramide. Pendant cette période, plus de cent mille ouvriers ont travaillé dur sur ce projet, souvent en donnant leur propre vie afin d'honorer leur pharaon sacré. On ne peult nier la pure magnificence de ce bastiment.;Mehr als ein Jahrzehnt ist vergangen, seit mit dem Bau dieser Pyramide begonnen wurde. Mehr als hunderttausend Arbeiter schufteten in dieser Zeit, oft unter Einsatz ihres eigenen Lebens, um ihren heiligen Pharao zu ehren. Die schiere Beeindruckung dieses Bauwerks lässt sich nicht leugnen.;;Over a decade has passed since the construction of this pyramid began. Over a hundred thousand workers toiled during this period, often times giving their very lives in order to honor their sacred pharaoh. One cannot deny the sheer impressiveness of this structure.;;;;;;;;;;x
EVTDESC_ancrel_4006;Long has it been that Kemetism was a majority in the lands of Egypt. No longer shall false prophets of moon and sickle sway the hearts and minds of the Egyptian people. The High Priesthood of Kemetism has been restored, and a so called Paragon Xroj shall now take of the administration of the lower Priesthood, all under the guidance of a mighty Pharaoh.;Cela faisoit longtemps que le Kémitisme n'estoit plus majoritaire sur les terres d'Egypte. Plus jamais les faulx prophètes de la lune et de la faucille n'influenceront les coeurs et les esprits du peuple égyptien. Le Haut Sacerdoce du Kémitisme a été restauré, et un dénommé Parangon Xroj se chargera désormais de l'administration des rangs inférieurs du clergé, le tout sous la direction d'un puissant Pharaon.;Es ist lange her, dass der Kemetismus in Ägypten die Mehrheit bildete. Nicht länger werden falsche Propheten von Mond und Sichel die Herzen und den Verstand des ägyptischen Volkes beherrschen. Das Hohe Priestertum des Kemetismus wurde wiederhergestellt, und ein so genannter Paragon Xroj soll nun die Verwaltung des niederen Priestertums übernehmen, alles unter der Führung eines mächtigen Pharaos.;;Long has it been that Kemetism was a majority in the lands of Egypt. No longer shall false prophets of moon and sickle sway the hearts and minds of the Egyptian people. The High Priesthood of Kemetism has been restored, and a so-called Paragon Xroj shall now take of the administration of the lower Priesthood, all under the guidance of a mighty Pharaoh.;;;;;;;;;;x
EVTDESC_ancrel_4007;Word has it that the enemies of Egypt have something new to fear. Warriors atop chariots equipped with bow and arrow alongside fearsome spear troops. Some even whisper that they don helmets in the shape of the old god, Anubis. Regardless of such claims, this new Kemetic holy order will pose a serious threat to all that oppose Kemetism.;À ce qu'on dit, les ennemis de l'Egypte ont une nouvelle raison de la craindre. Des guerriers embarqués dans des chars et équipés d'un arc et de flèches, aulx costés de redoutables piquiers. Certains murmurent mesme qu'ils revestent des casques de la forme d'un dieu ancien, Anubis. Quelle que soit la véracité de ces allégations, ce nouvel ordre saint kémite posera une sérieuse menace à tous ceulx qui s'opposent au Kémitisme.;Man munkelt, dass die Feinde Ägyptens etwas Neues zu fürchten haben. Krieger auf Streitwagen, ausgerüstet mit Pfeil und Bogen, neben furchterregenden Speertruppen. Manche flüstern sogar, sie trügen Helme in Form des alten Gottes Anubis. Ungeachtet solcher Behauptungen wird dieser neue kemetische heilige Orden eine ernsthafte Bedrohung für alle darstellen, die sich dem Kemetismus widersetzen.;;Word has it that the enemies of Egypt have something new to fear. Warriors atop chariots equipped with bow and arrow alongside fearsome spear troops. Some even whisper that they don helmets in the shape of the old god, Anubis. Regardless of such claims, this new Kemetic holy order will pose a serious threat to all that oppose Kemetism.;;;;;;;;;;x
EVTDESC_ancrel_4008;With the ongoing success of the Anubis guard, yet another Kemetic holy order has been organized. The Horusian Guard is ready to defend the Egyptian empire from all heathens and heretics that would dare threaten it. Only a fool would attack the Egyptians head on now.;Avec le succès en cours de la garde d'Anubis, un nouvel ordre saint kémite a été créé. La garde d'Horus est preste à défendre l'empire égyptien contre tous les païens et tous les hérétiques qui oseroient le menacer. Seul un fol attaqueroit de front les Egyptiens à présent.;Mit dem anhaltenden Erfolg der Anubis-Garde hat sich ein weiterer kemetischer heiliger Orden gebildet. Die Horusianische Garde ist bereit, das ägyptische Reich gegen alle Heiden und Ketzer zu verteidigen, die es wagen würden, es zu bedrohen. Nur ein Narr würde die Ägypter jetzt frontal angreifen.;;With the ongoing success of the Anubis guard, yet another Kemetic holy order has been organized. The Horusian Guard is ready to defend the Egyptian empire from all heathens and heretics that would dare threaten it. Only a fool would attack the Egyptians head on now.;;;;;;;;;;x
EVTNAME_ancrel_4000;The Restoration of Luxor Temple;La Restauration du Temple de Luxor;Die Restaurierung des Luxor-Tempels;;The Restoration of Luxor Temple;;;;;;;;;;x
