#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

plot_assisted_spying;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_assisted_spying_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;Die detaillierten Berichte Ihrer Spione sind eine große Hilfe für Ihr aktuelles Komplott, sowohl in Bezug auf die Macht des Komplotts und die Zeit, die es braucht, um es zu verwirklichen, als auch in Bezug auf die Chance, Komplotte gegen Sie aufzudecken.;;;;;;;;;;;x
plot_assisted_spying2;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_assisted_spying2_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;Die detaillierten Berichte Ihrer Spione sind für Ihr aktuelles Komplott von großem Nutzen, sowohl in Bezug auf die Macht des Komplotts und die Zeit, die es braucht, um es zu verwirklichen, als auch in Bezug auf Ihre Chance, Komplotte gegen Sie aufzudecken.;;;;;;;;;;;x
plot_assisted_spying3;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_assisted_spying3_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;Die detaillierten Berichte Ihrer Spione sind für Ihr aktuelles Komplott von großem Nutzen, sowohl in Bezug auf die Macht des Komplotts und die Zeit, die es braucht, um es zu verwirklichen, als auch in Bezug auf Ihre Chance, Komplotte gegen Sie aufzudecken.;;;;;;;;;;;x
plot_assisted_spying4;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_assisted_spying4_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;Die detaillierten Berichte Ihrer Spione sind für Ihr aktuelles Komplott von großem Nutzen, sowohl in Bezug auf die Macht des Komplotts und die Zeit, die es braucht, um es zu verwirklichen, als auch in Bezug auf Ihre Chance, Komplotte gegen Sie aufzudecken.;;;;;;;;;;;x
plot_assisted_spying5;Spy Reports;;Spionageberichte;;;;;;;;;;;x
plot_assisted_spying5_desc;The detailed reports from your spies will greatly assist with your current plot, both in terms of plot power and the amount of time it takes for the plot to come to fruition, as well as your chance of unearthing plots against you.;;Die detaillierten Berichte Ihrer Spione sind für Ihre aktuelle Verschwörung von großem Nutzen, sowohl in Bezug auf die Macht der Verschwörung als auch auf die Zeit, die für die Verwirklichung der Verschwörung benötigt wird, und auf die Chance, Verschwörungen gegen Sie aufzudecken.;;;;;;;;;;;x
plot_become_republic_desc;[From.GetTitledFirstNameNoRegnal] conspires to make [From.PrimaryTitle.GetName] the capital of [From.PrimaryTitle.Location.County.GetName], usurping the county from [Root.GetTitledFirstNameNoRegnal] in the process.;;[From.GetTitledFirstNameNoRegnal] verschwört sich, um [From.PrimaryTitle.GetName] zur Hauptstadt von [From.PrimaryTitle.Location.County.GetName] zu machen, und entreißt dabei die Grafschaft von [Root.GetTitledFirstNameNoRegnal].;;;;;;;;;;;x
plot_become_republic_short;Plot to Usurp;;Verschwörung zur Usurpation;;;;;;;;;;;x
plot_become_republic_title;Usurp [From.PrimaryTitle.County.GetName];;Usurpiert [From.PrimaryTitle.County.GetName];;;;;;;;;;;x
plot_discredit_councillor_desc;[From.GetTitledFirstName] wants [From.Liege.GetTitledFirstName] to realize that [This.GetTitledFirstName] does not deserve [This.GetHerHis] position on the council.;;[From.GetTitledFirstName] möchte, dass [From.Liege.GetTitledFirstName] erkennt, dass [This.GetTitledFirstName] keinen Platz im Rat verdient hat.;;;;;;;;;;;x
