#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;x;;;;;
b_abbeville;Abbeville;Abbeville;Abbeville;;Abbeville;;;;;;;;x;;;;;
b_abbeycwmhir;Abbeycwmhir;Abbeycwmhir;Abbeycwmhir;;Abbeycwmhir;;;;;;;;x;;;;;
b_abbeydorney;Abbeydorney;Abbeydorney;Abbeydorney;;Abbeydorney;;;;;;;;x;;;;;
b_aberaeron;Aberaeron;Aberaeron;Aberaeron;;Aberaeron;;;;;;;;x;;;;;
b_abermagwr;Abermagwr;Abermagwr;Abermagwr;;Abermagwr;;;;;;;;x;;;;;
b_aberystwyth;Aberystwyth;Aberystwyth;Aberystwyth;;Aberystwyth;;;;;;;;x;;;;;
b_abka;Abka;Abka;Abka;;Abka;;;;;;;;;;;;;
b_abka_adj;Abka;Abka;Abka;;Abka;;;;;;;;;;;;;
b_achilleio;Achilleio;Achilleio;Achilleio;;Achilleio;;;;;;;;x;;;;;
b_alcublaz;Alcublaz;Alcublaz;Alcublaz;;Alcublaz;;;;;;;;x;;;;;
b_agnam-goly;Agnam-Goly;Agnam-Goly;Agnam-Goly;;Agnam-Goly;;;;;;;;x;;;;;
b_agnam-goly_adj;Agnam-Goly;Agnam-Golyen;Agnam-Golisch;;Agnam-Goly;;;;;;;;x;;;;;
b_ahmar;Ahmar;Ahmar;Ahmar;;Ahmar;;;;;;;;;;;;;
b_ahmar_adj;Ahmar;Ahmar;Ahmar;;Ahmar;;;;;;;;;;;;;
b_aidhab;Aidhab;Aidhab;Aidhab;;Aidhab;;;;;;;;;;;;;
b_aidhab_adj;Aidhab;Aidhab;Aidhab;;Aidhab;;;;;;;;;;;;;
b_ailly;Ailly;Ailly;Ailly;;Ailly;;;;;;;;x;;;;;
b_ain_verba;Ain Verba;Ain Verba;Ain Verba;;Ain Verba;;;;;;;;x;;;;;
b_ain_verba_adj;Ain Verba;Ain Verbois;Ain Verbaisch;;Ain Verba;;;;;;;;x;;;;;
b_akbasty;Akbasty;Akbasty;Akbasty;;Akbasty;;;;;;;;;;;;;
b_akbasty_adj;Akbasty;Akbasty;Akbasty;;Akbasty;;;;;;;;;;;;;
