#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
RETTYPE_CUL_Ar1;Heavy Anatolian Cavalry;Cavalerie anatolienne lourde;Heavy Anatolian Cavalry;;Heavy Anatolian Cavalry;;;;;;;;x;
RETTYPE_CUL_Ar2;Mixed Anatolian;Unité anatolienne mixte;Mixed Anatolian;;Mixed Anatolian;;;;;;;;x;
RETTYPE_CUL_Ar3;Heavy Anatolian Infantry;Infanterie anatolienne lourde;Heavy Anatolian Infantry;;Heavy Anatolian Infantry;;;;;;;;x;
RETTYPE_CUL_At1;Eastern Horse Archers;Archers montés altaïques;Eastern Horse Archers;;Eastern Horse Archers;;;;;;;;x;
RETTYPE_CUL_At2;Mixed Altaic;Unité altaïque mixte;Mixed Altaic;;Mixed Altaic;;;;;;;;x;
RETTYPE_CUL_At3;Altaic Skirmish;Escarmouche altaïque;Altaic Skirmish;;Altaic Skirmish;;;;;;;;x;
RETTYPE_CUL_Azt1;Jaguar Warriors;Guerriers Jaguar;Jaguar Warriors;;Jaguar Warriors;;;;;;;;;
RETTYPE_CUL_Azt2;Aztec Warriors;Guerriers Aztèques;Aztec Warriors;;Aztec Warriors;;;;;;;;;
RETTYPE_CUL_Azt3;Aztec Skirmishers;Tirailleurs Aztèques;Aztec Skirmishers;;Aztec Skirmishers;;;;;;;;;
RETTYPE_CUL_Ba1;Pagan Nobles;Nobles Païens;Pagan Nobles;;Pagan Nobles;;;;;;;;;
RETTYPE_CUL_Ba2;Heavy Baltic Infantry;Infanterie Lourde Balte;Heavy Baltic Infantry;;Heavy Baltic Infantry;;;;;;;;;
RETTYPE_CUL_Ba3;Baltic Infantry;Infanterie Balte;Baltic Infantry;;Baltic Infantry;;;;;;;;;
RETTYPE_CUL_Bd1;Bedouin Cavalry Swarm;Cavalerie bédouine en nuée;Bedouin Cavalry Swarm;;Bedouin Cavalry Swarm;;;;;;;;x;
RETTYPE_CUL_Bd2;Bedouin Raiding Party;Pillards bédouins;Bedouin Raiding Party;;Bedouin Raiding Party;;;;;;;;x;
RETTYPE_CUL_Bd3;Bedouin Light Infantry;Infanterie légère bédouine;Bedouin Light Infantry;;Bedouin Light Infantry;;;;;;;;x;
RETTYPE_CUL_Bz1;Byzantine Cataphract;Cataphractes Byzantins;Byzantine Cataphract;;Byzantine Cataphract;;;;;;;;;
RETTYPE_CUL_Bz2;Heavy Byzantine Infantry;Infanterie Lourde Byzantine;Heavy Byzantine Infantry;;Heavy Byzantine Infantry;;;;;;;;;
