#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

DISMANTLE_ATTEMPT_DISCOVERED;Attempt to dismantle network is revealed!\n;;;;;;;;;;;;;x
DISMANTLE_ATTEMPT_FAILS;Attempt to dismantle network fails\n;;;;;;;;;;;;;x
DISMANTLE_ATTEMPT_NOT_DISCOVERED;Your part in the assault remains secret\n;;;;;;;;;;;;;x
NOT_HIRED_ASSASSIN_LAST_YEAR;Has not hired an assassin within the last year\n;;;;;;;;;;;;;x
NOT_SPIES_RECENTLY_ASSAULTED;Spy network not attacked within last six months\n;;;;;;;;;;;;;x
SEND_SPY_ASSASSIN;Send an assassin to kill §Y[Root.PlotTarget.GetBestName]§!!\n;;;;;;;;;;;;;x
SPYNETWORK_10_PLUS;Spy Network value of §Y10.0§! or greater\n;;;;;;;;;;;;;x
SPYNETWORK_20_PLUS;Spy Network value of §Y20.0§! or greater\n;;;;;;;;;;;;;x
SPYNETWORK_30_PLUS;Spy Network value of §Y30.0§! or greater\n;;;;;;;;;;;;;x
SPYNETWORK_40_PLUS;Spy Network value of §Y40.0§! or greater\n;;;;;;;;;;;;;x
SPYNETWORK_50_PLUS;Spy Network value of §Y50.0§! or greater\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_5;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 5\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_10;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 10\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_20;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 20\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_30;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 30\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_40;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 40\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_50;§Y[Root.GetBestName]§!'s Personal Spy Network §Rdecreased§! by 50\n;;;;;;;;;;;;;x
SPYNETWORK_DECREASE_10_LIEGE;Personal Spy Network §Rdecreased§! by 10\n;;;;;;;;;;;;;x
SPYNETWORK_INCREASE_5;§Y[Root.GetBestName]§!'s Personal Spy Network §Gincreased§! by 5\n;;;;;;;;;;;;;x
SPYNETWORK_INCREASE_10_LIEGE;Personal Spy Network §Gincreased§! by 10\n;;;;;;;;;;;;;x
