#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
TRIBUTARY_FORCED_NAME;Forced Tributary;;Erzwungener Tributar;;;x
TRIBUTARY_FORCED_PLURAL;Tributaries;;Tributare;;;x
SUZERAIN_FORCED_NAME;Suzerain;;Suzerän;;;x
TRIBUTARY_FORCED_TRIBUTE;Tribute;;Tribut;;;x
TRIBUTARY_VOLUNTARY_NAME;Voluntary Tributary;;Freiwilliger Tribut;;;x
TRIBUTARY_VOLUNTARY_PLURAL;Tributaries;;Tributpflichtige;;;x
SUZERAIN_VOLUNTARY_NAME;Suzerain;;Suzerän;;;x
TRIBUTARY_VOLUNTARY_TRIBUTE;Tribute;;Tribut;;;x
TRIBUTARY_IMPERIAL_NAME;Imperial Vassal;;Kaiserlicher Vasall;;;x
TRIBUTARY_IMPERIAL_PLURAL;Imperial Vassals;;Kaiserliche Vasallen;;;x
SUZERAIN_IMPERIAL_NAME;Imperial Liege;;Kaiserliches Lehen;;;x
TRIBUTARY_IMPERIAL_TRIBUTE;Tribute;;Tribut;;;x
TRIBUTARY_PROTECTORATE_NAME;Protectorate;;Protektorat;;;x
TRIBUTARY_PROTECTORATE_PLURAL;Protectorates;;Protektorate;;;x
SUZERAIN_PROTECTORATE_NAME;Protector;;Protektorat;;;x
TRIBUTARY_PROTECTORATE_TRIBUTE;Protectorate;;Protektorate;;;x
