#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
# Unused or unknown
chosen_heir;Chosen Heir;;Auserwähltes Erbe;;;x
beauty_queen_1;Famous Beauty;;Berühmte Schönheit;;;x
beauty_queen_2;Famous Beauty;;Berühmte Schönheit;;;x
beauty_queen_3;Famous Beauty;;Berühmte Schönheit;;;x
request_holy_war_sanction;Request Sanction for Holy War;;Sanktion für Heiligen Krieg beantragen;;;x
request_holy_war_sanction_desc;Request sanction to wage a Holy War from our head of religion. If granted, this will allow us to wage a Holy War without losing piety. A high piety and good relations will increase the chance of sanction being granted.;;Erbitte die Erlaubnis unseres Religionsoberhauptes, einen Heiligen Krieg zu führen. Wenn sie erteilt wird, können wir einen Heiligen Krieg führen, ohne unsere Frömmigkeit zu verlieren. Eine hohe Frömmigkeit und gute Beziehungen erhöhen die Chance, dass die Sanktion erteilt wird.;;;x
revoke_court_jester;Revoke Honorary Title;;Ehrentitel widerrufen;;;x
revoke_court_jester_desc;Revoke this character's honorary title.;;Widerruft den Ehrentitel dieses Charakters.;;;x
revoke_minor_title;Revoke Honorary Title;;Ehrentitel widerrufen;;;x
revoke_minor_title_desc;Revoke this character's honorary title and the prestige and income that goes along with it. This will anger them.;;Widerruft den Ehrentitel dieses Charakters und das damit verbundene Prestige und Einkommen. Dies wird sie verärgern.;;;x
arrange_prisoner_swap;Arrange an exchange of hostages;;Vereinbare einen Geiselaustausch;;;x
arrange_prisoner_swap_desc;Arrange an exchange of hostages;;Arrangiere einen Geiselaustausch.;;;x
ATT_ACTIVE;§YAdditional Titular Titles§! is active\n;;§YZusätzliche Titel§! ist aktiv;;;x
bad_relations;Bad Relations;;Schlechte Beziehungen;;;x
base_levies;Vassal Levies;;Vasallen-Legionen;;;x
base_levies_desc;The base number of troops we can raise from our vassals depends on the §Ynumber of holdings§! in the realm. A larger realm can raise fewer troops per vassal.;;Die Grundzahl der Truppen, die wir von unseren Vasallen aufbringen können, hängt von der §YAnzahl der Besitzungen§! im Reich ab. Ein größeres Reich kann weniger Truppen pro Vasall aufstellen.;;;x
begone_sorcerer;You send the pagan away.;;Du schickst den Heiden weg.;;;x
brm_rebel_offer_rejected;Rebel Offer Rejected;;Angebot der Rebellen abgelehnt;;;x
brm_reduced_tax;Reduced Taxation;;Reduzierte Besteuerung;;;x
brm_revolt;Peasant Revolt;;Bauernaufstand;;;x
byzantine_values;Follows a traditional religion of the Byzantine Empire\n;;Folgt einer traditionellen Religion des Byzantinischen Reiches\n;;;x
civil_war;Civil War;;Bürgerkrieg;;;x
coa_plain_pagan;Pagan;;Heidnisch;;;x
controls_antipope;Controls the Anti-Pope;;Kontrolliert den Anti-Papst;;;x
controls_antipope_desc;This character presumes to decide over the affairs of the church despite being a temporal ruler. This attitude could be seen as borderline heretical.;;Diese Figur maßt sich an, über die Angelegenheiten der Kirche zu entscheiden, obwohl sie ein weltlicher Herrscher ist. Diese Haltung könnte als grenzwertig ketzerisch angesehen werden.;;;x
ctt_schism_catholic_rome;You or the Pope §Yfully control§! Rome and the temple holder is not a heretic\n;;Sie oder der Papst haben die §YVollkommene Kontrolle§! Rom und der Tempelbesitzer ist kein Ketzer\n;;;x
CTT_MUST_BE_REFORMED;You must be either a §Yreformed Pagan§! or a member of any §Ynon-pagan religion group§!\n;;Du musst entweder ein §Yreformierter Heide§! oder ein Mitglied einer §Ynichtheidnischen Religionsgruppe§! sein.;;;x
de_facto_ruler;De Facto Ruler;;De-facto-Herrscher;;;x
de_facto_ruler_desc;Although not the legal ruler, this character holds all the real power.;;Obwohl dieser Charakter nicht der rechtmäßige Herrscher ist, hat er die tatsächliche Macht.;;;x
death_escape;Died attempting a daring escape;;Starb bei einem gewagten Fluchtversuch;;;x
death_shattered_realm_victim_trait;the Shattered Realm Decision;;der Entscheidung des Zerrütteten Reiches;;;x
DIPLO_OF_POPE;Base;;Basis;;;x
divination_begins;The Vates ready their weapons.;;Die Vates machen ihre Waffen bereit.;;;x
divination_victory;The promise of victory raises the morale of our warriors\n;;Das Versprechen des Sieges hebt die Moral unserer Krieger\n;;;x
divination_wealth;The promise of wealth reinvigorates trade in our lands\n;;Die Aussicht auf Reichtum belebt den Handel in unseren Ländern\n;;;x
dresses_as_man;Dressing in Man's Clothes;;In Männerkleidern gekleidet;;;x
dresses_as_man_desc;This woman is more comfortable in male clothing.;;Diese Frau fühlt sich in Männerkleidung wohler.;;;x
dresses_as_man_abm;Dressing in Man's Clothes;;In Männerkleidern;;;x
dresses_as_man_abm_desc;This woman is more comfortable in male clothing.;;Diese Frau fühlt sich in männlicher Kleidung wohler.;;;x
decadent_dynasty_new;Vigorous Dynasty;;Lebendige Dynastie;;;x
decadent_dynasty_new_desc;The character is the head of what is seen as a small and vigorous dynasty, one still untouched by corruption and decadence.;;Der Charakter ist das Oberhaupt einer kleinen, kräftigen Dynastie, die noch nicht von Korruption und Dekadenz berührt wurde.;;;x
extra_levies;Extra Levies;;Zusätzliche Truppen;;;x
extra_levies_desc;The current war allows us to call on additional troops from our vassals.;;Der aktuelle Krieg erlaubt es uns, zusätzliche Truppen von unseren Vasallen anzufordern.;;;x
flip_flopper;Multiple Loyalties;;Mehrere Loyalitäten;;;x
flip_flopper_desc;Your indecisive allegiance to multiple rivaling factions is not well-regarded among your peers.;;Eure unentschlossene Loyalität zu mehreren rivalisierenden Fraktionen ist bei Euren Mitstreitern nicht gut angesehen.;;;x
gender_succ_placeholder_message;CK2+ is Loading...;;CK2+ wird geladen...;;;x
gender_succ_placeholder_message_desc;Succession laws will become available in a few weeks of game time.;;Die Nachfolgegesetze werden in einigen Wochen Spielzeit verfügbar sein.;;;x
german_empire_requirements;Can not form the Holy Roman Empire\n;;Sie können das Heilige Römische Reich nicht gründen.;;;x
good_relations;Good Relations;;Gute Beziehungen;;;x
greek_latin_relations;Religious Differences;;Religiöse Differenzen;;;x
HERO_RELIGION;Heroic Religion;;Heroische Religion;;;x
HERO_RELIGION_HOME_TERRITORY;Heroic Religion in Home Territory;;Heldenhafte Religion im Heimatland;;;x
high_legalism;High Legalism;;Hoher Legalismus;;;x
