#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;x
bogomilist_church_group;Faith Organization;;Organisation des Glaubens;;;x
bogomilist_church_group_desc;In its inception, the Bogomilist faith was only loosely organized. It didn't believe in formal churches, and opposed any kind of formal hierarchy -- indeed, the hierarchy and tyranny of the Orthodox Church is partly what prompted its creation. Its anarchical nature also makes the faithful difficult to control with the traditional feudal structure. It is possible, however, for a powerful Bogomilist ruler to slowly organize and reform the faith into something permanent and lasting...but it will not be easy, and the common folk are likely to resist any such attempt.;;In seinen Anfängen war der bogomilistische Glaube nur sehr lose organisiert. Er glaubte nicht an formale Kirchen und lehnte jede Art von formaler Hierarchie ab - in der Tat war die Hierarchie und Tyrannei der orthodoxen Kirche zum Teil der Grund für seine Gründung. Aufgrund ihres anarchischen Charakters ist es auch schwierig, die Gläubigen mit der traditionellen feudalen Struktur zu kontrollieren. Es ist jedoch möglich, dass ein mächtiger bogomilistischer Herrscher den Glauben langsam organisiert und zu etwas Dauerhaftem und Dauerhaftem reformiert ... aber es wird nicht einfach sein, und das einfache Volk wird sich wahrscheinlich gegen jeden solchen Versuch wehren.;;;x
bogomilist_church_0;No Bogomilist Organization;;Keine bogomilistische Organisation;;;x
bogomilist_church_0_desc;The Bogomilist faith is a movement which exists independent of, and sometimes opposed to, the structure of a feudal state.;;Der bogomilistische Glaube ist eine Bewegung, die unabhängig von der Struktur eines Feudalstaates existiert und sich manchmal auch gegen diese stellt.;;;x
bogomilist_church_0_option;None;;Keine;;;x
bogomilist_church_1;Bogmilism Supported;;Unterstützter Bogmilismus;;;x
bogomilist_church_1_desc;The Bogomilist faithful recognize that feudal rulers are on their side, and are willing to co-operate to a large extent. The missionary work of the Perfecti is supported by the state, but beyond that the faithful still resist any notion of formal organization.;;Die bogomilistischen Gläubigen erkennen an, dass die feudalen Herrscher auf ihrer Seite stehen, und sind bereit, weitgehend zu kooperieren. Die Missionsarbeit der Perfecti wird vom Staat unterstützt, aber darüber hinaus wehren sich die Gläubigen noch immer gegen eine formale Organisation.;;;x
bogomilist_church_1_option;Supported;;Unterstützt;;;x
bogomilist_church_2;Bogomilism Organized;;Organisierter Bogomilismus;;;x
bogomilist_church_2_desc;The Bogomilist faith now has a standardized set of liturgy and texts, and the various members of the movement have agreed to work together -- and not oppose their feudal rulers. They still operate outside of formal temples, and they still operate separately from the state.;;Der bogomilistische Glaube verfügt jetzt über eine standardisierte Liturgie und Texte, und die verschiedenen Mitglieder der Bewegung haben sich darauf geeinigt, zusammenzuarbeiten - und sich nicht gegen ihre feudalen Herrscher zu stellen. Sie agieren nach wie vor außerhalb von offiziellen Tempeln und sind vom Staat getrennt.;;;x
bogomilist_church_2_option;Organized;;Organisiert;;;x
bogomilist_church_3;Bogomilism Formalized;;Formalisierter Bogomilismus;;;x
bogomilist_church_3_desc;The Bogomilist faith now operates out of temples, and are willing to work directly with feudal rulers in their councils. They have been entwined enough with the state that there is no lingering sense of opposition -- as far as many are concerned, the two are inseparable.;;Der bogomilistische Glaube operiert nun außerhalb von Tempeln und ist bereit, in ihren Räten direkt mit den Feudalherren zusammenzuarbeiten. Die Bogomilisten sind so stark mit dem Staat verflochten, dass es kein anhaltendes Gefühl der Opposition gibt - für viele sind die beiden untrennbar miteinander verbunden.;;;x
bogomilist_church_3_option;Formalized;;Formalisiert;;;x
bogomilist_church_4;Permanently Established;;Dauerhaft etabliert;;;x
bogomilist_church_4_desc;A formal head of the Bogomilist faith has been established, creating a true Church of Bogomilism. More than that, Bogomilism will be recognized as an independent faith by fellow Christians, looked upon more as a schism from Orthodoxy than a heresy.;;Es wurde ein offizielles Oberhaupt des bogomilistischen Glaubens eingesetzt, wodurch eine echte Kirche des Bogomilismus geschaffen wurde. Darüber hinaus wird der Bogomilismus von den Mitchristen als unabhängiger Glaube anerkannt und eher als Abspaltung von der Orthodoxie denn als Häresie betrachtet.;;;x
bogomilist_church_4_option;Permanent;;Dauerhaft;;;x
bureaucratic_infighting;Court Infighting;;Hofstreitigkeiten;;;x
