#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x

EVTNAME_Plus_1001;[From.Siege.GetName] Besieged;;[From.Siege.GetName] Belagert;;;;;;;;;;;x
EVTDESC_Plus_1001;[Root.PrimaryTitle.GetFOA], an enemy host is approaching [From.Siege.GetName] with the intent to besiege it. If you wish to flee to safety, you must do so quickly!;;[Root.PrimaryTitle.GetFOA], ein feindliches Heer nähert sich [From.Siege.GetName] mit der Absicht, es zu belagern. Wenn Ihr Euch in Sicherheit bringen wollt, müsst Ihr das schnell tun!;;;;;;;;;;;x
EVTDESC_Plus_1001_prisoner;You can hear the sounds of battle from your prison cell. Could it be? Is [From.Siege.GetName] being besieged?;;Du kannst die Geräusche des Kampfes aus deiner Gefängniszelle hören. Kann das sein? Wird [From.Siege.GetName] belagert?;;;;;;;;;;;x
EVTDESC_Plus_1001_incapable;In your addled state, you can barely understand what is going on. [From.Siege.GetName] is being attacked? By whom?! People are urgently ushering you through the halls, and there is shouting everywhere. Where are they taking you?;;In Eurem verwirrten Zustand könnt Ihr kaum verstehen, was vor sich geht. [From.Siege.GetName] wird angegriffen? Von wem?! Die Leute treiben Euch eilig durch die Hallen, und überall wird geschrien. Wo bringen sie Euch hin?;;;;;;;;;;;x
EVTDESC_Plus_1001_child;The grown-ups at [From.Siege.GetName] seem awfully nervous. An army is coming, they say, and they intend to send you somewhere safe. It makes no sense to you. Isn't [From.Siege.GetName] the safest place in the entire world?;;Die Erwachsenen in [From.Siege.GetName] scheinen furchtbar nervös zu sein. Eine Armee kommt, sagen sie, und sie wollen Euch an einen sicheren Ort bringen. Das ergibt für Euch keinen Sinn. Ist [From.Siege.GetName] nicht der sicherste Ort auf der ganzen Welt?;;;;;;;;;;;x
EVTDESC_Plus_1001_away;Word has reached you in [Root.Location.GetName] that the enemy has attacked [From.Siege.GetName]. How long it can withstand the siege is uncertain, but with any luck it will be long enough to protect your loved ones.;;In [Root.Location.GetName] hat dich die Nachricht erreicht, dass der Feind [From.Siege.GetName] angegriffen hat. Wie lange die Stadt der Belagerung standhalten kann, ist ungewiss, aber mit etwas Glück wird sie lange genug sein, um Eure Lieben zu schützen.;;;;;;;;;;;x
EVTOPTA_Plus_1001;I hope they get everyone to safety!;;Ich hoffe, sie bringen alle in Sicherheit!;;;;;;;;;;;x
EVTOPTA_Plus_1001_prisoner;Sadly, there is nothing I can do from here...;;Leider kann ich von hier aus nichts tun...;;;;;;;;;;;x
EVTOPTA_Plus_1001_incapable;Run? Run now? Where are we going?;;Fliehen? Jetzt fliehen? Wohin gehen wir denn?;;;;;;;;;;;x
EVTOPTA_Plus_1001_child;They never tell me anything!;;Sie sagen mir nie etwas!;;;;;;;;;;;x
EVTOPTB_Plus_1001_alone;I must get to safety at once;;Ich muss mich sofort in Sicherheit bringen;;;;;;;;;;;x
EVTOPTB_Plus_1001_family;*My* safety is all that matters;;*Meine* Sicherheit ist alles, was zählt;;;;;;;;;;;x
EVTOPTC_Plus_1001;I am not leaving without my family;;Ich werde nicht ohne meine Familie gehen;;;;;;;;;;;x
EVTOPTD_Plus_1001_family;Send my family to safety - I must defend [From.Siege.GetName];;Schickt meine Familie in Sicherheit - ich muss verteidigen [From.Siege.GetName];;;;;;;;;;;x
EVTOPTD_Plus_1001_alone;I am not going anywhere!;;Ich gehe nirgendwo hin!;;;;;;;;;;;x
EVTNAME_Plus_1005;Escape Attempt;;Fluchtversuch;;;;;;;;;;;x
EVTDESC_Plus_1005;My [Root.GetLordLady], if [Root.Siege.GetName] falls into the hands of the enemy, you could be placed into jeopardy. If you are going to attempt an escape, it must be now. We will not get another chance.;;Meine [Root.GetLordLady], wenn [Root.Siege.GetName] in die Hände des Feindes fällt, könntet Ihr in Gefahr geraten. Wenn Ihr einen Fluchtversuch unternehmen wollt, muss es jetzt sein. Wir werden keine weitere Chance bekommen.;;;;;;;;;;;x
EVTOPTA_Plus_1005;Slip out a postern door at midnight;;Schlüpft um Mitternacht durch eine Hintertür;;;;;;;;;;;x
EVTOPTB_Plus_1005;Brave the sewers;;Überwindet die Kanalisation;;;;;;;;;;;x
EVTOPTC_Plus_1005;Just give me a rope...;;Gebt mir nur ein Seil...;;;;;;;;;;;x
EVTOPTD_Plus_1005;I think it's better we wait;;Ich denke, es ist besser, wir warten;;;;;;;;;;;x
EVTDESC_Plus_1006;Just as I thought I had made it to freedom, a group of armed men appear under the banner of my foe.  Exhausted from my escape, it is all I can do to croak the word 'yield.';;"Gerade als ich dachte, ich hätte es in die Freiheit geschafft, erscheint eine Gruppe bewaffneter Männer unter der Fahne meines Feindes.  Erschöpft von meiner Flucht, kann ich nur noch das Wort ""Aufgeben"" krächzen.";;;;;;;;;;;x
