#CODE;ENGLISH;FRENCH;GERMAN;;SPANISH;;;;;;;;;x
################################################################################;;;;;;;;;;;;;;
####  CHARACTER MODIFIERS;;;;;;;;;;;;;;
################################################################################;;;;;;;;;;;;;;
emf_faction_rebel_antichrist;Rebel Anti-Christ;;Rebellischer Anti-Christ;;;;;;;;;;;x
emf_faction_rebel_antichrist_desc;DEV: All qualifying vassals of my liege will support me in a revolt.;;DEV: Alle berechtigten Vasallen meines Lehnsherrn werden mich in einer Revolte unterstützen.;;;;;;;;;;;x
################################################################################;;;;;;;;;;;;;;
####  DECISIONS;;;;;;;;;;;;;;
################################################################################;;;;;;;;;;;;;;
emf_debug_faction_court_war;DEV: Court Faction Revolt;;DEV: Aufstand der Hoffraktion;;;;;;;;;;;x
emf_debug_faction_prosperity_war;DEV: Prosperity Faction Revolt;;DEV: Aufstand der Wohlstandsfraktion;;;;;;;;;;;x
emf_debug_faction_glory_war;DEV: Glory Faction Revolt;;DEV: Aufstand der Ruhmesfraktion;;;;;;;;;;;x
emf_debug_faction_tradition_war;DEV: Tradition Faction Revolt;;DEV: Aufstand der Traditionsfraktion;;;;;;;;;;;x
emf_debug_faction_court_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Court Faction, as if they had voted to do so.;;Starten Sie eine Revolte gegen [From.GetTitledFirstName] unter der Führung der Hoffraktion, als ob diese dafür gestimmt hätte.;;;;;;;;;;;x
emf_debug_faction_prosperity_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Prosperity Faction, as if they had voted to do so.;;Starten Sie eine Revolte gegen [Root.GetTitledFirstName], angeführt von der Wohlstandsfraktion, so als ob diese dafür gestimmt hätte.;;;;;;;;;;;x
emf_debug_faction_glory_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Glory Faction, as if they had voted to do so.;;Starten Sie einen Revolte gegen [Root.GetTitledFirstName], angeführt von der Ruhmesfraktion, so als ob diese dafür gestimmt hätte.;;;;;;;;;;;x
emf_debug_faction_tradition_war_desc;Start an overthrow revolt against [Root.GetTitledFirstName] led by the Tradition Faction, as if they had voted to do so.;;Starten Sie eine Revolte gegen [Root.GetTitledFirstName], angeführt von der Traditions-Fraktion, so als ob diese dafür gestimmt hätte.;;;;;;;;;;;x
emf_debug_faction_log_revolt_state;DEV: Log Civil War State;;DEV: Bürgerkriegszustand protokollieren;;;;;;;;;;;x
emf_debug_faction_log_revolt_state_desc;Dump [Root.GetTitledFirstName]'s civil war state tracking information to game.log.;;Dump [Root.GetTitledFirstName]'s Bürgerkriegszustand Tracking-Informationen zu game.log.;;;;;;;;;;;x
################################################################################;;;;;;;;;;;;;;
####  EVENTS;;;;;;;;;;;;;;
################################################################################;;;;;;;;;;;;;;
emf_faction.1003.desc_courtier;§RDebug Mode: PF Error§!\n\n[From.GetTitledName]\n\nIncoherent non-ruler civil war state!;;§RDebug-Modus: PF Error§!\n\n[From.GetTitledName]\n\nZusammenhängender Nicht-Herrscher-Bürgerkriegszustand!;;;;;;;;;;;x
emf_faction.1003.desc_ruler;§RDebug Mode: PF Error§!\n\n[From.GetTitledFirstName] of the [From.PrimaryTitle.GetFullBaseName]\n\nIncoherent civil war state!;;§RDebug Mode: PF-Fehler§!\n\n[From.GetTitledFirstName] des [From.PrimaryTitle.GetFullBaseName]\n\nZusammenhängender Bürgerkriegszustand!;;;;;;;;;;;x
emf_faction.1010.desc;You may incite a normal faction overthrow revolt, as if the faction had decided to do so, wherein dynamic call-to-arms will work as usual. Alternatively, you may force all qualifying vassals of [From.GetTitledFirstName] to accept the rebel call-to-arms, which will normally result in a much more inclusive revolt.;;Du kannst einen normalen Fraktionsumsturz auslösen, so als hätte sich die Fraktion dazu entschlossen, wobei der dynamische Aufruf zu den Waffen wie üblich funktioniert. Alternativ kannst du alle in Frage kommenden Vasallen von [From.GetTitledFirstName] dazu zwingen, den Aufruf zu den Waffen zu akzeptieren, was normalerweise zu einer viel umfassenderen Revolte führt.;;;;;;;;;;;x
emf_faction.1010.opt.a;Standard Revolt;;Standard-Revolte;;;;;;;;;;;x
emf_faction.1010.opt.b;Maximal Revolt;;Maximale Revolte;;;;;;;;;;;x
################################################################################;;;;;;;;;;;;;;
####  TOOLTIPS;;;;;;;;;;;;;;
################################################################################;;;;;;;;;;;;;;
emf_debug_ctt_faction_not_already_revolting;This faction is not already part of a revolt.\n;;Diese Fraktion ist nicht bereits Teil einer Revolte.\n;;;;;;;;;;;x
